x1	text	color	rot
124478211	1	black	45
370053187	2	black	45
590297731	3	black	45
784552788	4	black	45
970429195	5	black	45
1146601314	6	black	45
1311677290	7	black	45
1463919594	8	black	45
1605686271	9	black	45
1741782340	10	black	45
1876224362	11	black	45
2010405328	12	black	45
2134225146	13	black	45
2244929169	14	black	45
2349446623	15	black	45
2445611390	16	black	45
2532409283	17	black	45
2614224646	18	black	45
2683720096	19	black	45
2745250988	20	black	45
2800828063	21	black	45
2849592288	22	black	45
2953021970	X	black	45
3031050702	MT	black	45
3059672694	Y	black	45
