x1	text	color	rot
134205931	1	black	45
371967832	2	black	45
563291448	3	black	45
735178867	4	black	45
898276689	5	black	45
1045871178	6	black	45
1176089218	7	black	45
1294554775	8	black	45
1403900783	9	black	45
1502583038	10	black	45
1594244507	11	black	45
1682415550	12	black	45
1766709979	13	black	45
1849700617	14	black	45
1927277149	15	black	45
1997569470	16	black	45
2065725737	17	black	45
2131523320	18	black	45
2194765256	19	black	45
2254981168	20	black	45
2312293932	21	black	45
2367877141	22	black	45
2420791500	23	black	45
2472290908	24	black	45
2522898943	25	black	45
2572525118	26	black	45
2621368580	27	black	45
2669458325	28	black	45
2717080209	29	black	45
2762343328	30	black	45
2804655348	31	black	45
2845391349	32	black	45
2883023598	33	black	45
2915856673	34	black	45
2941619054	35	black	45
2962613598	36	black	45
2983198301	37	black	45
3003458422	38	black	45
3022572155	39	black	45
3039233125	40	black	45
3051624880	41	black	45
3060466079	42	black	45
3067749250	43	black	45
3073585892	44	black	45
3078156514	45	black	45
3081902533	46	black	45
3084937187	47	black	45
3086915588	48	black	45
3087950932	49	black	45
