x1	text	color	rot
110743916	1	black	45
324663400	2	black	45
518508851	3	black	45
697847823	4	black	45
872538286	5	black	45
1043392341	6	black	45
1210624338	7	black	45
1366335429	8	black	45
1510236098	9	black	45
1654869753	10	black	45
1798079922	11	black	45
1935303980	12	black	45
2071587059	13	black	45
2210574389	14	black	45
2340282851	15	black	45
2454867657	16	black	45
2564321585	17	black	45
2669523511	18	black	45
2755714577	19	black	45
2887415546	X	black	45
2984321924	MT	black	45
3036308774	Y	black	45
