x1	text	color	rot
122792851	1	black	45
341937775	2	black	45
521763995	3	black	45
682673096	4	black	45
833614835	5	black	45
973820399	6	black	45
1098380110	7	black	45
1209405522	8	black	45
1310455027	9	black	45
1402897753	10	black	45
1489451693	11	black	45
1571412568	12	black	45
1650822889	13	black	45
1728976700	14	black	45
1805754799	15	black	45
1877448300	16	black	45
1943472884	17	black	45
2007499360	18	black	45
2069441104	19	black	45
2129477939	20	black	45
2187151790	21	black	45
2242940442	22	black	45
2297570189	23	black	45
2350146281	24	black	45
2400236113	25	black	45
2448341543	26	black	45
2495608597	27	black	45
2542230698	28	black	45
2587416499	29	black	45
2630641391	30	black	45
2672319767	31	black	45
2712637301	32	black	45
2751723918	33	black	45
2787995940	34	black	45
2820267827	35	black	45
2849856871	37	black	45
2876579623	38	black	45
2900668112	39	black	45
2922955178	41	black	45
2942084277	43	black	45
2960836058	44	black	45
2980963085	45	black	45
2996392792	46	black	45
3016818359	36	black	45
3042958521	40	black	45
3059299655	42	black	45
3069535107	47	black	45
3079059254	48	black	45
3085873641	49	black	45
