x1	text	color	rot
68393531	1	black	45
205252165	2	black	45
345612316	3	black	45
507155887	4	black	45
680031996	5	black	45
832447248	6	black	45
986908192	7	black	45
1134521104	8	black	45
1261674425	9	black	45
1378629487	10	black	45
1482985669	11	black	45
1591660579	12	black	45
1708028193	13	black	45
1828387586	14	black	45
1943988165	15	black	45
2062580620	16	black	45
2187395622	17	black	45
2307339820	18	black	45
2421531208	19	black	45
2540518608	20	black	45
2656618078	21	black	45
2754271825	22	black	45
2852257928	23	black	45
2953733654	24	black	45
3045197403	25	black	45
3088267338	MT	black	45
