x1	text	color	rot
127808342	1	black	45
415791162	2	black	45
706486729	3	black	45
958897776	4	black	45
1205616604	5	black	45
1447537873	6	black	45
1681923790	7	black	45
1901215705	8	black	45
2136453324	9	black	45
2379278432	10	black	45
2593340735	11	black	45
2788424589	12	black	45
3000092915	13	black	45
3214006807	14	black	45
3409272587	15	black	45
3625838146	16	black	45
3849389900	17	black	45
4103994222	18	black	45
4336533871	19	black	45
4538311382	21	black	45
4750781565	22	black	45
4920563992	23	black	45
5085445611	24	black	45
