x1	text	color	rot
132641566	1	black	45
367761496	2	black	45
588476580	3	black	45
832195861	4	black	45
1075958793	5	black	45
1311646603	6	black	45
1552237323	7	black	45
1774376821	8	black	45
1965626482	9	black	45
2187831947	10	black	45
2436630926	11	black	45
2641726524	12	black	45
2869594095	13	black	45
3137315349	14	black	45
3362476841	15	black	45
3586527222	16	black	45
3827345174	17	black	45
4044235905	19	black	45
4253112934	20	black	45
4476894337	21	black	45
4688243832	22	black	45
4863863616	23	black	45
5061317023	24	black	45
