x1	text	color	rot
121824341	1	black	45
301837602	2	black	45
495237953	3	black	45
760798131	4	black	45
1028386516	5	black	45
1290262332	6	black	45
1518774260	7	black	45
1728159597	8	black	45
1969076714	9	black	45
2228030428	10	black	45
2451506825	11	black	45
2654560128	12	black	45
2882601129	13	black	45
3123258602	14	black	45
3351399904	15	black	45
3583489598	16	black	45
3816448020	17	black	45
3996945464	18	black	45
4158999781	19	black	45
4333073666	20	black	45
4520856760	21	black	45
4731195268	22	black	45
4904735808	23	black	45
5077523084	24	black	45
