x1	text	color	rot
117903758	1	black	45
287559977	2	black	45
466465395	3	black	45
719333909	4	black	45
975063199	5	black	45
1218489629	6	black	45
1452650796	7	black	45
1678277025	8	black	45
1899875874	9	black	45
2148242968	10	black	45
2383589959	11	black	45
2582411916	12	black	45
2801829923	13	black	45
3038259939	14	black	45
3259216507	15	black	45
3484939078	16	black	45
3714614876	17	black	45
3916330427	18	black	45
4095314600	19	black	45
4276050468	20	black	45
4496616144	21	black	45
4731748327	22	black	45
4911379332	23	black	45
5082162585	24	black	45
