x1	text	color	rot
140232758	2	black	45
414330855	3	black	45
684506914	4	black	45
933794745	5	black	45
1176597969	6	black	45
1435124401	7	black	45
1689050786	8	black	45
1935566490	9	black	45
2175530605	10	black	45
2408585889	11	black	45
2630720658	12	black	45
2830125605	13	black	45
3015990626	14	black	45
3175732538	15	black	45
3328199476	16	black	45
3501050256	17	black	45
3667335808	18	black	45
3825336540	19	black	45
3977126474	20	black	45
4122614254	21	black	45
4262356552	22	black	45
4389227520	23	black	45
4505202165	24	black	45
4614499020	25	black	45
4704952595	26	black	45
4779366873	27	black	45
4836491074	28	black	45
5018225358	X	black	45
