x1	text	color	rot
439520572	1	black	45
1234430567	2	black	45
1857023910	3	black	45
2309274943	4	black	45
2669288940	5	black	45
3007796733	6	black	45
3327537154	7	black	45
3619001756	8	black	45
3883544522	9	black	45
4115474284	10	black	45
4314445698	11	black	45
4463331580	12	black	45
4556312126	13	black	45
4637106183	14	black	45
4713110163	15	black	45
4780487807	16	black	45
4841871972	17	black	45
4898997159	18	black	45
4953144118	19	black	45
5003312906	20	black	45
5047328321	22	black	45
5086548900	23	black	45
5120143689	24	black	45
5156794253	21	black	45
