sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	10
8	10
9	10
10	10
11	3
12	3
13	3
14	3
15	11
16	11
17	11
18	11
19	4
20	4
21	4
22	4
23	4
24	4
25	4
26	4
27	4
28	4
29	4
30	12
31	12
32	12
33	12
34	12
35	12
36	12
37	12
38	12
39	12
40	12
41	12
42	12
43	5
44	5
45	5
46	5
47	5
48	5
49	5
50	5
51	5
52	5
53	5
54	13
55	13
56	13
57	13
58	13
59	13
60	13
61	13
62	13
63	13
64	13
65	13
66	13
67	6
68	6
69	6
70	6
71	6
72	6
73	6
74	6
75	6
76	6
77	14
78	14
79	14
80	14
81	14
82	14
83	14
84	14
85	14
86	14
87	14
88	14
89	7
90	7
91	15
92	15
93	15
94	15
95	15
96	15
97	15
98	15
99	15
100	8
101	8
102	8
103	16
104	16
105	16
106	16
107	9
108	9
109	9
110	9
111	17
112	17
113	17
114	17
115	17
116	17
