sID	color
1	1
2	2
3	2
4	2
5	2
6	2
7	10
8	10
9	10
10	10
11	10
12	10
13	10
14	3
15	3
16	3
17	3
18	3
19	3
20	3
21	11
22	11
23	11
24	11
25	11
26	11
27	11
28	4
29	4
30	4
31	4
32	4
33	4
34	4
35	4
36	4
37	4
38	4
39	12
40	12
41	12
42	12
43	12
44	12
45	12
46	12
47	12
48	12
49	12
50	5
51	5
52	5
53	5
54	5
55	5
56	5
57	5
58	5
59	5
60	13
61	13
62	13
63	13
64	13
65	13
66	13
67	13
68	13
69	13
70	13
71	13
72	13
73	13
74	6
75	6
76	6
77	6
78	6
79	6
80	6
81	6
82	6
83	6
84	6
85	14
86	14
87	14
88	14
89	14
90	14
91	14
92	14
93	14
94	14
95	14
96	14
97	14
98	7
99	7
100	7
101	15
102	15
103	15
104	15
105	15
106	15
107	8
108	8
109	8
110	8
111	8
112	8
113	8
114	16
115	16
116	16
117	16
118	16
119	16
120	16
121	9
122	9
123	9
124	9
125	9
126	9
127	9
128	17
129	17
130	17
131	17
132	17
133	17
134	17
135	17
136	17
137	17
