x1	text	color	rot
487111886	1	black	45
1347396020	2	black	45
2003663770	3	black	45
2332615158	4	black	45
2419515676	5	black	45
2547852771	6	black	45
2731652848	7	black	45
2904821068	8	black	45
3044818118	9	black	45
3164039334	10	black	45
3269984676	11	black	45
3372695221	12	black	45
3468979439	13	black	45
3550825593	14	black	45
3623279818	15	black	45
3683347566	17	black	45
3737819427	18	black	45
3793998447	19	black	45
3858805517	20	black	45
3915091075	21	black	45
3946919475	22	black	45
3975576544	23	black	45
4007347732	24	black	45
4028609902	25	black	45
4049491479	26	black	45
4079218114	27	black	45
4107483186	28	black	45
4126228149	33	black	45
4241214775	4A	black	45
4408977886	4B	black	45
4574609359	5A	black	45
4748024799	W	black	45
4995906352	Z	black	45
