x1	text	color	rot
357118944	1	black	45
996510071	2	black	45
1483178082	3	black	45
1885953105	4	black	45
2275323950	5	black	45
2641684918	6	black	45
2977966969	7	black	45
3284552000	8	black	45
3532170204	9	black	45
3734531581	10	black	45
3924859985	11	black	45
4077717743	12	black	45
4178466322	13	black	45
4245832073	14	black	45
4303634131	15	black	45
4351191299	16	black	45
4387581751	17	black	45
4420107193	18	black	45
4448842392	19	black	45
4475079413	20	black	45
4500635946	21	black	45
4519908592	22	black	45
4532969320	23	black	45
4625231540	W	black	45
4944837418	Z	black	45
