x1	text	color	rot
287652228	1	black	45
953682135	2	black	45
1616374799	3	black	45
2080358261	4	black	45
2415721432	5	black	45
2660970578	6	black	45
2846093246	7	black	45
3023544832	8	black	45
3169648375	9	black	45
3289152986	10	black	45
3397199180	11	black	45
3501274601	12	black	45
3598492837	13	black	45
3686264274	14	black	45
3764104956	15	black	45
3829425190	17	black	45
3886504255	18	black	45
3935783450	19	black	45
3996699184	20	black	45
4058394973	21	black	45
4094525199	22	black	45
4125478670	23	black	45
4161878714	24	black	45
4188717875	25	black	45
4213530174	26	black	45
4244379625	27	black	45
4273309225	28	black	45
4299184624	29	black	45
4486606896	1A	black	45
4713235855	4A	black	45
4952492828	Z	black	45
5145034436	16	black	45
5163334720	30	black	45
