x1	text	color	rot
125285096	1	black	45
366886448	2	black	45
643033566	3	black	45
904623939	4	black	45
1124107663	5	black	45
1367925409	6	black	45
1702199728	7	black	45
1988991727	8	black	45
2176910958	9	black	45
2389929612	10	black	45
2605270373	11	black	45
2834597563	12	black	45
3053180218	13	black	45
3275768332	14	black	45
3519895985	15	black	45
3751290411	16	black	45
3980329486	17	black	45
4209522983	18	black	45
4412584118	19	black	45
4602299236	20	black	45
4804640544	22	black	45
5044887962	23	black	45
