x1	text	color	rot
136409950	1	black	45
313947343	2	black	45
491853786	3	black	45
758710862	4	black	45
1015902127	5	black	45
1358178899	6	black	45
1693749895	7	black	45
1917083616	8	black	45
2148153380	9	black	45
2403906857	10	black	45
2628281617	11	black	45
2824469413	12	black	45
3056109382	13	black	45
3297617770	14	black	45
3516869864	15	black	45
3746316225	16	black	45
3976186098	17	black	45
4171143503	18	black	45
4335848284	19	black	45
4501471983	20	black	45
4702718863	21	black	45
4921454109	22	black	45
5101503219	24	black	45
