x1	text	color	rot
208730431	1	black	45
620521137	2	black	45
989836683	3	black	45
1315571937	4	black	45
1627257510	5	black	45
1922670514	6	black	45
2199477027	7	black	45
2454763486	8	black	45
2692483961	9	black	45
2920695718	10	black	45
3146133896	11	black	45
3371134323	12	black	45
3578760733	13	black	45
3764394011	14	black	45
3939653382	15	black	45
4100906609	16	black	45
4246453057	17	black	45
4383644585	18	black	45
4500177552	19	black	45
4603355203	20	black	45
4696549238	21	black	45
4778319193	22	black	45
4951754542	X	black	45
5130563290	Y	black	45
5178557880	M	black	45
