x1	text	color	rot
264867456	1	black	45
773603453	2	black	45
1219115663	3	black	45
1614034460	4	black	45
1963942791	5	black	45
2193704732	6	black	45
2385186414	7	black	45
2604299089	8	black	45
2792911350	9	black	45
2965184560	10	black	45
3139793652	11	black	45
3315839023	12	black	45
3461760932	13	black	45
3596937036	14	black	45
3709504807	15	black	45
3812852745	16	black	45
3943413199	17	black	45
4071541248	18	black	45
4184876779	19	black	45
4278118583	20	black	45
4356298675	21	black	45
4568691057	X1	black	45
4788393328	X2	black	45
4878609303	X3	black	45
4938969856	X4	black	45
5050847930	X5	black	45
5153961171	Y3	black	45
5159218175	Y1	black	45
5167504083	Y2	black	45
5175483238	Y4	black	45
5177750363	Y5	black	45
