name	start	end	strand	col	fill	lwd
1	1	235807515	1	4	4	0.1
2	235807516	339312438	1	4	4	0.1
3	339312439	593618351	1	4	4	0.1
4	593618352	845049466	1	4	4	0.1
5	845049467	1105076931	1	4	4	0.1
6	1105076932	1331902327	1	4	4	0.1
7	1331902328	1573399265	1	4	4	0.1
8	1573399266	1783154785	1	4	4	0.1
9	1783154786	2016596963	1	4	4	0.1
10	2016596964	2279888973	1	4	4	0.1
11	2279888974	2487290944	1	4	4	0.1
12	2487290945	2677532888	1	4	4	0.1
13	2677532889	2926126958	1	4	4	0.1
14	2926126959	3150392920	1	4	4	0.1
15	3150392921	3368040093	1	4	4	0.1
16	3368040094	3601838063	1	4	4	0.1
17	3601838064	3827391689	1	4	4	0.1
18	3827391690	4005269164	1	4	4	0.1
19	4005269165	4185360035	1	4	4	0.1
20	4185360036	4366740901	1	4	4	0.1
21	4366740902	4626491387	1	4	4	0.1
22	4626491388	4837005266	1	4	4	0.1
23	4837005267	4985753398	1	4	4	0.1
24	4985753399	5178571772	1	4	4	0.1
1	1	235807515	1	1	4	0.1
2	235807516	339312438	1	1	4	0.1
3	339312439	593618351	1	1	4	0.1
4	593618352	845049466	1	1	4	0.1
5	845049467	1105076931	1	1	4	0.1
6	1105076932	1331902327	1	1	4	0.1
7	1331902328	1573399265	1	1	4	0.1
8	1573399266	1783154785	1	1	4	0.1
9	1783154786	2016596963	1	1	4	0.1
10	2016596964	2279888973	1	1	4	0.1
11	2279888974	2487290944	1	1	4	0.1
12	2487290945	2677532888	1	1	4	0.1
13	2677532889	2926126958	1	1	4	0.1
14	2926126959	3150392920	1	1	4	0.1
15	3150392921	3368040093	1	1	4	0.1
16	3368040094	3601838063	1	1	4	0.1
17	3601838064	3827391689	1	1	4	0.1
18	3827391690	4005269164	1	1	4	0.1
19	4005269165	4185360035	1	1	4	0.1
20	4185360036	4366740901	1	1	4	0.1
21	4366740902	4626491387	1	1	4	0.1
22	4626491388	4837005266	1	1	4	0.1
23	4837005267	4985753398	1	1	4	0.1
24	4985753399	5178571772	1	1	4	0.1
L	959401371	959401371	1	6	6	0.01
L	1418749587	1418749587	1	6	6	0.01
L	1069998283	1069998283	1	6	6	0.01
L	1417786888	1417786888	1	6	6	0.01
L	1545182772	1545182772	1	6	6	0.01
L	1563988171	1563988171	1	6	6	0.01
L	1502646725	1502646725	1	6	6	0.01
L	1564365760	1564365760	1	6	6	0.01
L	1564240985	1564240985	1	6	6	0.01
L	1549049008	1549049008	1	6	6	0.01
L	1548847516	1548847516	1	6	6	0.01
