Super_Scaffold_6,1,yes
Super_Scaffold_5,2,yes
Super_Scaffold_19,3,yes
Super_Scaffold_12,4,yes
Super_Scaffold_16,5,yes
Super_Scaffold_18,6,yes
Super_Scaffold_13,7,yes
scaffold_18_ctg1,8,yes
Super_Scaffold_7,9,yes
Super_Scaffold_11,10,yes
Super_Scaffold_2,11,yes
Super_Scaffold_1,12,yes
Super_Scaffold_10,13,yes
Super_Scaffold_9,14,yes
scaffold_17_ctg1,15,yes
scaffold_5_ctg1,16,yes
Super_Scaffold_14,17,yes
scaffold_23_ctg1,18,no
Super_Scaffold_8,18,no
scaffold_14_ctg1,19,yes
Super_Scaffold_4,20,yes
Super_Scaffold_15,21,yes
Super_Scaffold_17,22,yes
scaffold_21_ctg1,23,yes
Super_Scaffold_3,24,yes
