# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i fAnaTes1.pri.cur.20181211.fasta -o fAnaTes1.pri.cur.20181211.fasta.vert.human.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t fAnaTes1.pri.cur.20181211.fasta.vert.humna.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr15	1128110	1208297	7054.4	3684
EOG090B0021	Complete	chr13	6159587	6174255	971.6	686
EOG090B002I	Complete	chr24	13998036	14102318	4435.9	2635
EOG090B0039	Complete	chr4	6502716	6547472	5144.3	2588
EOG090B003S	Complete	chr14	4279588	4306205	3376.7	1994
EOG090B004D	Complete	chr13	16298829	16312896	4685.7	2071
EOG090B004X	Complete	chr4	7266104	7294081	4679.3	2342
EOG090B0050	Complete	chr16	19579645	19606034	3880.8	2050
EOG090B005N	Complete	chr2	20651499	20692377	3909.6	1902
EOG090B005Q	Complete	chr13	17633834	17669354	3471.1	1841
EOG090B0067	Complete	chr16	12284611	12302257	2244.7	2221
EOG090B006Y	Complete	chr8	10065754	10081437	3461.0	1792
EOG090B006Z	Complete	chr12	48614	70060	1987.5	1413
EOG090B007C	Complete	chr21	3817636	3835278	3261.6	1663
EOG090B007D	Complete	chr12	13358016	13434784	2906.3	1606
EOG090B007O	Complete	chr2	23788802	23797849	1704.7	1890
EOG090B007P	Complete	chr12	10662680	10685227	3134.8	1785
EOG090B008K	Complete	chr18	14567795	14584194	2656.6	1537
EOG090B008M	Complete	chr6	6841524	6856390	3434.7	1799
EOG090B0092	Complete	chr17	4066394	4133179	2434.3	1463
EOG090B0097	Complete	chr12	5210100	5225292	2784.8	1908
EOG090B009E	Complete	chr12	18581813	18603454	3144.1	1515
