chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr21	3309389	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr21	3183182	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr21	954483	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr21	940286	EOG090B03H1
chr1	2019424	EOG090B07C7	chr21	421931	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr21	133434	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr21	127738	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr21	1652600	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr21	1657000	EOG090B05QE
chr1	3781088	EOG090B060G	chr21	1709757	EOG090B060G
chr1	3815402	EOG090B027C	chr21	1717999	EOG090B027C
chr1	3857604	EOG090B099H	chr21	1723459	EOG090B099H
chr1	6225080	EOG090B0BYH	chr21	2001745	EOG090B0BYH
chr1	6525854	EOG090B066X	chr21	2038381	EOG090B066X
chr1	8324330	EOG090B03E1	chr21	2437088	EOG090B03E1
chr1	9588931	EOG090B06F2	chr21	4280562	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr21	3044684	EOG090B0ILM
chr1	10461490	EOG090B098N	chr21	2881623	EOG090B098N
chr1	11066718	EOG090B01UK	chr21	6530619	EOG090B01UK
chr1	11273532	EOG090B09M4	chr21	6612923	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr21	6831752	EOG090B0DNB
chr1	12021727	EOG090B0932	chr21	6996034	EOG090B0932
chr1	15701941	EOG090B01DA	chr21	5316253	EOG090B01DA
chr1	19339530	EOG090B08IR	chr21	4464263	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr21	4367032	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr21	4345820	EOG090B09XF
chr1	20652379	EOG090B0651	chr21	5370045	EOG090B0651
chr1	20744797	EOG090B076T	chr21	5393618	EOG090B076T
chr1	21679417	EOG090B014N	chr21	5617816	EOG090B014N
chr1	23030397	EOG090B02B1	chr23	5772078	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr23	1742723	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr23	1665254	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr23	1591477	EOG090B07YS
chr1	26432946	EOG090B08EA	chr23	1545709	EOG090B08EA
chr1	26790816	EOG090B05U9	chr23	1381159	EOG090B05U9
chr1	26891010	EOG090B066W	chr23	1344894	EOG090B066W
chr1	26921849	EOG090B0CH3	chr23	1330846	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr23	1234113	EOG090B02Y1
chr1	27935184	EOG090B065U	chr23	5950385	EOG090B065U
chr1	28330663	EOG090B0DRP	chrZ	49628021	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr23	940044	EOG090B07B6
chr1	32222442	EOG090B08H1	chr23	4285698	EOG090B08H1
chr1	35559125	EOG090B04N6	chr23	3379807	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr23	3283750	EOG090B01JZ
chr1	36084922	EOG090B0769	chr23	3200318	EOG090B0769
chr1	36088905	EOG090B0AA8	chr23	3196332	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr23	3076122	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr23	2744091	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr23	2740203	EOG090B0C4X
chr1	37803925	EOG090B0G4S	chr23	2346855	EOG090B0G4S
chr1	39841744	EOG090B065A	chr23	665554	EOG090B065A
chr1	40391348	EOG090B09F3	chr23	3964285	EOG090B09F3
chr1	42430736	EOG090B07R4	scaffold_108_arrow_ctg1	28096	EOG090B07R4
chr1	43164443	EOG090B0BON	chr8	19646223	EOG090B0BON
chr1	43375683	EOG090B0COA	chr8	19734655	EOG090B0COA
chr1	43451019	EOG090B0B6W	chr8	19816522	EOG090B0B6W
chr1	43970176	EOG090B08RF	chr8	20516354	EOG090B08RF
chr1	44213754	EOG090B06WO	chr8	20584634	EOG090B06WO
chr1	44654559	EOG090B0DK8	chr8	21010216	EOG090B0DK8
chr1	45012266	EOG090B08C2	chr8	21239627	EOG090B08C2
chr1	45331125	EOG090B04FN	chr8	21359437	EOG090B04FN
chr1	45340253	EOG090B05A9	chr8	21364479	EOG090B05A9
chr1	45500333	EOG090B0ES0	chr8	21492590	EOG090B0ES0
chr1	46189270	EOG090B02YV	chr8	21924479	EOG090B02YV
chr1	46248406	EOG090B02KB	chr8	22029637	EOG090B02KB
chr1	46635776	EOG090B0BA1	chr8	22362405	EOG090B0BA1
chr1	52687720	EOG090B0CBQ	chr8	25314825	EOG090B0CBQ
chr1	53069856	EOG090B05IS	chr8	25386579	EOG090B05IS
chr1	53951922	EOG090B06X6	chr8	26002511	EOG090B06X6
chr1	54054333	EOG090B0E8F	chr8	26028859	EOG090B0E8F
chr1	54132968	EOG090B04IK	chr2	21015560	EOG090B04IK
chr1	54200244	EOG090B07JY	chr8	26065638	EOG090B07JY
chr1	54852233	EOG090B04CY	chr8	26185829	EOG090B04CY
chr1	55069045	EOG090B004X	chr8	26230831	EOG090B004X
chr1	58486087	EOG090B06T4	chr8	27405774	EOG090B06T4
chr1	58659997	EOG090B01ON	chr8	27434982	EOG090B01ON
chr1	62437245	EOG090B06NX	chr8	28614399	EOG090B06NX
chr1	63525573	EOG090B03RD	chr8	29000591	EOG090B03RD
