chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr31	12955114	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr31	14359834	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr31	27483670	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr31	27351989	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr31	27403301	EOG090B03H1
chr1	2019424	EOG090B07C7	chr31	15843391	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr31	23644367	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr31	23667772	EOG090B0D29
chr1	2508847	EOG090B028U	chr31	23959879	EOG090B028U
chr1	3625073	EOG090B0DVR	chr31	5439584	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr31	5456144	EOG090B05QE
chr1	3781088	EOG090B060G	chr31	15745239	EOG090B060G
chr1	3815402	EOG090B027C	chr31	21189243	EOG090B027C
chr1	3857604	EOG090B099H	chr31	21278978	EOG090B099H
chr1	6225080	EOG090B0BYH	chr31	25071722	EOG090B0BYH
chr1	6525854	EOG090B066X	chr31	26320305	EOG090B066X
chr1	6614067	EOG090B0BKA	chr31	25017333	EOG090B0BKA
chr1	7962786	EOG090B0EDI	chr31	25357803	EOG090B0EDI
chr1	8324330	EOG090B03E1	chr31	25991507	EOG090B03E1
chr1	9588931	EOG090B06F2	chr31	11117602	EOG090B06F2
chr1	9730508	EOG090B01F0	chr31	10563205	EOG090B01F0
chr1	9930399	EOG090B0ILM	chr31	10799135	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr31	10343363	EOG090B00ZI
chr1	10399118	EOG090B05GI	chr31	10039924	EOG090B05GI
chr1	10461490	EOG090B098N	chr31	9902708	EOG090B098N
chr1	11066718	EOG090B01UK	chr31	19215734	EOG090B01UK
chr1	11273532	EOG090B09M4	chr31	19452875	EOG090B09M4
chr1	11500993	EOG090B00U4	chr31	19543055	EOG090B00U4
chr1	11674775	EOG090B0DNB	chr31	26863924	EOG090B0DNB
chr1	11790680	EOG090B031B	chr31	26775392	EOG090B031B
chr1	11804633	EOG090B01SI	chr31	26728791	EOG090B01SI
chr1	11906303	EOG090B053B	chr31	26618086	EOG090B053B
chr1	12021727	EOG090B0932	chr31	26545392	EOG090B0932
chr1	12234267	EOG090B0FLR	chr31	30446656	EOG090B0FLR
chr1	15492943	EOG090B095T	chr31	28518726	EOG090B095T
chr1	15701941	EOG090B01DA	chr31	28939017	EOG090B01DA
chr1	19219303	EOG090B01EP	chr31	26902256	EOG090B01EP
chr1	19251836	EOG090B0D5M	chr31	26890580	EOG090B0D5M
chr1	19339530	EOG090B08IR	chr31	28360352	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr31	28197976	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr31	28149481	EOG090B09XF
chr1	20500690	EOG090B082J	chr31	14687136	EOG090B082J
chr1	20652379	EOG090B0651	chr31	28533180	EOG090B0651
chr1	20744797	EOG090B076T	chr31	20979163	EOG090B076T
chr1	21679417	EOG090B014N	chr31	17784180	EOG090B014N
chr1	23030397	EOG090B02B1	chr27	4060992	EOG090B02B1
chr1	23778516	EOG090B0G12	chr27	16163973	EOG090B0G12
chr1	25821900	EOG090B0C5W	chr27	4363605	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr27	4265596	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr27	10075675	EOG090B07YS
chr1	26432946	EOG090B08EA	chr27	10743893	EOG090B08EA
