# BUSCO version is: 4.1.2 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2020-08-05, number of species: 3354, number of BUSCOs: 67)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
173at7742	Fragmented	chr3	7839176	7968068	3819.2	2731	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	chr31	26935968	27075361	8562.8	4282	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Fragmented	chr6	74042882	74118252	2064.5	1105	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	chr6	50393814	50410631	5909.4	3373	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	chr31	30379177	30559114	6408.6	3736	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	chr25	30598835	30775025	7860.7	3955	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Missing
1653at7742	Complete	chr22	20599510	20771307	6666.4	3344	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	chr21	28619296	28822473	5341.3	2926	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	chr22	43584941	43731422	5652.4	3072	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Fragmented	chr10	52521259	52571677	1347.9	786	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Fragmented	chr8	8379723	8448362	2536.9	1281	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Fragmented	chr5	92666949	92731713	1732.0	1403	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	chr21	2464393	2707156	1472.6	1437	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Fragmented	chr3	93508285	93593539	2513.8	1370	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	chr28	16816718	16919575	3360.2	2177	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	chr10	8813829	8905892	3006.2	2465	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Fragmented	chr31	19375673	19432877	2038.1	1027	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	chr13	44373226	44457769	3658.9	2109	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
4443at7742	Complete	chr25	24915633	25004167	4042.9	2323	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	chr28	30809138	30846386	4427.0	1908	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	chr34	12581969	12696519	2224.9	1749	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	chr1	134098009	134240151	2913.9	1975	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	chr10	48443442	48534920	2610.3	1671	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Missing
5465at7742	Complete	chr33	2048330	2122641	1805.9	1278	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Missing
5604at7742	Missing
5938at7742	Complete	chr19	20098645	20178174	3382.4	2310	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Complete	chr2	122333004	122510591	3993.5	2009	https://www.orthodb.org/v10?query=5981at7742	dnaJ homolog subfamily C member 13 isoform X1
6108at7742	Complete	chr25	22273261	22382120	3628.8	1846	https://www.orthodb.org/v10?query=6108at7742	DNA polymerase epsilon catalytic subunit A
6126at7742	Complete	chr8	40475658	40562010	3248.8	1824	https://www.orthodb.org/v10?query=6126at7742	Dopey family member 1
6253at7742	Complete	chr7	73662933	73726994	1520.6	1160	https://www.orthodb.org/v10?query=6253at7742	Replication timing regulatory factor 1
6305at7742	Fragmented	chr4	11810297	11886425	2612.1	1408	https://www.orthodb.org/v10?query=6305at7742	Ubiquitin protein ligase E3 component n-recognin 5
6701at7742	Complete	chr5	77809342	78075906	2816.5	1849	https://www.orthodb.org/v10?query=6701at7742	neuroblastoma-amplified sequence
7000at7742	Complete	chr8	56732158	56795203	3046.0	1756	https://www.orthodb.org/v10?query=7000at7742	brefeldin A-inhibited guanine nucleotide-exchange protein 3
7262at7742	Complete	chr21	13221868	13313078	1892.8	1993	https://www.orthodb.org/v10?query=7262at7742	von Willebrand factor
7732at7742	Complete	chr9	25031586	25114403	1899.1	1656	https://www.orthodb.org/v10?query=7732at7742	Zinc finger FYVE-type containing 26
7768at7742	Complete	chr25	23448714	23617595	2208.0	1661	https://www.orthodb.org/v10?query=7768at7742	calcineurin-binding protein cabin-1 isoform X1
8258at7742	Missing
8409at7742	Complete	chr28	15177950	15192989	1943.0	1417	https://www.orthodb.org/v10?query=8409at7742	WD repeat-containing protein 81
8503at7742	Complete	chr14	8006890	8108905	2639.1	1833	https://www.orthodb.org/v10?query=8503at7742	Dopey family member 2
8757at7742	Complete	chr7	4985796	5098770	3096.9	1639	https://www.orthodb.org/v10?query=8757at7742	Phosphoinositide kinase, FYVE-type zinc finger containing
8766at7742	Complete	chr4	8327320	8562514	1786.3	1504	https://www.orthodb.org/v10?query=8766at7742	rotatin
8874at7742	Complete	chr8	26282551	26362547	1999.7	1628	https://www.orthodb.org/v10?query=8874at7742	HEAT repeat-containing protein 1
8995at7742	Complete	chr14	14703207	14780556	2100.9	1691	https://www.orthodb.org/v10?query=8995at7742	nucleolar pre-ribosomal-associated protein 1
9110at7742	Fragmented	chr5	16437452	16465763	1070.8	532	https://www.orthodb.org/v10?query=9110at7742	anaphase-promoting complex subunit 1
9484at7742	Duplicated	chr41	11184343	11262071	2574.9	1873	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9484at7742	Duplicated	chr8	13187210	13242590	2433.9	2003	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9579at7742	Complete	chr6	86812730	86830216	1451.7	1535	https://www.orthodb.org/v10?query=9579at7742	Upstream transcription factor family member 3
9683at7742	Complete	chr28	13626452	13700953	2771.2	1785	https://www.orthodb.org/v10?query=9683at7742	protein KIAA0100 homolog isoform X1
9744at7742	Fragmented	chr19	16060453	16089495	1600.1	855	https://www.orthodb.org/v10?query=9744at7742	Nucleoporin 205
10003at7742	Complete	chr22	27148917	27241447	3211.2	1767	https://www.orthodb.org/v10?query=10003at7742	integrator complex subunit 1
10136at7742	Complete	chr4	23998094	24003520	852.0	1073	https://www.orthodb.org/v10?query=10136at7742	zinc finger protein 407
10163at7742	Missing
10485at7742	Complete	chr10	12788049	12842807	1490.0	1680	https://www.orthodb.org/v10?query=10485at7742	protein PRRC2C isoform X1
10757at7742	Complete	chr18	24977841	25033499	1573.6	1188	https://www.orthodb.org/v10?query=10757at7742	plexin-D1
10899at7742	Complete	chr26	20106874	20204193	1933.6	1364	https://www.orthodb.org/v10?query=10899at7742	Integrin beta
11104at7742	Complete	chr1	99054677	99075453	2723.1	1452	https://www.orthodb.org/v10?query=11104at7742	NACHT and WD repeat domain-containing protein 2
11195at7742	Complete	chr14	27924665	28014046	1305.4	902	https://www.orthodb.org/v10?query=11195at7742	von Willebrand factor A domain-containing protein 8
11237at7742	Missing
11472at7742	Complete	chr9	56921738	56991025	2823.7	1395	https://www.orthodb.org/v10?query=11472at7742	endoribonuclease Dicer
