chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr5	16021287	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr7	2994136	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr5	11578875	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr22	9484326	EOG090B03H1
chr1	2019424	EOG090B07C7	chr7	16774800	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr7	14252753	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr7	22690588	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr7	14204610	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr7	14210091	EOG090B05QE
chr1	3781088	EOG090B060G	chr7	16223046	EOG090B060G
chr1	3815402	EOG090B027C	chr7	16227514	EOG090B027C
chr1	3857604	EOG090B099H	chr7	16269534	EOG090B099H
chr1	6225080	EOG090B0BYH	chr2	2253894	EOG090B0BYH
chr1	6525854	EOG090B066X	chr7	2854992	EOG090B066X
chr1	8324330	EOG090B03E1	chr5	13963601	EOG090B03E1
chr1	9588931	EOG090B06F2	chr7	12475096	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr7	12590318	EOG090B0ILM
chr1	10461490	EOG090B098N	chr7	12972095	EOG090B098N
chr1	11066718	EOG090B01UK	chr7	13009475	EOG090B01UK
chr1	11273532	EOG090B09M4	chr7	17268865	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr7	16936172	EOG090B0DNB
chr1	12021727	EOG090B0932	chr5	14008079	EOG090B0932
chr1	15701941	EOG090B01DA	chr7	17099171	EOG090B01DA
chr1	19339530	EOG090B08IR	chr5	17189679	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr7	18064190	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr7	17371556	EOG090B09XF
chr1	20652379	EOG090B0651	chr7	17092209	EOG090B0651
chr1	20744797	EOG090B076T	chr5	24137613	EOG090B076T
chr1	21679417	EOG090B014N	chr5	984090	EOG090B014N
chr1	23030397	EOG090B02B1	chr22	7308217	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr22	8456722	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr22	8429930	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr16	14339938	EOG090B07YS
chr1	26432946	EOG090B08EA	chr16	6008023	EOG090B08EA
chr1	26790816	EOG090B05U9	chr16	14250738	EOG090B05U9
chr1	26891010	EOG090B066W	chr16	14288542	EOG090B066W
chr1	26921849	EOG090B0CH3	chr11	20418885	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr16	14319741	EOG090B02Y1
chr1	27935184	EOG090B065U	chr16	4560717	EOG090B065U
chr1	28330663	EOG090B0DRP	chr16	4520314	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr16	14160124	EOG090B07B6
chr1	32222442	EOG090B08H1	chr11	779680	EOG090B08H1
chr1	35559125	EOG090B04N6	chr11	12836908	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr11	12770952	EOG090B01JZ
chr1	36084922	EOG090B0769	chr11	16837226	EOG090B0769
chr1	36088905	EOG090B0AA8	chr22	17103040	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr16	5042414	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr11	12914942	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr16	5188839	EOG090B0C4X
chr1	37803925	EOG090B0G4S	chr16	4599811	EOG090B0G4S
chr1	39841744	EOG090B065A	chr11	1735026	EOG090B065A
chr1	40391348	EOG090B09F3	chr11	3704819	EOG090B09F3
chr1	42430736	EOG090B07R4	chr7	13619353	EOG090B07R4
chr1	43164443	EOG090B0BON	chr4	12588605	EOG090B0BON
chr1	43375683	EOG090B0COA	chr4	3769501	EOG090B0COA
chr1	43451019	EOG090B0B6W	chr4	972101	EOG090B0B6W
chr1	43970176	EOG090B08RF	chr20	13504830	EOG090B08RF
chr1	44213754	EOG090B06WO	chr4	27629915	EOG090B06WO
chr1	44654559	EOG090B0DK8	chr17	17479595	EOG090B0DK8
chr1	45012266	EOG090B08C2	chr17	17308098	EOG090B08C2
chr1	45331125	EOG090B04FN	chr4	24550791	EOG090B04FN
chr1	45340253	EOG090B05A9	chr17	17472579	EOG090B05A9
chr1	45500333	EOG090B0ES0	chr4	21949336	EOG090B0ES0
chr1	46189270	EOG090B02YV	chr4	7839639	EOG090B02YV
chr1	46248406	EOG090B02KB	chr4	454919	EOG090B02KB
chr1	46635776	EOG090B0BA1	chr4	7993609	EOG090B0BA1
chr1	52687720	EOG090B0CBQ	chr4	21874812	EOG090B0CBQ
chr1	53069856	EOG090B05IS	chr4	3680833	EOG090B05IS
chr1	53951922	EOG090B06X6	chr17	6091296	EOG090B06X6
chr1	54054333	EOG090B0E8F	chr17	6098746	EOG090B0E8F
chr1	54132968	EOG090B04IK	chr17	6100535	EOG090B04IK
chr1	54200244	EOG090B07JY	chr17	22599626	EOG090B07JY
chr1	54852233	EOG090B04CY	chr4	21054857	EOG090B04CY
chr1	55069045	EOG090B004X	chr4	21087189	EOG090B004X
chr1	58486087	EOG090B06T4	chr4	21504560	EOG090B06T4
chr1	58659997	EOG090B01ON	chr4	21514067	EOG090B01ON
chr1	62437245	EOG090B06NX	chr4	12935901	EOG090B06NX
chr1	63525573	EOG090B03RD	chr4	13168390	EOG090B03RD
chr1	66930392	EOG090B07BU	chr9	14299723	EOG090B07BU
chr1	77913642	EOG090B067T	chr4	20286833	EOG090B067T
chr1	78492744	EOG090B08IQ	chr4	24782939	EOG090B08IQ
chr1	84365421	EOG090B08GT	chr4	19797682	EOG090B08GT
chr1	85267627	EOG090B0HS9	chr17	8216917	EOG090B0HS9
chr1	85321452	EOG090B0B52	chr4	12445667	EOG090B0B52
chr1	85670175	EOG090B088A	chr4	12352901	EOG090B088A
chr1	87332016	EOG090B0JIN	chr4	4733426	EOG090B0JIN
chr1	88853213	EOG090B09U6	chr17	21665608	EOG090B09U6
chr1	92299074	EOG090B03Z3	chr17	21748613	EOG090B03Z3
chr1	94446969	EOG090B037M	chr20	1573624	EOG090B037M
chr1	108648566	EOG090B08CP	chr4	11369277	EOG090B08CP
chr1	110363766	EOG090B071D	chr7	11682070	EOG090B071D
chr1	111187605	EOG090B05WB	chr2	2635963	EOG090B05WB
chr1	113895065	EOG090B0596	chr7	21800202	EOG090B0596
chr1	117870569	EOG090B055C	chr21	22468234	EOG090B055C
chr1	117933320	EOG090B01TU	chr21	22497673	EOG090B01TU
chr1	119025531	EOG090B08R0	chr21	22642989	EOG090B08R0
chr1	156054890	EOG090B0HV2	chr16	7017626	EOG090B0HV2
chr1	161749802	EOG090B0G4H	chr17	22466880	EOG090B0G4H
chr1	166857567	EOG090B0A6X	chr17	20069047	EOG090B0A6X
chr1	167093732	EOG090B01NJ	fCotGob3_259arrow_ctg1	66206	EOG090B01NJ
chr1	168179078	EOG090B0DRM	chr14	2868383	EOG090B0DRM
chr1	169298520	EOG090B084C	chr4	28107439	EOG090B084C
chr1	169853713	EOG090B03IN	chr4	25129825	EOG090B03IN
chr1	170532224	EOG090B0F6W	chr4	7088387	EOG090B0F6W
chr1	171781968	EOG090B052Y	chr4	21592664	EOG090B052Y
chr1	173800448	EOG090B0AEM	chr2	7800586	EOG090B0AEM
chr1	179330295	EOG090B04MQ	chr4	26516057	EOG090B04MQ
