chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr16	5524079	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr16	5666869	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr16	5880011	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr16	5914024	EOG090B03H1
chr1	2019424	EOG090B07C7	chr16	8289687	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr16	7962861	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr16	7956096	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr16	7232635	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr16	7216702	EOG090B05QE
chr1	3781088	EOG090B060G	chr16	7175402	EOG090B060G
chr1	3815402	EOG090B027C	chr16	7160576	EOG090B027C
chr1	3857604	EOG090B099H	chr16	7157166	EOG090B099H
chr1	6225080	EOG090B0BYH	chr16	6860857	EOG090B0BYH
chr1	6525854	EOG090B066X	chr16	6820834	EOG090B066X
chr1	8324330	EOG090B03E1	chr16	6404408	EOG090B03E1
chr1	9588931	EOG090B06F2	chr16	4376060	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr16	4214936	EOG090B0ILM
chr1	10461490	EOG090B098N	chr16	4034446	EOG090B098N
chr1	11066718	EOG090B01UK	chr16	3574260	EOG090B01UK
chr1	11273532	EOG090B09M4	chr16	3504482	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr16	3300173	EOG090B0DNB
chr1	12021727	EOG090B0932	chr16	3122140	EOG090B0932
chr1	15701941	EOG090B01DA	chr16	1866772	EOG090B01DA
chr1	19339530	EOG090B08IR	chr16	988199	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr16	895635	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr16	874481	EOG090B09XF
chr1	20652379	EOG090B0651	chr16	1921131	EOG090B0651
chr1	20744797	EOG090B076T	chr16	1948495	EOG090B076T
chr1	21679417	EOG090B014N	chr16	2179540	EOG090B014N
chr1	23030397	EOG090B02B1	chr12	1520367	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr12	1379928	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr12	1451671	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr12	4778383	EOG090B07YS
chr1	26432946	EOG090B08EA	chr12	4727957	EOG090B08EA
chr1	26790816	EOG090B05U9	chr12	4565283	EOG090B05U9
chr1	26891010	EOG090B066W	chr12	4531737	EOG090B066W
chr1	26921849	EOG090B0CH3	chr12	4519418	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr12	331547	EOG090B02Y1
chr1	27935184	EOG090B065U	chr12	4316223	EOG090B065U
chr1	28330663	EOG090B0DRP	chrZ	75931638	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr12	590420	EOG090B07B6
chr1	32222442	EOG090B08H1	chr12	7167915	EOG090B08H1
chr1	35559125	EOG090B04N6	chr12	6133273	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr12	6019880	EOG090B01JZ
chr1	36084922	EOG090B0769	chr12	5928744	EOG090B0769
chr1	36088905	EOG090B0AA8	chr12	5925147	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr12	5789475	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr12	5370410	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr12	5366323	EOG090B0C4X
chr1	37803925	EOG090B0G4S	chr12	5159105	EOG090B0G4S
chr1	39841744	EOG090B065A	chr12	1825215	EOG090B065A
chr1	40391348	EOG090B09F3	chr12	6826561	EOG090B09F3
chr1	42430736	EOG090B07R4	chr16	2352665	EOG090B07R4
chr1	43164443	EOG090B0BON	chr8	50782147	EOG090B0BON
chr1	43375683	EOG090B0COA	chr8	50875256	EOG090B0COA
