chr1	po1	gene1	chr2	po2	gene2
chrX	12825655	EOG090B0GSS	aRhiBiv1_chr1	238690643	aRhiBiv1_EOG090B0GSS
chrX	13582700	EOG090B08OK	aRhiBiv1_chr5	312945730	aRhiBiv1_EOG090B08OK
chrX	14891088	EOG090B04U0	aRhiBiv1_chr5	383618643	aRhiBiv1_EOG090B04U0
chrX	15561905	EOG090B02RR	aRhiBiv1_chr5	219021843	aRhiBiv1_EOG090B02RR
chrX	21737563	EOG090B0KLX	aRhiBiv1_chr5	226963804	aRhiBiv1_EOG090B0KLX
chrX	23703894	EOG090B06JD	aRhiBiv1_chr5	228932613	aRhiBiv1_EOG090B06JD
chrX	30831427	EOG090B03XC	aRhiBiv1_chr5	205788767	aRhiBiv1_EOG090B03XC
chrX	37685962	EOG090B076B	aRhiBiv1_chr5	211963672	aRhiBiv1_EOG090B076B
chrX	38142138	EOG090B066K	aRhiBiv1_chr5	218390908	aRhiBiv1_EOG090B066K
chrX	64189879	EOG090B07E9	aRhiBiv1_chr6	331938339	aRhiBiv1_EOG090B07E9
chrX	101231697	EOG090B01TT	aRhiBiv1_chr6	294957586	aRhiBiv1_EOG090B01TT
chrX	104166786	EOG090B0CRS	aRhiBiv1_chr6	323271512	aRhiBiv1_EOG090B0CRS
chrX	118382608	EOG090B01Y0	aRhiBiv1_chr6	243016267	aRhiBiv1_EOG090B01Y0
chrX	120359898	EOG090B0B3K	aRhiBiv1_chr16	18283612	aRhiBiv1_EOG090B0B3K
chrX	134377618	EOG090B08QX	aRhiBiv1_chr6	238491993	aRhiBiv1_EOG090B08QX
chrX	134889161	EOG090B0DAB	aRhiBiv1_chr6	237483803	aRhiBiv1_EOG090B0DAB
chrX	143613714	EOG090B02IH	aRhiBiv1_chr6	335995403	aRhiBiv1_EOG090B02IH
chrX	145822426	EOG090B020M	aRhiBiv1_chr6	338030126	aRhiBiv1_EOG090B020M
chrX	152846349	EOG090B09H1	aRhiBiv1_chr6	234920634	aRhiBiv1_EOG090B09H1
chrX	154762966	EOG090B07E6	aRhiBiv1_chr6	271239716	aRhiBiv1_EOG090B07E6
chrX	155889467	EOG090B0BAR	aRhiBiv1_chr6	235537603	aRhiBiv1_EOG090B0BAR
chrX	12825655	EOG090B0GSS	bCalAnn1_chr4B	18327006	bCalAnn1_EOG090B0GSS
chrX	13582700	EOG090B08OK	bCalAnn1_chr1	124467730	bCalAnn1_EOG090B08OK
chrX	14891088	EOG090B04U0	bCalAnn1_chr1	123783247	bCalAnn1_EOG090B04U0
chrX	15561905	EOG090B02RR	bCalAnn1_chr1	123393359	bCalAnn1_EOG090B02RR
chrX	21737563	EOG090B0KLX	bCalAnn1_chr1	120486358	bCalAnn1_EOG090B0KLX
chrX	23703894	EOG090B06JD	bCalAnn1_chr1	119637698	bCalAnn1_EOG090B06JD
chrX	30831427	EOG090B03XC	bCalAnn1_chr1	117055359	bCalAnn1_EOG090B03XC
chrX	37685962	EOG090B076B	bCalAnn1_chr1	114791424	bCalAnn1_EOG090B076B
chrX	38142138	EOG090B066K	bCalAnn1_chr1	114610686	bCalAnn1_EOG090B066K
chrX	64189879	EOG090B07E9	bCalAnn1_chr4	17332538	bCalAnn1_EOG090B07E9
chrX	101231697	EOG090B01TT	bCalAnn1_chr4	3561383	bCalAnn1_EOG090B01TT
chrX	104166786	EOG090B0CRS	bCalAnn1_chr4	12480779	bCalAnn1_EOG090B0CRS
chrX	118382608	EOG090B01Y0	bCalAnn1_chr4	4783071	bCalAnn1_EOG090B01Y0
chrX	120359898	EOG090B0B3K	bCalAnn1_chr4	12779931	bCalAnn1_EOG090B0B3K
chrX	134377618	EOG090B08QX	bCalAnn1_chr4	5646878	bCalAnn1_EOG090B08QX
chrX	134889161	EOG090B0DAB	bCalAnn1_chr4	5796915	bCalAnn1_EOG090B0DAB
chrX	143613714	EOG090B02IH	bCalAnn1_chr4	2777437	bCalAnn1_EOG090B02IH
chrX	145822426	EOG090B020M	bCalAnn1_chr4	2675166	bCalAnn1_EOG090B020M
chrX	152846349	EOG090B09H1	bCalAnn1_chr4	16971249	bCalAnn1_EOG090B09H1
chrX	154762966	EOG090B07E6	bCalAnn1_chr4	3625275	bCalAnn1_EOG090B07E6
chrX	155889467	EOG090B0BAR	bCalAnn1_chr4	16912367	bCalAnn1_EOG090B0BAR
chrX	12825655	EOG090B0GSS	bStrHab1_chr7	6282449	bStrHab1_EOG090B0GSS
chrX	13582700	EOG090B08OK	bStrHab1_chr2	47373581	bStrHab1_EOG090B08OK
chrX	14891088	EOG090B04U0	bStrHab1_chr2	46678556	bStrHab1_EOG090B04U0
chrX	15561905	EOG090B02RR	bStrHab1_chr2	46309047	bStrHab1_EOG090B02RR
chrX	21737563	EOG090B0KLX	bStrHab1_chr2	43201946	bStrHab1_EOG090B0KLX
chrX	23703894	EOG090B06JD	bStrHab1_chr2	42373401	bStrHab1_EOG090B06JD
chrX	30831427	EOG090B03XC	bStrHab1_chr2	39607328	bStrHab1_EOG090B03XC
chrX	37685962	EOG090B076B	bStrHab1_chr2	37221322	bStrHab1_EOG090B076B
chrX	38142138	EOG090B066K	bStrHab1_chr2	37032920	bStrHab1_EOG090B066K
chrX	64189879	EOG090B07E9	bStrHab1_chr9	23964884	bStrHab1_EOG090B07E9
chrX	101231697	EOG090B01TT	bStrHab1_chr9	29538065	bStrHab1_EOG090B01TT
chrX	104166786	EOG090B0CRS	bStrHab1_chr9	33979062	bStrHab1_EOG090B0CRS
chrX	118382608	EOG090B01Y0	bStrHab1_chr9	43157333	bStrHab1_EOG090B01Y0
chrX	120359898	EOG090B0B3K	bStrHab1_chr9	34289814	bStrHab1_EOG090B0B3K
chrX	134377618	EOG090B08QX	bStrHab1_chr9	42312950	bStrHab1_EOG090B08QX
chrX	134889161	EOG090B0DAB	bStrHab1_chr9	42164087	bStrHab1_EOG090B0DAB
chrX	143613714	EOG090B02IH	bStrHab1_chr9	30985969	bStrHab1_EOG090B02IH
chrX	145822426	EOG090B020M	bStrHab1_chr9	31510071	bStrHab1_EOG090B020M
chrX	152846349	EOG090B09H1	bStrHab1_chr9	23581607	bStrHab1_EOG090B09H1
chrX	154762966	EOG090B07E6	bStrHab1_chr9	29476704	bStrHab1_EOG090B07E6
chrX	155889467	EOG090B0BAR	bStrHab1_chr9	23505331	bStrHab1_EOG090B0BAR
chrX	12825655	EOG090B0GSS	bTaeGut1_chr4	6369546	bTaeGut1_EOG090B0GSS
chrX	13582700	EOG090B08OK	bTaeGut1_chr1	95963931	bTaeGut1_EOG090B08OK
chrX	14891088	EOG090B04U0	bTaeGut1_chr1	96618148	bTaeGut1_EOG090B04U0
chrX	15561905	EOG090B02RR	bTaeGut1_chr1	96981071	bTaeGut1_EOG090B02RR
chrX	21737563	EOG090B0KLX	bTaeGut1_chr1	99795508	bTaeGut1_EOG090B0KLX
chrX	23703894	EOG090B06JD	bTaeGut1_chr1	100591286	bTaeGut1_EOG090B06JD
chrX	30831427	EOG090B03XC	bTaeGut1_chr1	103107608	bTaeGut1_EOG090B03XC
chrX	37685962	EOG090B076B	bTaeGut1_chr1	105313098	bTaeGut1_EOG090B076B
chrX	38142138	EOG090B066K	bTaeGut1_chr1	105475858	bTaeGut1_EOG090B066K
chrX	64189879	EOG090B07E9	bTaeGut1_chr4A	16006942	bTaeGut1_EOG090B07E9
chrX	101231697	EOG090B01TT	bTaeGut1_chr4A	18673348	bTaeGut1_EOG090B01TT
chrX	104166786	EOG090B0CRS	bTaeGut1_chr4A	8570796	bTaeGut1_EOG090B0CRS
chrX	118382608	EOG090B01Y0	bTaeGut1_chr4A	7871495	bTaeGut1_EOG090B01Y0
chrX	120359898	EOG090B0B3K	bTaeGut1_chr4A	8861080	bTaeGut1_EOG090B0B3K
chrX	134377618	EOG090B08QX	bTaeGut1_chr4A	6723490	bTaeGut1_EOG090B08QX
chrX	134889161	EOG090B0DAB	bTaeGut1_chr4A	6592661	bTaeGut1_EOG090B0DAB
chrX	143613714	EOG090B02IH	bTaeGut1_chr4A	14017985	bTaeGut1_EOG090B02IH
chrX	145822426	EOG090B020M	bTaeGut1_chr4A	13562272	bTaeGut1_EOG090B020M
chrX	152846349	EOG090B09H1	bTaeGut1_chr4A	15686328	bTaeGut1_EOG090B09H1
chrX	154762966	EOG090B07E6	bTaeGut1_chr4A	18745277	bTaeGut1_EOG090B07E6
chrX	155889467	EOG090B0BAR	bTaeGut1_chr4A	15357007	bTaeGut1_EOG090B0BAR
chrX	12825655	EOG090B0GSS	fAnaTes1_chr12	9962814	fAnaTes1_EOG090B0GSS
chrX	13582700	EOG090B08OK	fAnaTes1_chr21	11327493	fAnaTes1_EOG090B08OK
chrX	14891088	EOG090B04U0	fAnaTes1_chr21	11240926	fAnaTes1_EOG090B04U0
chrX	15561905	EOG090B02RR	fAnaTes1_chr3	12953327	fAnaTes1_EOG090B02RR
chrX	21737563	EOG090B0KLX	fAnaTes1_chr2	19090631	fAnaTes1_EOG090B0KLX
chrX	23703894	EOG090B06JD	fAnaTes1_chr2	17058235	fAnaTes1_EOG090B06JD
chrX	30831427	EOG090B03XC	fAnaTes1_chr4	13634040	fAnaTes1_EOG090B03XC
chrX	37685962	EOG090B076B	fAnaTes1_chr21	9939086	fAnaTes1_EOG090B076B
chrX	38142138	EOG090B066K	fAnaTes1_chr21	9891654	fAnaTes1_EOG090B066K
chrX	64189879	EOG090B07E9	fAnaTes1_chr14	7034097	fAnaTes1_EOG090B07E9
chrX	101231697	EOG090B01TT	fAnaTes1_chr10	15128586	fAnaTes1_EOG090B01TT
chrX	104166786	EOG090B0CRS	fAnaTes1_chr10	5259972	fAnaTes1_EOG090B0CRS
chrX	118382608	EOG090B01Y0	fAnaTes1_chr14	8517936	fAnaTes1_EOG090B01Y0
chrX	120359898	EOG090B0B3K	fAnaTes1_chr10	15596343	fAnaTes1_EOG090B0B3K
chrX	134377618	EOG090B08QX	fAnaTes1_chr10	5827581	fAnaTes1_EOG090B08QX
chrX	134889161	EOG090B0DAB	fAnaTes1_chr10	5849725	fAnaTes1_EOG090B0DAB
chrX	143613714	EOG090B02IH	fAnaTes1_chr10	3595583	fAnaTes1_EOG090B02IH
chrX	145822426	EOG090B020M	fAnaTes1_chr10	2941362	fAnaTes1_EOG090B020M
chrX	152846349	EOG090B09H1	fAnaTes1_chr10	9204103	fAnaTes1_EOG090B09H1
chrX	154762966	EOG090B07E6	fAnaTes1_chr22	178268	fAnaTes1_EOG090B07E6
chrX	155889467	EOG090B0BAR	fAnaTes1_chr10	5986153	fAnaTes1_EOG090B0BAR
chrX	12825655	EOG090B0GSS	fArcCen1_chr22	11681070	fArcCen1_EOG090B0GSS
chrX	13582700	EOG090B08OK	fArcCen1_chr21	19873412	fArcCen1_EOG090B08OK
chrX	14891088	EOG090B04U0	fArcCen1_chr21	19991567	fArcCen1_EOG090B04U0
chrX	15561905	EOG090B02RR	fArcCen1_chr3	8854089	fArcCen1_EOG090B02RR
chrX	21737563	EOG090B0KLX	fArcCen1_chr20	19147172	fArcCen1_EOG090B0KLX
chrX	23703894	EOG090B06JD	fArcCen1_chr20	31868977	fArcCen1_EOG090B06JD
chrX	30831427	EOG090B03XC	fArcCen1_chr4	19280889	fArcCen1_EOG090B03XC
chrX	37685962	EOG090B076B	fArcCen1_chr21	22300260	fArcCen1_EOG090B076B
chrX	38142138	EOG090B066K	fArcCen1_chr21	22372216	fArcCen1_EOG090B066K
chrX	64189879	EOG090B07E9	fArcCen1_chr14	28011028	fArcCen1_EOG090B07E9
chrX	101231697	EOG090B01TT	fArcCen1_chr10	11240472	fArcCen1_EOG090B01TT
chrX	104166786	EOG090B0CRS	fArcCen1_chr10	25708742	fArcCen1_EOG090B0CRS
chrX	118382608	EOG090B01Y0	fArcCen1_chr14	20579495	fArcCen1_EOG090B01Y0
chrX	120359898	EOG090B0B3K	fArcCen1_chr10	10580043	fArcCen1_EOG090B0B3K
chrX	134377618	EOG090B08QX	fArcCen1_chr10	24826778	fArcCen1_EOG090B08QX
chrX	134889161	EOG090B0DAB	fArcCen1_chr10	24796448	fArcCen1_EOG090B0DAB
chrX	143613714	EOG090B02IH	fArcCen1_chr10	28539155	fArcCen1_EOG090B02IH
chrX	145822426	EOG090B020M	fArcCen1_chr10	30038405	fArcCen1_EOG090B020M
chrX	152846349	EOG090B09H1	fArcCen1_chr10	20211394	fArcCen1_EOG090B09H1
chrX	154762966	EOG090B07E6	fArcCen1_chr22	1773789	fArcCen1_EOG090B07E6
chrX	155889467	EOG090B0BAR	fArcCen1_chr10	24568801	fArcCen1_EOG090B0BAR
chrX	12825655	EOG090B0GSS	fAstCal1_chr19	24679942	fAstCal1_EOG090B0GSS
chrX	13582700	EOG090B08OK	fAstCal1_chr16	17636266	fAstCal1_EOG090B08OK
chrX	14891088	EOG090B04U0	fAstCal1_chr16	17534975	fAstCal1_EOG090B04U0
chrX	15561905	EOG090B02RR	fAstCal1_chr1	12068463	fAstCal1_EOG090B02RR
chrX	21737563	EOG090B0KLX	fAstCal1_chr9	24412619	fAstCal1_EOG090B0KLX
chrX	23703894	EOG090B06JD	fAstCal1_chr9	29267660	fAstCal1_EOG090B06JD
chrX	30831427	EOG090B03XC	fAstCal1_chr23	526280	fAstCal1_EOG090B03XC
chrX	37685962	EOG090B076B	fAstCal1_chr16	15296884	fAstCal1_EOG090B076B
chrX	38142138	EOG090B066K	fAstCal1_chr16	15203975	fAstCal1_EOG090B066K
chrX	64189879	EOG090B07E9	fAstCal1_chr10	8508812	fAstCal1_EOG090B07E9
chrX	101231697	EOG090B01TT	fAstCal1_chr2	34430295	fAstCal1_EOG090B01TT
chrX	104166786	EOG090B0CRS	fAstCal1_chr2	20507045	fAstCal1_EOG090B0CRS
chrX	118382608	EOG090B01Y0	fAstCal1_chr10	13202739	fAstCal1_EOG090B01Y0
chrX	120359898	EOG090B0B3K	fAstCal1_chr2	35085958	fAstCal1_EOG090B0B3K
chrX	134377618	EOG090B08QX	fAstCal1_chr2	21655149	fAstCal1_EOG090B08QX
