chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr5	17366222	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr7	3755476	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr5	27673770	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr7	3920853	EOG090B03H1
chr1	2019424	EOG090B07C7	chr7	36677719	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr7	26111666	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr7	25092747	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr7	26206629	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr7	26160860	EOG090B05QE
chr1	3781088	EOG090B060G	chr7	37525083	EOG090B060G
chr1	3815402	EOG090B027C	chr7	37481336	EOG090B027C
chr1	3857604	EOG090B099H	chr7	37424502	EOG090B099H
chr1	6225080	EOG090B0BYH	chr7	19725990	EOG090B0BYH
chr1	6525854	EOG090B066X	chr7	3526761	EOG090B066X
chr1	8324330	EOG090B03E1	chr5	14509554	EOG090B03E1
chr1	9588931	EOG090B06F2	chr7	32638605	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr7	32808561	EOG090B0ILM
chr1	10461490	EOG090B098N	chr7	33365755	EOG090B098N
chr1	11066718	EOG090B01UK	chr7	33443909	EOG090B01UK
chr1	11273532	EOG090B09M4	chr7	35845748	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr7	36447066	EOG090B0DNB
chr1	12021727	EOG090B0932	chr5	14550089	EOG090B0932
chr1	15701941	EOG090B01DA	chr7	36161186	EOG090B01DA
chr1	19339530	EOG090B08IR	chr5	18616342	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr7	27581079	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr7	26280788	EOG090B09XF
chr1	20652379	EOG090B0651	chr7	36175857	EOG090B0651
chr1	20744797	EOG090B076T	chr5	6868712	EOG090B076T
chr1	21679417	EOG090B014N	chr5	40911111	EOG090B014N
chr1	23030397	EOG090B02B1	chr22	34505116	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr22	29813408	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr22	29860679	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr16	19063901	EOG090B07YS
chr1	26432946	EOG090B08EA	chr16	6880172	EOG090B08EA
chr1	26790816	EOG090B05U9	chr16	18953939	EOG090B05U9
chr1	26891010	EOG090B066W	chr16	18994439	EOG090B066W
chr1	26921849	EOG090B0CH3	chr11	22781101	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr16	19039459	EOG090B02Y1
chr1	27935184	EOG090B065U	chr16	4426218	EOG090B065U
chr1	28330663	EOG090B0DRP	chr16	4484675	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr16	18825855	EOG090B07B6
chr1	32222442	EOG090B08H1	chr11	21756224	EOG090B08H1
chr1	35559125	EOG090B04N6	chr11	4224551	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr11	4302285	EOG090B01JZ
chr1	36084922	EOG090B0769	chr11	3340898	EOG090B0769
chr1	36088905	EOG090B0AA8	chr22	3793279	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr16	3479892	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr11	4135401	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr16	5489997	EOG090B0C4X
chr1	37803925	EOG090B0G4S	chr16	4328340	EOG090B0G4S
chr1	39841744	EOG090B065A	chr11	19313708	EOG090B065A
chr1	40391348	EOG090B09F3	chr11	16325105	EOG090B09F3
chr1	42430736	EOG090B07R4	chr7	34747885	EOG090B07R4
chr1	43164443	EOG090B0BON	chr4	7419075	EOG090B0BON
chr1	43375683	EOG090B0COA	chr4	34006693	EOG090B0COA
chr1	43451019	EOG090B0B6W	chr4	38774876	EOG090B0B6W
chr1	43970176	EOG090B08RF	chr20	5998572	EOG090B08RF
chr1	44213754	EOG090B06WO	chr4	18063872	EOG090B06WO
chr1	44654559	EOG090B0DK8	chr17	10035020	EOG090B0DK8
chr1	45012266	EOG090B08C2	chr17	9853333	EOG090B08C2
chr1	45331125	EOG090B04FN	chr4	22070587	EOG090B04FN
chr1	45340253	EOG090B05A9	chr17	10025179	EOG090B05A9
chr1	45500333	EOG090B0ES0	chr4	25183889	EOG090B0ES0
chr1	46189270	EOG090B02YV	chr4	1223691	EOG090B02YV
chr1	46248406	EOG090B02KB	chr4	38277721	EOG090B02KB
chr1	46635776	EOG090B0BA1	chr4	2244985	EOG090B0BA1
chr1	52687720	EOG090B0CBQ	chr4	25075502	EOG090B0CBQ
chr1	53069856	EOG090B05IS	chr4	33664444	EOG090B05IS
chr1	53951922	EOG090B06X6	chr17	20982441	EOG090B06X6
chr1	54054333	EOG090B0E8F	chr17	20962987	EOG090B0E8F
chr1	54132968	EOG090B04IK	chr17	20953549	EOG090B04IK
chr1	54200244	EOG090B07JY	chr17	24051015	EOG090B07JY
chr1	54852233	EOG090B04CY	chr4	23668991	EOG090B04CY
chr1	55069045	EOG090B004X	chr4	23733317	EOG090B004X
chr1	58486087	EOG090B06T4	chr4	24440285	EOG090B06T4
chr1	58659997	EOG090B01ON	chr4	24453347	EOG090B01ON
chr1	62437245	EOG090B06NX	chr4	10215941	EOG090B06NX
chr1	63525573	EOG090B03RD	chr4	9891370	EOG090B03RD
chr1	66930392	EOG090B07BU	chr17	14209244	EOG090B07BU
chr1	77913642	EOG090B067T	chr4	17887807	EOG090B067T
chr1	78492744	EOG090B08IQ	chr4	21766723	EOG090B08IQ
chr1	84365421	EOG090B08GT	chr4	17250914	EOG090B08GT
chr1	85267627	EOG090B0HS9	chr17	4925074	EOG090B0HS9
chr1	85321452	EOG090B0B52	chr4	7602618	EOG090B0B52
chr1	85670175	EOG090B088A	chr4	7717337	EOG090B088A
chr1	87332016	EOG090B0JIN	chr4	36489450	EOG090B0JIN
chr1	88853213	EOG090B09U6	chr17	2729043	EOG090B09U6
chr1	92299074	EOG090B03Z3	chr17	2836849	EOG090B03Z3
chr1	94446969	EOG090B037M	chr20	11048374	EOG090B037M
chr1	108648566	EOG090B08CP	chr4	6803585	EOG090B08CP
chr1	110363766	EOG090B071D	chr7	31227933	EOG090B071D
chr1	111187605	EOG090B05WB	chr7	20342791	EOG090B05WB
chr1	113895065	EOG090B0596	chr7	24172640	EOG090B0596
chr1	117870569	EOG090B055C	chr21	34652999	EOG090B055C
chr1	117933320	EOG090B01TU	chr21	34699783	EOG090B01TU
chr1	119025531	EOG090B08R0	chr21	35222949	EOG090B08R0
chr1	156054890	EOG090B0HV2	chr16	1108181	EOG090B0HV2
chr1	161749802	EOG090B0G4H	chr17	1341414	EOG090B0G4H
chr1	166857567	EOG090B0A6X	chr17	13549175	EOG090B0A6X
chr1	167093732	EOG090B01NJ	chr2	13535823	EOG090B01NJ
chr1	168179078	EOG090B0DRM	chr14	24702525	EOG090B0DRM
chr1	169298520	EOG090B084C	chr4	32708181	EOG090B084C
chr1	169853713	EOG090B03IN	chr4	21385427	EOG090B03IN
chr1	170532224	EOG090B0F6W	chr4	975336	EOG090B0F6W
chr1	171781968	EOG090B052Y	chr4	24589678	EOG090B052Y
chr1	173800448	EOG090B0AEM	chr2	4418867	EOG090B0AEM
chr1	179330295	EOG090B04MQ	chr4	19234918	EOG090B04MQ
chr1	185084758	EOG090B0BPK	chr17	5113522	EOG090B0BPK
chr1	185120019	EOG090B02JJ	chr9	28105779	EOG090B02JJ
chr1	185298035	EOG090B03BE	chr4	11413938	EOG090B03BE
chr1	193016351	EOG090B099U	chr4	5213158	EOG090B099U
chr1	193180294	EOG090B06JA	chr4	5276573	EOG090B06JA
chr1	204506901	EOG090B05MV	chr5	23658953	EOG090B05MV
chr1	205042114	EOG090B01JB	chr5	40682057	EOG090B01JB
chr1	205094743	EOG090B04NX	chr5	4529481	EOG090B04NX
chr1	205228565	EOG090B052S	chr5	18818527	EOG090B052S
chr1	205616546	EOG090B09Y2	scaffold_261_arrow_ctg1	185688	EOG090B09Y2
chr1	207049020	EOG090B09PR	chr5	6923132	EOG090B09PR
chr1	211479036	EOG090B0EQJ	chr24	20741000	EOG090B0EQJ
chr1	211749899	EOG090B07FH	chr24	20668352	EOG090B07FH
chr1	211941824	EOG090B01LW	chr24	20653361	EOG090B01LW
chr1	212365215	EOG090B0870	chr22	18270153	EOG090B0870
chr1	214613755	EOG090B028F	chr3	22434535	EOG090B028F
chr1	222558660	EOG090B06LN	chr24	20215911	EOG090B06LN
chr1	224356925	EOG090B0GJT	chr16	33164734	EOG090B0GJT
chr1	226361460	EOG090B0KEX	chr24	11214008	EOG090B0KEX
chr1	228165817	EOG090B0BOM	chr17	23001136	EOG090B0BOM
chr1	230642607	EOG090B039X	chr15	10405529	EOG090B039X
chr1	230979106	EOG090B0ALZ	chr24	24732056	EOG090B0ALZ
chr1	231338384	EOG090B06ND	chr24	24716417	EOG090B06ND
chr1	231521285	EOG090B0A3R	chr15	22170335	EOG090B0A3R
chr1	232954548	EOG090B0FBA	chr15	22444917	EOG090B0FBA
chr1	235335265	EOG090B0A35	chr15	21951250	EOG090B0A35
chr1	235450206	EOG090B04O5	chr15	21983137	EOG090B04O5
chr1	244047831	EOG090B04FL	chr15	8213764	EOG090B04FL
chr1	244854450	EOG090B05VA	chr24	20841118	EOG090B05VA
chr2	669580	EOG090B0J2X	chr24	19664771	EOG090B0J2X
chr2	3545785	EOG090B0ATE	scaffold_320_arrow_ctg1	2998625	EOG090B0ATE
chr2	6849850	EOG090B068Q	chr22	28618021	EOG090B068Q
chr2	6877801	EOG090B0C4K	chr22	28611825	EOG090B0C4K
chr2	9406834	EOG090B0FQ9	chr22	26499041	EOG090B0FQ9
chr2	10572071	EOG090B03N4	chr22	1012429	EOG090B03N4
chr2	10784258	EOG090B07JD	chr24	9213790	EOG090B07JD
