chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr21	3645600	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr21	3309389	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr21	3183182	EOG090B08Y2
chr1	1255203	EOG090B0C55	chr21	1060019	EOG090B0C55
chr1	1308644	EOG090B0AXY	chr21	954483	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr21	940286	EOG090B03H1
chr1	2019424	EOG090B07C7	chr21	421931	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr21	133434	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr21	127738	EOG090B0D29
chr1	2508847	EOG090B028U	chr21	26560	EOG090B028U
chr1	3625073	EOG090B0DVR	chr21	1652600	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr21	1657000	EOG090B05QE
chr1	3781088	EOG090B060G	chr21	1709757	EOG090B060G
chr1	3815402	EOG090B027C	chr21	1717999	EOG090B027C
chr1	3857604	EOG090B099H	chr21	1723459	EOG090B099H
chr1	6225080	EOG090B0BYH	chr21	2001745	EOG090B0BYH
chr1	6525854	EOG090B066X	chr21	2038381	EOG090B066X
chr1	6614067	EOG090B0BKA	chr21	2064016	EOG090B0BKA
chr1	7962786	EOG090B0EDI	chr21	2374154	EOG090B0EDI
chr1	8324330	EOG090B03E1	chr21	2437088	EOG090B03E1
chr1	9588931	EOG090B06F2	chr21	4280562	EOG090B06F2
chr1	9730508	EOG090B01F0	chr21	3092172	EOG090B01F0
chr1	9930399	EOG090B0ILM	chr21	3044684	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr21	2993013	EOG090B00ZI
chr1	10399118	EOG090B05GI	chr21	2888716	EOG090B05GI
chr1	10461490	EOG090B098N	chr21	2881623	EOG090B098N
chr1	10598340	EOG090B0B8F	chr21	2813048	EOG090B0B8F
chr1	11066718	EOG090B01UK	chr21	6530619	EOG090B01UK
chr1	11273532	EOG090B09M4	chr21	6612923	EOG090B09M4
chr1	11500993	EOG090B00U4	chr21	6755680	EOG090B00U4
chr1	11674775	EOG090B0DNB	chr21	6831752	EOG090B0DNB
chr1	11790680	EOG090B031B	chr21	6887086	EOG090B031B
chr1	11804633	EOG090B01SI	chr21	6900155	EOG090B01SI
chr1	11906303	EOG090B053B	chr21	6963413	EOG090B053B
chr1	12021727	EOG090B0932	chr21	6996034	EOG090B0932
chr1	12234267	EOG090B0FLR	chr21	7043791	EOG090B0FLR
chr1	15492943	EOG090B095T	chr21	7601852	EOG090B095T
chr1	15701941	EOG090B01DA	chr21	5316253	EOG090B01DA
chr1	19219303	EOG090B01EP	chr21	4539739	EOG090B01EP
chr1	19251836	EOG090B0D5M	chr21	4537475	EOG090B0D5M
chr1	19339530	EOG090B08IR	chr21	4464263	EOG090B08IR
