chr1	po1	gene1	chr2	po2	gene2
chr5	892999	EOG090B06T9	aRhiBiv1_chr2	358319527	aRhiBiv1_EOG090B06T9
chr5	1253728	EOG090B01FM	aRhiBiv1_chr2	358075474	aRhiBiv1_EOG090B01FM
chr5	5445297	EOG090B00CX	aRhiBiv1_chr2	383141887	aRhiBiv1_EOG090B00CX
chr5	6353221	EOG090B0H3V	aRhiBiv1_chr2	384532990	aRhiBiv1_EOG090B0H3V
chr5	6587452	EOG090B02AB	aRhiBiv1_chr2	385141355	aRhiBiv1_EOG090B02AB
chr5	6633577	EOG090B0BWG	aRhiBiv1_chr2	385409459	aRhiBiv1_EOG090B0BWG
chr5	10227441	EOG090B0FHS	aRhiBiv1_chr2	392981272	aRhiBiv1_EOG090B0FHS
chr5	14711197	EOG090B058Y	aRhiBiv1_chr2	409439599	aRhiBiv1_EOG090B058Y
chr5	15925032	EOG090B05CF	aRhiBiv1_chr2	446530531	aRhiBiv1_EOG090B05CF
chr5	16446886	EOG090B07Z3	aRhiBiv1_chr2	446035923	aRhiBiv1_EOG090B07Z3
chr5	31401432	EOG090B012Y	aRhiBiv1_chr2	465355674	aRhiBiv1_EOG090B012Y
chr5	34929820	EOG090B069P	aRhiBiv1_chr1	756499524	aRhiBiv1_EOG090B069P
chr5	41925310	EOG090B08TZ	aRhiBiv1_chr1	742024701	aRhiBiv1_EOG090B08TZ
chr5	44808963	EOG090B07MS	aRhiBiv1_chr1	730589451	aRhiBiv1_EOG090B07MS
chr5	54979332	EOG090B0EKQ	aRhiBiv1_chr1	725395856	aRhiBiv1_EOG090B0EKQ
chr5	56909646	EOG090B0BUP	aRhiBiv1_chr1	721003569	aRhiBiv1_EOG090B0BUP
chr5	60873753	EOG090B06VJ	aRhiBiv1_chr1	59408205	aRhiBiv1_EOG090B06VJ
chr5	62389010	EOG090B09YD	aRhiBiv1_chr1	712318115	aRhiBiv1_EOG090B09YD
chr5	65625061	EOG090B06HX	aRhiBiv1_chr1	705942179	aRhiBiv1_EOG090B06HX
chr5	69372209	EOG090B06H1	aRhiBiv1_chr1	681298626	aRhiBiv1_EOG090B06H1
chr5	72220909	EOG090B075R	aRhiBiv1_chr1	683366032	aRhiBiv1_EOG090B075R
chr5	73567345	EOG090B04HW	aRhiBiv1_chr1	686518272	aRhiBiv1_EOG090B04HW
chr5	74721655	EOG090B02T7	aRhiBiv1_chr1	688765568	aRhiBiv1_EOG090B02T7
chr5	77433135	EOG090B05JE	aRhiBiv1_chr1	693873836	aRhiBiv1_EOG090B05JE
chr5	79983684	EOG090B09Y0	aRhiBiv1_chr1	699359995	aRhiBiv1_EOG090B09Y0
chr5	80138617	EOG090B062J	aRhiBiv1_chr1	699586711	aRhiBiv1_EOG090B062J
chr5	90518819	EOG090B0BM9	aRhiBiv1_chr1	662190268	aRhiBiv1_EOG090B0BM9
chr5	103531732	EOG090B05QT	aRhiBiv1_chr1	637939556	aRhiBiv1_EOG090B05QT
chr5	115126503	EOG090B02BG	aRhiBiv1_chr16	27875906	aRhiBiv1_EOG090B02BG
chr5	115268878	EOG090B07I8	aRhiBiv1_chr1	617097986	aRhiBiv1_EOG090B07I8
chr5	116085053	EOG090B0GH1	aRhiBiv1_chr1	615744016	aRhiBiv1_EOG090B0GH1
chr5	120674373	EOG090B0EGK	aRhiBiv1_chr1	606690898	aRhiBiv1_EOG090B0EGK
chr5	121961925	EOG090B08WG	aRhiBiv1_chr1	604583436	aRhiBiv1_EOG090B08WG
chr5	122391135	EOG090B01VR	aRhiBiv1_chr1	603719510	aRhiBiv1_EOG090B01VR
chr5	126600963	EOG090B0AZ0	aRhiBiv1_chr1	594862245	aRhiBiv1_EOG090B0AZ0
chr5	127523480	EOG090B089E	aRhiBiv1_chr1	593785761	aRhiBiv1_EOG090B089E
chr5	132557325	EOG090B015P	aRhiBiv1_chr18	50360733	aRhiBiv1_EOG090B015P
chr5	134738621	EOG090B0CFK	aRhiBiv1_chr18	47663661	aRhiBiv1_EOG090B0CFK
chr5	134887796	EOG090B0ANM	aRhiBiv1_chr18	47537538	aRhiBiv1_EOG090B0ANM
chr5	136029056	EOG090B03JC	aRhiBiv1_chr18	46619427	aRhiBiv1_EOG090B03JC
chr5	138873010	EOG090B05HX	aRhiBiv1_chr18	15287564	aRhiBiv1_EOG090B05HX
chr5	140639528	EOG090B056V	aRhiBiv1_chr18	28259461	aRhiBiv1_EOG090B056V
chr5	140700461	EOG090B0GLL	aRhiBiv1_chr18	28445138	aRhiBiv1_EOG090B0GLL
chr5	142314209	EOG090B0943	aRhiBiv1_chr18	51048909	aRhiBiv1_EOG090B0943
chr5	148394777	EOG090B013Y	aRhiBiv1_chr18	61305983	aRhiBiv1_EOG090B013Y
chr5	149358069	EOG090B066A	aRhiBiv1_chr18	56276804	aRhiBiv1_EOG090B066A
chr5	150000673	EOG090B00X9	aRhiBiv1_chr18	34941993	aRhiBiv1_EOG090B00X9
chr5	150402240	EOG090B0BJV	aRhiBiv1_chr18	35854631	aRhiBiv1_EOG090B0BJV
chr5	150711149	EOG090B05B6	aRhiBiv1_chr18	36321805	aRhiBiv1_EOG090B05B6
chr5	154941111	EOG090B0DE4	aRhiBiv1_chr18	39549284	aRhiBiv1_EOG090B0DE4
chr5	157743751	EOG090B0DGF	aRhiBiv1_chr18	41291291	aRhiBiv1_EOG090B0DGF
chr5	159258608	EOG090B09ZQ	aRhiBiv1_chr18	42344878	aRhiBiv1_EOG090B09ZQ
chr5	160017699	EOG090B0FM9	aRhiBiv1_chr18	42638272	aRhiBiv1_EOG090B0FM9
chr5	160092382	EOG090B07LQ	aRhiBiv1_chr18	42671025	aRhiBiv1_EOG090B07LQ
chr5	163434834	EOG090B0AG9	aRhiBiv1_chr1	349678377	aRhiBiv1_EOG090B0AG9
chr5	163460693	EOG090B03UM	aRhiBiv1_chr18	24685226	aRhiBiv1_EOG090B03UM
chr5	163503395	EOG090B08XI	aRhiBiv1_chr18	24581841	aRhiBiv1_EOG090B08XI
chr5	172885857	EOG090B0AD6	aRhiBiv1_chr18	55022874	aRhiBiv1_EOG090B0AD6
chr5	176384231	EOG090B0GG3	aRhiBiv1_chr18	59802496	aRhiBiv1_EOG090B0GG3
chr5	177022739	EOG090B0C3R	aRhiBiv1_chr18	58539072	aRhiBiv1_EOG090B0C3R
chr5	177332086	EOG090B0A95	aRhiBiv1_chr18	58110214	aRhiBiv1_EOG090B0A95
chr5	178922064	EOG090B0CGC	aRhiBiv1_chr3	72652367	aRhiBiv1_EOG090B0CGC
chr5	892999	EOG090B06T9	bCalAnn1_chr2	59694138	bCalAnn1_EOG090B06T9
chr5	1253728	EOG090B01FM	bCalAnn1_chr2	86829657	bCalAnn1_EOG090B01FM
chr5	5445297	EOG090B00CX	bCalAnn1_chr2	60102982	bCalAnn1_EOG090B00CX
chr5	6353221	EOG090B0H3V	bCalAnn1_chr2	80811289	bCalAnn1_EOG090B0H3V
chr5	6587452	EOG090B02AB	bCalAnn1_chr2	80733261	bCalAnn1_EOG090B02AB
chr5	6633577	EOG090B0BWG	bCalAnn1_chr2	80718722	bCalAnn1_EOG090B0BWG
chr5	10227441	EOG090B0FHS	bCalAnn1_chr2	79350406	bCalAnn1_EOG090B0FHS
chr5	14711197	EOG090B058Y	bCalAnn1_chr2	77041864	bCalAnn1_EOG090B058Y
chr5	15925032	EOG090B05CF	bCalAnn1_chr2	76688749	bCalAnn1_EOG090B05CF
chr5	16446886	EOG090B07Z3	bCalAnn1_chr2	76580567	bCalAnn1_EOG090B07Z3
chr5	31401432	EOG090B012Y	bCalAnn1_chr2	70848874	bCalAnn1_EOG090B012Y
chr5	34929820	EOG090B069P	bCalAnn1_chrZ	12773330	bCalAnn1_EOG090B069P
chr5	41925310	EOG090B08TZ	bCalAnn1_chrZ	15373318	bCalAnn1_EOG090B08TZ
chr5	44808963	EOG090B07MS	bCalAnn1_chrZ	16444158	bCalAnn1_EOG090B07MS
chr5	54979332	EOG090B0EKQ	bCalAnn1_chrZ	18709050	bCalAnn1_EOG090B0EKQ
chr5	56909646	EOG090B0BUP	bCalAnn1_chrZ	19456888	bCalAnn1_EOG090B0BUP
chr5	60873753	EOG090B06VJ	bCalAnn1_chrZ	20712480	bCalAnn1_EOG090B06VJ
chr5	62389010	EOG090B09YD	bCalAnn1_chrZ	54129832	bCalAnn1_EOG090B09YD
chr5	65625061	EOG090B06HX	bCalAnn1_chrZ	52997373	bCalAnn1_EOG090B06HX
chr5	69372209	EOG090B06H1	bCalAnn1_chrZ	66667214	bCalAnn1_EOG090B06H1
chr5	72220909	EOG090B075R	bCalAnn1_chrZ	47818166	bCalAnn1_EOG090B075R
