chr	locus	value
chrX	78020447	chrX
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr6	185764090	aRhiBiv1_chr6
aRhiBiv1_chr15	40496056	aRhiBiv1_chr15
aRhiBiv1_chr16	37390786	aRhiBiv1_chr16
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr4	9298558	bCalAnn1_chr4
bCalAnn1_chr7	19569607	bCalAnn1_chr7
bCalAnn1_chr9	12843228	bCalAnn1_chr9
bCalAnn1_chr21	3855027	bCalAnn1_chr21
bCalAnn1_chr22	2599067	bCalAnn1_chr22
bCalAnn1_chr4B	11645972	bCalAnn1_chr4B
bStrHab1_chr2	61511901	bStrHab1_chr2
bStrHab1_chr5	41620323	bStrHab1_chr5
bStrHab1_chr7	35065617	bStrHab1_chr7
bStrHab1_chr8	31744467	bStrHab1_chr8
bStrHab1_chr9	22215744	bStrHab1_chr9
bStrHab1_chr16	4209525	bStrHab1_chr16
bStrHab1_chr21	2746324	bStrHab1_chr21
bTaeGut1_chr1	57278707	bTaeGut1_chr1
bTaeGut1_chr4	35776459	bTaeGut1_chr4
bTaeGut1_chr7	19030007	bTaeGut1_chr7
bTaeGut1_chr9	12787832	bTaeGut1_chr9
bTaeGut1_chr21	4445781	bTaeGut1_chr21
bTaeGut1_chr22	2748644	bTaeGut1_chr22
bTaeGut1_chr4A	9912156	bTaeGut1_chr4A
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr14	9937500	fAnaTes1_chr14
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr21	12248170	fAnaTes1_chr21
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fArcCen1_chr2	15730425	fArcCen1_chr2
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_chr5	18156033	fArcCen1_chr5
fArcCen1_chr9	14167040	fArcCen1_chr9
fArcCen1_chr10	19941491	fArcCen1_chr10
fArcCen1_chr14	19350562	fArcCen1_chr14
fArcCen1_chr17	17785540	fArcCen1_chr17
fArcCen1_chr20	16555437	fArcCen1_chr20
fArcCen1_chr21	17795000	fArcCen1_chr21
fArcCen1_chr22	14647140	fArcCen1_chr22
fAstCal1_chr1	20581203	fAstCal1_chr1
fAstCal1_chr2	19107848	fAstCal1_chr2
fAstCal1_chr5	19339139	fAstCal1_chr5
fAstCal1_chr9	17956569	fAstCal1_chr9
fAstCal1_chr10	17037060	fAstCal1_chr10
fAstCal1_chr12	19334680	fAstCal1_chr12
fAstCal1_chr16	17900926	fAstCal1_chr16
fAstCal1_chr18	17926294	fAstCal1_chr18
fAstCal1_chr19	15431565	fAstCal1_chr19
fAstCal1_chr23	21960902	fAstCal1_chr23
