chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr5	18762920	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr20	6875428	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr5	24688648	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr20	6997845	EOG090B03H1
chr1	2019424	EOG090B07C7	chr20	21555351	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr20	24681398	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr20	11760533	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr20	24730773	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr20	24713033	EOG090B05QE
chr1	3781088	EOG090B060G	chr20	22267368	EOG090B060G
chr1	3815402	EOG090B027C	chr20	22232595	EOG090B027C
chr1	3857604	EOG090B099H	chr20	22219004	EOG090B099H
chr1	6225080	EOG090B0BYH	chr20	12517124	EOG090B0BYH
chr1	6525854	EOG090B066X	LS419890.1	32356	EOG090B066X
chr1	8324330	EOG090B03E1	chr5	17273597	EOG090B03E1
chr1	9588931	EOG090B06F2	chr20	26627152	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr20	26509443	EOG090B0ILM
chr1	10461490	EOG090B098N	chr20	26097235	EOG090B098N
chr1	11066718	EOG090B01UK	chr20	26038415	EOG090B01UK
chr1	11273532	EOG090B09M4	chr20	21060029	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr20	21396886	EOG090B0DNB
chr1	12021727	EOG090B0932	chr5	17214758	EOG090B0932
chr1	15701941	EOG090B01DA	chr20	21210307	EOG090B01DA
chr1	19339530	EOG090B08IR	chr5	19976899	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr20	19962055	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr20	20865911	EOG090B09XF
chr1	20652379	EOG090B0651	chr20	21227058	EOG090B0651
chr1	20744797	EOG090B076T	chr5	9340987	EOG090B076T
chr1	21679417	EOG090B014N	chr5	37760478	EOG090B014N
chr1	23030397	EOG090B02B1	chr19	21331524	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr19	22326298	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr19	22290541	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr11	7561380	EOG090B07YS
chr1	26432946	EOG090B08EA	chr11	26882836	EOG090B08EA
chr1	26790816	EOG090B05U9	chr11	7473096	EOG090B05U9
chr1	26891010	EOG090B066W	chr11	7501242	EOG090B066W
chr1	26921849	EOG090B0CH3	chr22	26133214	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr11	7526851	EOG090B02Y1
chr1	27935184	EOG090B065U	chr11	25108110	EOG090B065U
chr1	28330663	EOG090B0DRP	chr11	25031809	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr11	7360610	EOG090B07B6
chr1	32222442	EOG090B08H1	chr22	29294338	EOG090B08H1
chr1	35559125	EOG090B04N6	chr22	9030922	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr22	9113609	EOG090B01JZ
chr1	36084922	EOG090B0769	chr22	7879439	EOG090B0769
chr1	36088905	EOG090B0AA8	chr19	11926173	EOG090B0AA8
