,start1,end1,start2,end2,col
2261,2028197208,2028197208,222423191,222423191,48
2260,962386907,962386907,2452399591,2452399591,48
2259,1730190213,1730190213,1030179110,1030179110,47
2258,757051761,757051761,2467666984,2467666984,47
2252,1438454903,1438454903,2814951296,2814951296,46
2249,276759588,276759588,2815639205,2815639205,46
2250,1285552300,1285552300,1981090337,1981090337,46
2251,1073070666,1073070666,2815020742,2815020742,46
2253,1438457497,1438457497,2810205687,2810205687,46
2254,2862785334,2862785334,2810119286,2810119286,46
2255,883216877,883216877,2814808729,2814808729,46
2256,2872622760,2872622760,2814551137,2814551137,46
2257,1438151602,1438151602,2814500229,2814500229,46
2244,2334313286,2334313286,1048113212,1048113212,45
2248,1928164921,1928164921,2441298022,2441298022,45
2247,681556028,681556028,2792522955,2792522955,45
2246,2331558529,2331558529,2792793960,2792793960,45
2245,2333188427,2333188427,2793612028,2793612028,45
2243,2427493682,2427493682,2499030311,2499030311,44
2234,304592390,304592390,2772104390,2772104390,43
2241,105244924,105244924,2780697188,2780697188,43
2240,395318332,395318332,2771812964,2771812964,43
2239,395171315,395171315,2771772511,2771772511,43
2238,818491912,818491912,2048846858,2048846858,43
2237,1502537868,1502537868,2226969314,2226969314,43
2236,399033468,399033468,2771529102,2771529102,43
2235,2769592523,2769592523,2772689054,2772689054,43
2242,1533933163,1533933163,2108983946,2108983946,43
2218,333493472,333493472,150294822,150294822,42
2221,333388608,333388608,150345009,150345009,42
2220,276358554,276358554,150426922,150426922,42
2219,1209092276,1209092276,416025836,416025836,42
2223,2991752388,2991752388,2444283832,2444283832,42
2217,1747358859,1747358859,150266276,150266276,42
2216,763868499,763868499,148778005,148778005,42
2215,2776134591,2776134591,149920401,149920401,42
2214,976501177,976501177,1629783032,1629783032,42
2222,1579141061,1579141061,145948807,145948807,42
2231,276516911,276516911,144689089,144689089,42
2224,285242634,285242634,145867171,145867171,42
2226,285807036,285807036,152116886,152116886,42
2227,333453068,333453068,152088414,152088414,42
2228,333410258,333410258,153197361,153197361,42
2229,2760819297,2760819297,2012078592,2012078592,42
2230,276492971,276492971,144638298,144638298,42
2232,329295590,329295590,147307359,147307359,42
2233,763670149,763670149,148982219,148982219,42
2225,341738723,341738723,152066211,152066211,42
2192,1032114390,1032114390,2172553726,2172553726,41
2198,972647500,972647500,2171858744,2171858744,41
2197,2251397514,2251397514,2174326244,2174326244,41
2196,2292335664,2292335664,2174886155,2174886155,41
2195,2292232850,2292232850,2174840393,2174840393,41
2193,1017348831,1017348831,2227059775,2227059775,41
2187,972287511,972287511,2184950044,2184950044,41
2191,3008274117,3008274117,2172903174,2172903174,41
2190,3008364365,3008364365,2173016650,2173016650,41
2189,2249237924,2249237924,2186249919,2186249919,41
2188,2298562594,2298562594,2184901900,2184901900,41
2186,972178843,972178843,2184791465,2184791465,41
2200,970426639,970426639,2178180186,2178180186,41
2199,3009115501,3009115501,2175001216,2175001216,41
2194,3063739686,3063739686,2175700779,2175700779,41
2201,2310684286,2310684286,2177297835,2177297835,41
2207,2310232908,2310232908,2079024290,2079024290,41
2213,3078495225,3078495225,2180138167,2180138167,41
2212,3080136272,3080136272,2182770336,2182770336,41
2210,1023902604,1023902604,2171432592,2171432592,41
2209,3016922976,3016922976,2175852647,2175852647,41
2208,3063694061,3063694061,2175714477,2175714477,41
2211,3063510597,3063510597,2179787287,2179787287,41
2206,2310297705,2310297705,2170786342,2170786342,41
2202,3019133328,3019133328,2176926611,2176926611,41
2205,3009509684,3009509684,2226933624,2226933624,41
2204,3021947655,3021947655,2226849891,2226849891,41
2203,1023165758,1023165758,2227562091,2227562091,41
2176,1429942083,1429942083,2662331851,2662331851,40
2167,1421263343,1421263343,2654435645,2654435645,40
2168,1190082317,1190082317,2651118406,2651118406,40
2169,1083217645,1083217645,2657779531,2657779531,40
2170,1083156971,1083156971,2657778499,2657778499,40
2171,661672691,661672691,2658682756,2658682756,40
2172,1174860931,1174860931,2662667954,2662667954,40
2173,1156145224,1156145224,2662479537,2662479537,40
2174,1165088957,1165088957,2662450415,2662450415,40
2175,1176367329,1176367329,2652633681,2652633681,40
2177,1429927885,1429927885,2647053853,2647053853,40
2179,660785317,660785317,2655215045,2655215045,40
2180,1332823460,1332823460,2654561149,2654561149,40
2181,1188751356,1188751356,2651486913,2651486913,40
2182,645419663,645419663,2648289925,2648289925,40
2183,634515020,634515020,2651723137,2651723137,40
2184,1077783578,1077783578,2230473710,2230473710,40
2185,1939381995,1939381995,2657965027,2657965027,40
2178,1730492193,1730492193,1593947466,1593947466,40
2155,1659752880,1659752880,1828463844,1828463844,39
2149,1801477771,1801477771,1841015721,1841015721,39
2153,1646110055,1646110055,1827483174,1827483174,39
2152,1658878226,1658878226,1826829035,1826829035,39
2151,2172376658,2172376658,1809048913,1809048913,39
2150,1698099747,1698099747,1840989560,1840989560,39
2146,1704552384,1704552384,1821273871,1821273871,39
2144,1556264225,1556264225,1821189097,1821189097,39
2148,1718614394,1718614394,1850391046,1850391046,39
