chr	locus	value
chr10	66898711	chr10
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr5	193516632	aRhiBiv1_chr5
aRhiBiv1_chr7	156756981	aRhiBiv1_chr7
aRhiBiv1_chr9	134151057	aRhiBiv1_chr9
aRhiBiv1_chr16	37390786	aRhiBiv1_chr16
aRhiBiv1_scaffold_132_arrow_ctg1	194816	aRhiBiv1_scaffold_132_arrow_ctg1
bCalAnn1_chr1	98775505	bCalAnn1_chr1
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr6	17700979	bCalAnn1_chr6
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr3	44541321	bStrHab1_chr3
bStrHab1_chr5	41620323	bStrHab1_chr5
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr6	17832517	bTaeGut1_chr6
bTaeGut1_chr1A	35215301	bTaeGut1_chr1A
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr2	17142513	fAnaTes1_chr2
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr15	10960625	fAnaTes1_chr15
fAnaTes1_chr19	9346866	fAnaTes1_chr19
fAnaTes1_chr23	7679556	fAnaTes1_chr23
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr3	18149332	fArcCen1_chr3
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_chr6	18022038	fArcCen1_chr6
fArcCen1_chr15	15211719	fArcCen1_chr15
fArcCen1_chr19	15507179	fArcCen1_chr19
fArcCen1_chr20	16555437	fArcCen1_chr20
fArcCen1_chr23	12310491	fArcCen1_chr23
fAstCal1_chr1	20581203	fAstCal1_chr1
fAstCal1_chr3	26256207	fAstCal1_chr3
fAstCal1_chr6	20714010	fAstCal1_chr6
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr8	12913854	fAstCal1_chr8
fAstCal1_chr9	17956569	fAstCal1_chr9
fAstCal1_chr13	16572975	fAstCal1_chr13
fAstCal1_chr17	19724457	fAstCal1_chr17
fAstCal1_chr23	21960902	fAstCal1_chr23
fCotGob3_chr1	13527933	fCotGob3_chr1
fCotGob3_chr3	15014497	fCotGob3_chr3
fCotGob3_chr4	14474522	fCotGob3_chr4
fCotGob3_chr6	13840172	fCotGob3_chr6
fCotGob3_chr15	12481605	fCotGob3_chr15
fCotGob3_chr19	10530063	fCotGob3_chr19
fCotGob3_chr20	8799899	fCotGob3_chr20
fCotGob3_chr21	12052396	fCotGob3_chr21
fCotGob3_chr23	7966181	fCotGob3_chr23
fCotGob3_fCotGob3_42arrow_ctg1	401529	fCotGob3_fCotGob3_42arrow_ctg1
fCotGob3_fCotGob3_92arrow_ctg1	50049	fCotGob3_fCotGob3_92arrow_ctg1
fGouWil2_chr1	22966643	fGouWil2_chr1
fGouWil2_chr3	23028778	fGouWil2_chr3
fGouWil2_chr4	21900578	fGouWil2_chr4
fGouWil2_chr6	36225988	fGouWil2_chr6
fGouWil2_chr15	18513505	fGouWil2_chr15
fGouWil2_chr19	13491330	fGouWil2_chr19
fGouWil2_chr20	14393881	fGouWil2_chr20
fMasArm1_chr1	13041935	fMasArm1_chr1
fMasArm1_chr3	14065036	fMasArm1_chr3
fMasArm1_chr4	13906038	fMasArm1_chr4
fMasArm1_chr6	12545156	fMasArm1_chr6
fMasArm1_chr15	12037531	fMasArm1_chr15
fMasArm1_chr19	9960384	fMasArm1_chr19
fMasArm1_chr20	10031731	fMasArm1_chr20
fMasArm1_chr23	8226894	fMasArm1_chr23
mLynCan4_chrB4	70655818	mLynCan4_chrB4
mLynCan4_chrD2	43626419	mLynCan4_chrD2
mLynCan4_chrD3	46724169	mLynCan4_chrD3
mOrnAna1_chr3	70993541	mOrnAna1_chr3
mOrnAna1_chr13	21147321	mOrnAna1_chr13
mOrnAna1_chr16	23198637	mOrnAna1_chr16
mOrnAna1_chrX5	35069660	mOrnAna1_chrX5
mPhyDis1_chr1	109215071	mPhyDis1_chr1
mPhyDis1_chr5	87574110	mPhyDis1_chr5
mRhiFer1_chr5	44012871	mRhiFer1_chr5
mRhiFer1_chr16	33869140	mRhiFer1_chr16
mRhiFer1_chr25	20170404	mRhiFer1_chr25
mRhiFer1_scaffold_110_arrow_ctg1	8848644	mRhiFer1_scaffold_110_arrow_ctg1
rGopEvg1_chr1	185167572	rGopEvg1_chr1
rGopEvg1_chr2	149723587	rGopEvg1_chr2
rGopEvg1_chr7	65805985	rGopEvg1_chr7
sAmbRad1_chr2	75786849	sAmbRad1_chr2
sAmbRad1_chr15	29944381	sAmbRad1_chr15
sAmbRad1_chr21	21987025	sAmbRad1_chr21
sAmbRad1_chr37	11273879	sAmbRad1_chr37
sAmbRad1_chr39	9201868	sAmbRad1_chr39
