name	start	end	strand	col	fill	lwd
1	1	250570191	1	4	4	0.1
2	250570192	483202705	1	4	4	0.1
3	483202706	802864426	1	4	4	0.1
4	802864427	1006383452	1	4	4	0.1
5	1006383453	1241831873	1	4	4	0.1
6	1241831874	1494018944	1	4	4	0.1
7	1494018945	1910380511	1	4	4	0.1
8	1910380512	2067602942	1	4	4	0.1
9	2067602943	2286218974	1	4	4	0.1
10	2286218975	2493640250	1	4	4	0.1
11	2493640251	2716900496	1	4	4	0.1
12	2716900497	2952294630	1	4	4	0.1
13	2952294631	3154065806	1	4	4	0.1
14	3154065807	3397470857	1	4	4	0.1
15	3397470858	3642321113	1	4	4	0.1
16	3642321114	3860259708	1	4	4	0.1
17	3860259709	4100399264	1	4	4	0.1
18	4100399265	4318646701	1	4	4	0.1
19	4318646702	4506521535	1	4	4	0.1
20	4506521536	4698076936	1	4	4	0.1
22	4698076937	4911204152	1	4	4	0.1
23	4911204153	5178571772	1	4	4	0.1
1	1	250570191	1	1	4	0.1
2	250570192	483202705	1	1	4	0.1
3	483202706	802864426	1	1	4	0.1
4	802864427	1006383452	1	1	4	0.1
5	1006383453	1241831873	1	1	4	0.1
6	1241831874	1494018944	1	1	4	0.1
7	1494018945	1910380511	1	1	4	0.1
8	1910380512	2067602942	1	1	4	0.1
9	2067602943	2286218974	1	1	4	0.1
10	2286218975	2493640250	1	1	4	0.1
11	2493640251	2716900496	1	1	4	0.1
12	2716900497	2952294630	1	1	4	0.1
13	2952294631	3154065806	1	1	4	0.1
14	3154065807	3397470857	1	1	4	0.1
15	3397470858	3642321113	1	1	4	0.1
16	3642321114	3860259708	1	1	4	0.1
17	3860259709	4100399264	1	1	4	0.1
18	4100399265	4318646701	1	1	4	0.1
19	4318646702	4506521535	1	1	4	0.1
20	4506521536	4698076936	1	1	4	0.1
22	4698076937	4911204152	1	1	4	0.1
23	4911204153	5178571772	1	1	4	0.1
L	1120600010	1120600010	1	6	6	0.01
L	4548374707	4548374707	1	6	6	0.01
L	1156672021	1156672021	1	6	6	0.01
L	4549119902	4549119902	1	6	6	0.01
L	4637736612	4637736612	1	6	6	0.01
L	4656765970	4656765970	1	6	6	0.01
L	4578112076	4578112076	1	6	6	0.01
L	4657066534	4657066534	1	6	6	0.01
L	4656958544	4656958544	1	6	6	0.01
L	4642070912	4642070912	1	6	6	0.01
L	4641859237	4641859237	1	6	6	0.01
L	4641776504	4641776504	1	6	6	0.01
L	4582717714	4582717714	1	6	6	0.01
L	1111533972	1111533972	1	6	6	0.01
L	4668610466	4668610466	1	6	6	0.01
L	4667893930	4667893930	1	6	6	0.01
L	4665384673	4665384673	1	6	6	0.01
