chr	locus	value
chr4	95107277	chr4
aRhiBiv1_chr1	419840713	aRhiBiv1_chr1
aRhiBiv1_chr2	412780030	aRhiBiv1_chr2
aRhiBiv1_chr3	297952203	aRhiBiv1_chr3
aRhiBiv1_chr7	156756981	aRhiBiv1_chr7
aRhiBiv1_chr8	138765410	aRhiBiv1_chr8
aRhiBiv1_chr15	40496056	aRhiBiv1_chr15
aRhiBiv1_chr17	31968323	aRhiBiv1_chr17
bCalAnn1_chr2	75671069	bCalAnn1_chr2
bCalAnn1_chr5	8322942	bCalAnn1_chr5
bCalAnn1_chr6	17700979	bCalAnn1_chr6
bCalAnn1_chr11	10151174	bCalAnn1_chr11
bCalAnn1_chr4A	22372672	bCalAnn1_chr4A
bCalAnn1_chr4B	11645972	bCalAnn1_chr4B
bCalAnn1_chrZ	37040502	bCalAnn1_chrZ
bStrHab1_chr1	77822281	bStrHab1_chr1
bStrHab1_chr3	44541321	bStrHab1_chr3
bStrHab1_chr4	43230195	bStrHab1_chr4
bStrHab1_chr5	41620323	bStrHab1_chr5
bStrHab1_chr7	35065617	bStrHab1_chr7
bStrHab1_chrZ	50934684	bStrHab1_chrZ
bTaeGut1_chr2	75344399	bTaeGut1_chr2
bTaeGut1_chr4	35776459	bTaeGut1_chr4
bTaeGut1_chr5	31002683	bTaeGut1_chr5
bTaeGut1_chr6	17832517	bTaeGut1_chr6
bTaeGut1_chr11	10506177	bTaeGut1_chr11
bTaeGut1_chrZ	37729853	bTaeGut1_chrZ
fAnaTes1_chr1	13678560	fAnaTes1_chr1
fAnaTes1_chr3	13968889	fAnaTes1_chr3
fAnaTes1_chr4	13045151	fAnaTes1_chr4
fAnaTes1_chr5	13359685	fAnaTes1_chr5
fAnaTes1_chr6	12531697	fAnaTes1_chr6
fAnaTes1_chr9	14259794	fAnaTes1_chr9
fAnaTes1_chr10	11728320	fAnaTes1_chr10
fAnaTes1_chr11	11181484	fAnaTes1_chr11
fAnaTes1_chr12	9697170	fAnaTes1_chr12
fAnaTes1_chr17	11708315	fAnaTes1_chr17
fAnaTes1_chr18	15540457	fAnaTes1_chr18
fAnaTes1_chr19	9346866	fAnaTes1_chr19
fAnaTes1_chr22	10491238	fAnaTes1_chr22
fArcCen1_chr1	20360476	fArcCen1_chr1
fArcCen1_chr4	19261569	fArcCen1_chr4
fArcCen1_chr5	18156033	fArcCen1_chr5
fArcCen1_chr9	14167040	fArcCen1_chr9
fArcCen1_chr10	19941491	fArcCen1_chr10
fArcCen1_chr11	18249144	fArcCen1_chr11
fArcCen1_chr12	13233023	fArcCen1_chr12
fArcCen1_chr17	17785540	fArcCen1_chr17
fArcCen1_chr19	15507179	fArcCen1_chr19
fArcCen1_Super_Scaffold_8	11952072	fArcCen1_Super_Scaffold_8
fArcCen1_scaffold_23_ctg1	4763914	fArcCen1_scaffold_23_ctg1
fArcCen1_scaffold_24_ctg1	3667748	fArcCen1_scaffold_24_ctg1
fArcCen1_scaffold_26_ctg1	3831496	fArcCen1_scaffold_26_ctg1
fArcCen1_scaffold_30_ctg1	2198798	fArcCen1_scaffold_30_ctg1
fArcCen1_scaffold_37_ctg1	1814926	fArcCen1_scaffold_37_ctg1
fArcCen1_scaffold_38_ctg1	1752799	fArcCen1_scaffold_38_ctg1
fArcCen1_scaffold_44_ctg1	1303279	fArcCen1_scaffold_44_ctg1
fArcCen1_scaffold_48_ctg1	1178362	fArcCen1_scaffold_48_ctg1
fArcCen1_scaffold_71_ctg1	292659	fArcCen1_scaffold_71_ctg1
fAstCal1_chr1	20581203	fAstCal1_chr1
fAstCal1_chr2	19107848	fAstCal1_chr2
fAstCal1_chr3	26256207	fAstCal1_chr3
fAstCal1_chr5	19339139	fAstCal1_chr5
fAstCal1_chr6	20714010	fAstCal1_chr6
fAstCal1_chr7	34198889	fAstCal1_chr7
fAstCal1_chr8	12913854	fAstCal1_chr8
fAstCal1_chr12	19334680	fAstCal1_chr12
fAstCal1_chr18	17926294	fAstCal1_chr18
fAstCal1_chr19	15431565	fAstCal1_chr19
fAstCal1_chr22	17505732	fAstCal1_chr22
fAstCal1_chr23	21960902	fAstCal1_chr23
fCotGob3_chr1	13527933	fCotGob3_chr1
fCotGob3_chr3	15014497	fCotGob3_chr3
fCotGob3_chr4	14474522	fCotGob3_chr4
fCotGob3_chr5	15239719	fCotGob3_chr5
fCotGob3_chr6	13840172	fCotGob3_chr6
fCotGob3_chr9	15036273	fCotGob3_chr9
fCotGob3_chr10	13719134	fCotGob3_chr10
fCotGob3_chr11	11096709	fCotGob3_chr11
fCotGob3_chr12	11451260	fCotGob3_chr12
fCotGob3_chr15	12481605	fCotGob3_chr15
fCotGob3_chr18	7465191	fCotGob3_chr18
fCotGob3_chr19	10530063	fCotGob3_chr19
fCotGob3_chr21	12052396	fCotGob3_chr21
fCotGob3_chr22	11304556	fCotGob3_chr22
fCotGob3_chr24	11220910	fCotGob3_chr24
fCotGob3_fCotGob3_149arrow_ctg1	160116	fCotGob3_fCotGob3_149arrow_ctg1
fCotGob3_fCotGob3_253arrow_ctg1	25761	fCotGob3_fCotGob3_253arrow_ctg1
fCotGob3_fCotGob3_305arrow_ctg1	49653	fCotGob3_fCotGob3_305arrow_ctg1
fGouWil2_chr1	22966643	fGouWil2_chr1
fGouWil2_chr3	23028778	fGouWil2_chr3
fGouWil2_chr4	21900578	fGouWil2_chr4
fGouWil2_chr5	21401395	fGouWil2_chr5
fGouWil2_chr6	36225988	fGouWil2_chr6
fGouWil2_chr9	21574856	fGouWil2_chr9
fGouWil2_chr10	21485044	fGouWil2_chr10
fGouWil2_chr11	16291782	fGouWil2_chr11
fGouWil2_chr12	16739349	fGouWil2_chr12
fGouWil2_chr17	18584809	fGouWil2_chr17
fGouWil2_chr18	14239168	fGouWil2_chr18
fGouWil2_chr19	13491330	fGouWil2_chr19
fGouWil2_chr22	17338308	fGouWil2_chr22
fGouWil2_scaffold_332_arrow_ctg1	1086998	fGouWil2_scaffold_332_arrow_ctg1
fMasArm1_chr1	13041935	fMasArm1_chr1
fMasArm1_chr3	14065036	fMasArm1_chr3
fMasArm1_chr4	13906038	fMasArm1_chr4
fMasArm1_chr5	14381481	fMasArm1_chr5
fMasArm1_chr6	12545156	fMasArm1_chr6
fMasArm1_chr9	12911114	fMasArm1_chr9
fMasArm1_chr10	14562035	fMasArm1_chr10
fMasArm1_chr11	11470894	fMasArm1_chr11
fMasArm1_chr12	10521815	fMasArm1_chr12
fMasArm1_chr17	12474818	fMasArm1_chr17
fMasArm1_chr18	9837967	fMasArm1_chr18
fMasArm1_chr19	9960384	fMasArm1_chr19
fMasArm1_chr22	11643006	fMasArm1_chr22
mLynCan4_chrA1	120006330	mLynCan4_chrA1
mLynCan4_chrA2	84494171	mLynCan4_chrA2
mLynCan4_chrB1	102990426	mLynCan4_chrB1
mLynCan4_chrB4	70655818	mLynCan4_chrB4
mLynCan4_chrC1	110477330	mLynCan4_chrC1
mLynCan4_chrC2	79463687	mLynCan4_chrC2
mLynCan4_chrD1	57857957	mLynCan4_chrD1
mLynCan4_chrD2	43626419	mLynCan4_chrD2
mLynCan4_chrE2	30781656	mLynCan4_chrE2
mLynCan4_chrF2	41635303	mLynCan4_chrF2
mOrnAna1_chr1	93253008	mOrnAna1_chr1
mOrnAna1_chr3	70993541	mOrnAna1_chr3
mOrnAna1_chr4	68047194	mOrnAna1_chr4
mOrnAna1_chr6	25746746	mOrnAna1_chr6
mOrnAna1_chr8	35474907	mOrnAna1_chr8
mOrnAna1_chr10	29722348	mOrnAna1_chr10
mOrnAna1_chr11	31753015	mOrnAna1_chr11
mOrnAna1_chr12	30228024	mOrnAna1_chr12
mOrnAna1_chr16	23198637	mOrnAna1_chr16
mOrnAna1_chr18	22342250	mOrnAna1_chr18
mOrnAna1_chrX3	16931668	mOrnAna1_chrX3
mPhyDis1_chr1	109215071	mPhyDis1_chr1
mPhyDis1_chr3	107449449	mPhyDis1_chr3
mPhyDis1_chr4	104928251	mPhyDis1_chr4
mPhyDis1_chr5	87574110	mPhyDis1_chr5
mPhyDis1_chr6	85871431	mPhyDis1_chr6
mPhyDis1_chr8	57428267	mPhyDis1_chr8
mPhyDis1_chr10	47816787	mPhyDis1_chr10
mPhyDis1_chr11	47612418	mPhyDis1_chr11
mPhyDis1_chr12	38979755	mPhyDis1_chr12
mRhiFer1_chr3	52150368	mRhiFer1_chr3
mRhiFer1_chr4	53103023	mRhiFer1_chr4
mRhiFer1_chr5	44012871	mRhiFer1_chr5
mRhiFer1_chr6	50576792	mRhiFer1_chr6
mRhiFer1_chr7	50138214	mRhiFer1_chr7
mRhiFer1_chr11	44559714	mRhiFer1_chr11
mRhiFer1_chr15	25527915	mRhiFer1_chr15
mRhiFer1_chr16	33869140	mRhiFer1_chr16
mRhiFer1_chr17	33468916	mRhiFer1_chr17
mRhiFer1_chr18	31311502	mRhiFer1_chr18
mRhiFer1_chr20	28891940	mRhiFer1_chr20
mRhiFer1_chrX	62466689	mRhiFer1_chrX
rGopEvg1_chr2	149723587	rGopEvg1_chr2
