name	start	end	strand	col	fill	lwd
A1	1	517358904	1	4	4	0.1
A2	517358905	881621456	1	4	4	0.1
A3	881621457	1183034306	1	4	4	0.1
B1	1183034307	1627036001	1	4	4	0.1
B2	1627036002	1956302884	1	4	4	0.1
B3	1956302885	2271241472	1	4	4	0.1
B4	2271241473	2575845542	1	4	4	0.1
C1	2575845543	3052124005	1	4	4	0.1
C2	3052124006	3394699651	1	4	4	0.1
D1	3394699652	3644130906	1	4	4	0.1
D2	3644130907	3832208623	1	4	4	0.1
D3	3832208624	4033641040	1	4	4	0.1
D4	4033641041	4235067788	1	4	4	0.1
E1	4235067789	4365845239	1	4	4	0.1
E2	4365845240	4498547939	1	4	4	0.1
E3	4498547940	4587034989	1	4	4	0.1
F1	4587034990	4735925662	1	4	4	0.1
F2	4735925663	4915419483	1	4	4	0.1
X	4915419484	5178571776	1	4	4	0.1
A1	1	517358904	1	1	4	0.1
A2	517358905	881621456	1	1	4	0.1
A3	881621457	1183034306	1	1	4	0.1
B1	1183034307	1627036001	1	1	4	0.1
B2	1627036002	1956302884	1	1	4	0.1
B3	1956302885	2271241472	1	1	4	0.1
B4	2271241473	2575845542	1	1	4	0.1
C1	2575845543	3052124005	1	1	4	0.1
C2	3052124006	3394699651	1	1	4	0.1
D1	3394699652	3644130906	1	1	4	0.1
D2	3644130907	3832208623	1	1	4	0.1
D3	3832208624	4033641040	1	1	4	0.1
D4	4033641041	4235067788	1	1	4	0.1
E1	4235067789	4365845239	1	1	4	0.1
E2	4365845240	4498547939	1	1	4	0.1
E3	4498547940	4587034989	1	1	4	0.1
F1	4587034990	4735925662	1	1	4	0.1
F2	4735925663	4915419483	1	1	4	0.1
X	4915419484	5178571776	1	1	4	0.1
L	2576280876	2576280876	1	6	6	0.01
L	2576550177	2576550177	1	6	6	0.01
L	2576715088	2576715088	1	6	6	0.01
L	2576722212	2576722212	1	6	6	0.01
L	2577734621	2577734621	1	6	6	0.01
L	2578369702	2578369702	1	6	6	0.01
L	2578391289	2578391289	1	6	6	0.01
L	2580087074	2580087074	1	6	6	0.01
L	2580096404	2580096404	1	6	6	0.01
L	2580356637	2580356637	1	6	6	0.01
L	2580396217	2580396217	1	6	6	0.01
L	2580468328	2580468328	1	6	6	0.01
L	2584306923	2584306923	1	6	6	0.01
L	2587950597	2587950597	1	6	6	0.01
L	2590026493	2590026493	1	6	6	0.01
L	2590649430	2590649430	1	6	6	0.01
L	2591668202	2591668202	1	6	6	0.01
L	2592753023	2592753023	1	6	6	0.01
L	2593118953	2593118953	1	6	6	0.01
L	2593846218	2593846218	1	6	6	0.01
L	2594466923	2594466923	1	6	6	0.01
L	2599948666	2599948666	1	6	6	0.01
L	2605594284	2605594284	1	6	6	0.01
L	2606246029	2606246029	1	6	6	0.01
L	2606571457	2606571457	1	6	6	0.01
L	2607865838	2607865838	1	6	6	0.01
L	2608043931	2608043931	1	6	6	0.01
L	2609591831	2609591831	1	6	6	0.01
L	2612022880	2612022880	1	6	6	0.01
L	2616813552	2616813552	1	6	6	0.01
L	2617548333	2617548333	1	6	6	0.01
L	2617738327	2617738327	1	6	6	0.01
L	2618000140	2618000140	1	6	6	0.01
L	2618603017	2618603017	1	6	6	0.01
L	2618757373	2618757373	1	6	6	0.01
L	2618806453	2618806453	1	6	6	0.01
L	2619310341	2619310341	1	6	6	0.01
L	2620451979	2620451979	1	6	6	0.01
L	2621144697	2621144697	1	6	6	0.01
L	2621492855	2621492855	1	6	6	0.01
L	2627713895	2627713895	1	6	6	0.01
L	2633922456	2633922456	1	6	6	0.01
L	2634252055	2634252055	1	6	6	0.01
L	2634948958	2634948958	1	6	6	0.01
L	2634956703	2634956703	1	6	6	0.01
L	2635410860	2635410860	1	6	6	0.01
L	2637522170	2637522170	1	6	6	0.01
L	2637597595	2637597595	1	6	6	0.01
L	2638060365	2638060365	1	6	6	0.01
L	2641598625	2641598625	1	6	6	0.01
L	2642602936	2642602936	1	6	6	0.01
L	2648006234	2648006234	1	6	6	0.01
L	2648429573	2648429573	1	6	6	0.01
L	2648556509	2648556509	1	6	6	0.01
L	2649956697	2649956697	1	6	6	0.01
L	2650858238	2650858238	1	6	6	0.01
L	2651548216	2651548216	1	6	6	0.01
L	2652285929	2652285929	1	6	6	0.01
L	2652300851	2652300851	1	6	6	0.01
L	2652614878	2652614878	1	6	6	0.01
L	2654195382	2654195382	1	6	6	0.01
L	2654280143	2654280143	1	6	6	0.01
L	2654981910	2654981910	1	6	6	0.01
L	2666652266	2666652266	1	6	6	0.01
L	2667503477	2667503477	1	6	6	0.01
L	2669261857	2669261857	1	6	6	0.01
L	2669431678	2669431678	1	6	6	0.01
L	2669584183	2669584183	1	6	6	0.01
L	2669687485	2669687485	1	6	6	0.01
L	2670833420	2670833420	1	6	6	0.01
L	2671053170	2671053170	1	6	6	0.01
L	2677599193	2677599193	1	6	6	0.01
L	2677937981	2677937981	1	6	6	0.01
L	2685393533	2685393533	1	6	6	0.01
L	2687588252	2687588252	1	6	6	0.01
L	2694350268	2694350268	1	6	6	0.01
L	2715803204	2715803204	1	6	6	0.01
L	2728105746	2728105746	1	6	6	0.01
L	2729926560	2729926560	1	6	6	0.01
L	1693628756	1693628756	1	6	6	0.01
L	2730774341	2730774341	1	6	6	0.01
L	2734019627	2734019627	1	6	6	0.01
L	2737106101	2737106101	1	6	6	0.01
L	2743718974	2743718974	1	6	6	0.01
L	2747937846	2747937846	1	6	6	0.01
L	2774697132	2774697132	1	6	6	0.01
L	2778013773	2778013773	1	6	6	0.01
L	2779666473	2779666473	1	6	6	0.01
L	2784807535	2784807535	1	6	6	0.01
L	2792499463	2792499463	1	6	6	0.01
L	2792634142	2792634142	1	6	6	0.01
L	2794727468	2794727468	1	6	6	0.01
L	4723179419	4723179419	1	6	6	0.01
L	4607683256	4607683256	1	6	6	0.01
L	4610260348	4610260348	1	6	6	0.01
L	4612246621	4612246621	1	6	6	0.01
L	4613470082	4613470082	1	6	6	0.01
L	4614714129	4614714129	1	6	6	0.01
L	4616970732	4616970732	1	6	6	0.01
L	4620952023	4620952023	1	6	6	0.01
L	4631798059	4631798059	1	6	6	0.01
L	4636819871	4636819871	1	6	6	0.01
L	4636700332	4636700332	1	6	6	0.01
L	4636437778	4636437778	1	6	6	0.01
L	4690081504	4690081504	1	6	6	0.01
L	4689815869	4689815869	1	6	6	0.01
L	4678804392	4678804392	1	6	6	0.01
L	4679939875	4679939875	1	6	6	0.01
L	4680178615	4680178615	1	6	6	0.01
L	4663165360	4663165360	1	6	6	0.01
L	4655156043	4655156043	1	6	6	0.01
L	4654544764	4654544764	1	6	6	0.01
L	4654167940	4654167940	1	6	6	0.01
L	4653549304	4653549304	1	6	6	0.01
L	4649116332	4649116332	1	6	6	0.01
L	4714306244	4714306244	1	6	6	0.01
L	4592084779	4592084779	1	6	6	0.01
L	189968743	189968743	1	6	6	0.01
L	3794044582	3794044582	1	6	6	0.01
L	3794730627	3794730627	1	6	6	0.01
L	3795384577	3795384577	1	6	6	0.01
L	3795777622	3795777622	1	6	6	0.01
L	3798414677	3798414677	1	6	6	0.01
L	3803171812	3803171812	1	6	6	0.01
L	3803398130	3803398130	1	6	6	0.01
L	4599459123	4599459123	1	6	6	0.01
L	4597901630	4597901630	1	6	6	0.01
L	1181821898	1181821898	1	7	7	0.01
L	1173161627	1173161627	1	7	7	0.01
L	1173110689	1173110689	1	7	7	0.01
L	1168673948	1168673948	1	7	7	0.01
L	1166372300	1166372300	1	7	7	0.01
L	1166157692	1166157692	1	7	7	0.01
L	1165622340	1165622340	1	7	7	0.01
L	1154283966	1154283966	1	7	7	0.01
L	1135912974	1135912974	1	7	7	0.01
L	1133064665	1133064665	1	7	7	0.01
L	1015630701	1015630701	1	7	7	0.01
L	1017520759	1017520759	1	7	7	0.01
L	1017681087	1017681087	1	7	7	0.01
L	1017738101	1017738101	1	7	7	0.01
L	1018645529	1018645529	1	7	7	0.01
L	1022703478	1022703478	1	7	7	0.01
L	1036759281	1036759281	1	7	7	0.01
L	1040639412	1040639412	1	7	7	0.01
L	1052851228	1052851228	1	7	7	0.01
L	1053785475	1053785475	1	7	7	0.01
L	1055474502	1055474502	1	7	7	0.01
L	1056583711	1056583711	1	7	7	0.01
L	1064839090	1064839090	1	7	7	0.01
L	2001309113	2001309113	1	7	7	0.01
L	2001372872	2001372872	1	7	7	0.01
L	1073978538	1073978538	1	7	7	0.01
L	1097348892	1097348892	1	7	7	0.01
L	1097880147	1097880147	1	7	7	0.01
L	1100136286	1100136286	1	7	7	0.01
L	1012731600	1012731600	1	7	7	0.01
L	1008692465	1008692465	1	7	7	0.01
L	1004257866	1004257866	1	7	7	0.01
L	1004085252	1004085252	1	7	7	0.01
