# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i fArcCen1.pri.cur.20190208.fasta -o fArcCen1.pri.cur.20190208.fasta.vert.human.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t fMasArm1.pri.cur.20190305.vert.humna.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	scaffold_50_ctg1	844094	894620	3998.9	2163
EOG090B0021	Complete	chr13	17024780	17051387	924.6	651
EOG090B002I	Complete	chr20	8418537	8457446	1983.5	2402
EOG090B0039	Complete	chr4	29142036	29198249	5153.7	2583
EOG090B003S	Complete	chr14	26587865	26614278	3591.9	2118
EOG090B004D	Complete	chr13	27955518	27969994	4689.1	2071
EOG090B004X	Complete	chr4	27998406	28028237	4748.1	2345
EOG090B0050	Complete	chr16	11288254	11319399	3972.4	2081
EOG090B005N	Complete	chr20	21558589	21590342	4368.8	2071
EOG090B005Q	Complete	chr13	25765803	25808269	3482.1	1834
EOG090B0067	Complete	chr16	22347316	22372368	2051.2	2432
EOG090B006Y	Complete	chr8	25257093	25274277	3434.4	1808
EOG090B006Z	Complete	scaffold_71_ctg1	558944	568422	2011.2	1354
EOG090B007C	Complete	chr21	34770304	34813970	3204.6	1652
EOG090B007D	Complete	chr22	27755456	27846568	2964.8	1664
EOG090B007O	Complete	chr20	25913682	25923261	1851.8	2278
EOG090B007P	Complete	chr22	10805066	10819816	3116.7	1772
EOG090B008K	Complete	scaffold_23_ctg1	5747867	5772892	2808.2	1522
EOG090B008M	Complete	chr6	29210371	29226087	3026.5	1723
EOG090B0092	Complete	chr17	3226630	3317120	2010.5	1362
EOG090B0097	Complete	chr12	6161049	6191980	2724.1	1899
EOG090B009E	Complete	scaffold_44_ctg1	1977664	2022636	3056.5	1504
EOG090B009G	Complete	chr13	31586550	31614859	3587.2	1859
EOG090B009K	Complete	chr1	27353865	27403250	2626.7	1670
EOG090B009Q	Complete	chr1	16845218	16856173	1408.9	1502
EOG090B009U	Complete	scaffold_50_ctg1	1748937	1819623	3126.8	1579
EOG090B00A3	Complete	chr1	22792472	22809432	3015.3	1580
EOG090B00A5	Complete	chr5	26096582	26110679	2550.1	1631
EOG090B00AI	Complete	chr21	33874632	33908133	2023.0	1620
EOG090B00B0	Complete	Super_Scaffold_8	22380241	22397388	3026.6	1489
EOG090B00BC	Complete	chr12	14648992	14659325	600.2	434
EOG090B00BI	Complete	chr12	13688861	13705971	2200.0	1807
EOG090B00BQ	Complete	chr1	33024873	33040867	2009.8	1126
EOG090B00BU	Complete	chr22	11270283	11306479	1529.0	1359
EOG090B00BV	Complete	chr3	84520	117152	1593.9	1641
