# BUSCO version is: 4.1.2 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2020-09-10, number of species: 3354, number of BUSCOs: 67)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
173at7742	Complete	chr5	90608932	90864626	6477.2	4334	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	chr1	19074832	19210362	8835.1	4338	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	chr13	77041942	77326775	6948.2	3540	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	chr13	23330136	23375362	7533.9	3934	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	chr1	12234267	12475494	6651.9	3670	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	chr12	112162387	112285260	7097.7	3429	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	chr10	16815840	17003778	3083.2	1898	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	chr7	98880989	99012355	7105.3	3298	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	chr7	103477597	103662291	4495.7	2427	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	chr16	18825363	18915037	4617.1	2607	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	chr1	43389969	43450480	4132.8	2462	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	chr2	61188102	61401839	5588.0	2587	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	chr1	235643601	235848284	4026.4	2337	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	chr12	96489610	96820647	2756.1	2186	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	chr4	3083889	3240059	4730.6	2482	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	chr17	4006890	4142895	4097.0	2290	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	chr1	197084324	197146437	3985.1	2850	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	chr1	11108177	11259409	4609.8	2187	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Missing
4443at7742	Complete	chr12	120127849	120194697	4263.5	2249	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	chr17	1650802	1681081	4451.6	1865	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	chr15	44561378	44663584	2515.0	1741	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	chr18	45852467	45967239	3368.1	1959	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	chr1	55069045	55180742	3397.8	1834	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Complete	chr14	31100930	31205840	3734.8	2033	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5465at7742	Complete	chr11	121452332	121629563	3273.3	1784	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Missing
5604at7742	Complete	chr12	40225132	40367765	3200.3	2010	https://www.orthodb.org/v10?query=5604at7742	leucine-rich repeat serine/threonine-protein kinase 2
5938at7742	Complete	chr12	101280283	101386123	3964.8	2351	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Complete	chr3	132432600	132538282	4237.1	2009	https://www.orthodb.org/v10?query=5981at7742	dnaJ homolog subfamily C member 13 isoform X1
6108at7742	Complete	chr12	132624697	132687315	3639.4	1845	https://www.orthodb.org/v10?query=6108at7742	DNA polymerase epsilon catalytic subunit A
6126at7742	Complete	chr6	83096978	83168167	3774.0	1993	https://www.orthodb.org/v10?query=6126at7742	Dopey family member 1
6253at7742	Complete	chr2	151410424	151475071	1650.2	1138	https://www.orthodb.org/v10?query=6253at7742	Replication timing regulatory factor 1
6305at7742	Complete	chr8	102236763	102381208	4096.6	2091	https://www.orthodb.org/v10?query=6305at7742	Ubiquitin protein ligase E3 component n-recognin 5
6701at7742	Complete	chr2	15275124	15487412	2132.4	1226	https://www.orthodb.org/v10?query=6701at7742	neuroblastoma-amplified sequence
7000at7742	Complete	chr6	138189079	138336486	3423.9	1797	https://www.orthodb.org/v10?query=7000at7742	brefeldin A-inhibited guanine nucleotide-exchange protein 3
7262at7742	Complete	chr12	5949015	6141295	3167.1	2255	https://www.orthodb.org/v10?query=7262at7742	von Willebrand factor
7732at7742	Complete	chr14	67748436	67815963	2698.8	1878	https://www.orthodb.org/v10?query=7732at7742	Zinc finger FYVE-type containing 26
7768at7742	Complete	chr22	24035518	24178196	2855.4	1541	https://www.orthodb.org/v10?query=7768at7742	calcineurin-binding protein cabin-1 isoform X1
8258at7742	Complete	chr12	53268767	53293474	1627.3	1347	https://www.orthodb.org/v10?query=8258at7742	Extra spindle pole bodies like 1, separase
8409at7742	Complete	chr17	1725038	1737685	2462.3	1466	https://www.orthodb.org/v10?query=8409at7742	WD repeat-containing protein 81
8503at7742	Complete	chr21	36164734	36293571	3106.6	1805	https://www.orthodb.org/v10?query=8503at7742	Dopey family member 2
8757at7742	Complete	chr2	208271520	208355305	3328.8	1635	https://www.orthodb.org/v10?query=8757at7742	Phosphoinositide kinase, FYVE-type zinc finger containing
8766at7742	Complete	chr18	70004151	70205658	2160.5	1525	https://www.orthodb.org/v10?query=8766at7742	rotatin
8874at7742	Complete	chr1	236550902	236604095	2754.1	1758	https://www.orthodb.org/v10?query=8874at7742	HEAT repeat-containing protein 1
8995at7742	Complete	chr21	32314918	32392910	2382.4	1704	https://www.orthodb.org/v10?query=8995at7742	nucleolar pre-ribosomal-associated protein 1
9110at7742	Complete	chr2	111769291	111880825	3094.9	1622	https://www.orthodb.org/v10?query=9110at7742	anaphase-promoting complex subunit 1
9484at7742	Complete	chr19	40472622	40575569	3759.2	2167	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9579at7742	Complete	chr3	113647173	113675990	1957.5	1707	https://www.orthodb.org/v10?query=9579at7742	Upstream transcription factor family member 3
9683at7742	Complete	chr17	28612727	28645056	3414.9	1854	https://www.orthodb.org/v10?query=9683at7742	protein KIAA0100 homolog isoform X1
9744at7742	Complete	chr7	135557945	135651387	2621.3	1421	https://www.orthodb.org/v10?query=9744at7742	Nucleoporin 205
10003at7742	Complete	chr7	1470577	1503960	3417.0	1790	https://www.orthodb.org/v10?query=10003at7742	integrator complex subunit 1
10136at7742	Complete	chr18	74631020	74635714	1027.6	933	https://www.orthodb.org/v10?query=10136at7742	zinc finger protein 407
10163at7742	Complete	chr9	131410471	131496141	1560.0	1250	https://www.orthodb.org/v10?query=10163at7742	protein PRRC2B isoform X1
10485at7742	Complete	chr1	171512089	171591847	1571.5	1503	https://www.orthodb.org/v10?query=10485at7742	protein PRRC2C isoform X1
10757at7742	Complete	chr3	129556312	129606639	2610.2	1525	https://www.orthodb.org/v10?query=10757at7742	plexin-D1
10899at7742	Complete	chr17	75724704	75757555	2235.0	1376	https://www.orthodb.org/v10?query=10899at7742	Integrin beta
11104at7742	Complete	chr4	37418158	37447217	2957.0	1452	https://www.orthodb.org/v10?query=11104at7742	NACHT and WD repeat domain-containing protein 2
11195at7742	Fragmented	chr13	41654552	41747248	890.1	589	https://www.orthodb.org/v10?query=11195at7742	von Willebrand factor A domain-containing protein 8
11237at7742	Complete	chr2	229767554	229880079	2916.7	1660	https://www.orthodb.org/v10?query=11237at7742	Thyroid hormone receptor interactor 12
11472at7742	Complete	chr14	95090498	95133428	2922.2	1404	https://www.orthodb.org/v10?query=11472at7742	endoribonuclease Dicer
11505at7742	Complete	chr16	2048616	2088610	2697.2	1434	https://www.orthodb.org/v10?query=11505at7742	tuberin isoform X1
11550at7742	Complete	chr18	13012022	13124770	1905.2	1363	https://www.orthodb.org/v10?query=11550at7742	centrosomal protein 192 
11696at7742	Complete	chr2	27444432	27490044	2961.2	1556	https://www.orthodb.org/v10?query=11696at7742	Intraflagellar transport 172
11895at7742	Complete	chr12	122530064	122625860	2903.3	1916	https://www.orthodb.org/v10?query=11895at7742	kinetochore-associated protein 1
12004at7742	Complete	chr2	169869670	170081843	2788.9	1412	https://www.orthodb.org/v10?query=12004at7742	E3 ubiquitin-protein ligase UBR3
12300at7742	Complete	chr3	38039226	38122412	1991.2	1376	https://www.orthodb.org/v10?query=12300at7742	deleted in lung and esophageal cancer protein 1
12491at7742	Complete	chr17	67078252	67210216	2560.4	1309	https://www.orthodb.org/v10?query=12491at7742	Helicase with zinc finger
12613at7742	Fragmented	chr13	101055295	101111207	1334.6	786	https://www.orthodb.org/v10?query=12613at7742	sodium leak channel non-selective protein
12616at7742	Complete	chr10	113588975	113663882	2758.6	1512	https://www.orthodb.org/v10?query=12616at7742	nebulin-related-anchoring protein
12659at7742	Complete	chr10	91924077	92028933	3131.7	1575	https://www.orthodb.org/v10?query=12659at7742	B-TFIID TATA-box binding protein associated factor 1
13296at7742	Complete	chr21	28925821	28992805	1957.9	1290	https://www.orthodb.org/v10?query=13296at7742	E3 ubiquitin-protein ligase listerin
13480at7742	Complete	chr2	219002937	219039491	1347.3	1123	https://www.orthodb.org/v10?query=13480at7742	Cilia and flagella associated protein 65
13670at7742	Complete	chr9	128947720	129006678	2637.9	1435	https://www.orthodb.org/v10?query=13670at7742	nucleoporin NUP188 homolog
