chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr31	14359834	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr31	27483670	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr31	27351989	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr31	27403301	EOG090B03H1
chr1	2019424	EOG090B07C7	chr31	15843391	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr31	23644367	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr31	23667772	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr31	5439584	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr31	5456144	EOG090B05QE
chr1	3781088	EOG090B060G	chr31	15745239	EOG090B060G
chr1	3815402	EOG090B027C	chr31	21189243	EOG090B027C
chr1	3857604	EOG090B099H	chr31	21278978	EOG090B099H
chr1	6225080	EOG090B0BYH	chr31	25071722	EOG090B0BYH
chr1	6525854	EOG090B066X	chr31	26320305	EOG090B066X
chr1	8324330	EOG090B03E1	chr31	25991507	EOG090B03E1
chr1	9588931	EOG090B06F2	chr31	11117602	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr31	10799135	EOG090B0ILM
chr1	10461490	EOG090B098N	chr31	9902708	EOG090B098N
chr1	11066718	EOG090B01UK	chr31	19215734	EOG090B01UK
chr1	11273532	EOG090B09M4	chr31	19452875	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr31	26863924	EOG090B0DNB
chr1	12021727	EOG090B0932	chr31	26545392	EOG090B0932
chr1	15701941	EOG090B01DA	chr31	28939017	EOG090B01DA
chr1	19339530	EOG090B08IR	chr31	28360352	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr31	28197976	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr31	28149481	EOG090B09XF
chr1	20652379	EOG090B0651	chr31	28533180	EOG090B0651
chr1	20744797	EOG090B076T	chr31	20979163	EOG090B076T
chr1	21679417	EOG090B014N	chr31	17784180	EOG090B014N
chr1	23030397	EOG090B02B1	chr27	4060992	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr27	4363605	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr27	4265596	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr27	10075675	EOG090B07YS
chr1	26432946	EOG090B08EA	chr27	10743893	EOG090B08EA
chr1	26790816	EOG090B05U9	chr27	10561779	EOG090B05U9
chr1	26891010	EOG090B066W	chr27	10784915	EOG090B066W
chr1	26921849	EOG090B0CH3	chr27	10809498	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr27	10881442	EOG090B02Y1
chr1	27935184	EOG090B065U	chr27	4540486	EOG090B065U
chr1	28330663	EOG090B0DRP	chr27	1714175	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr27	7144239	EOG090B07B6
chr1	32222442	EOG090B08H1	chr27	646689	EOG090B08H1
chr1	35559125	EOG090B04N6	chr27	14656993	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr27	14698329	EOG090B01JZ
chr1	36084922	EOG090B0769	chr27	15837871	EOG090B0769
chr1	36088905	EOG090B0AA8	chr27	14331792	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr27	28029345	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr27	34639498	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr27	34662413	EOG090B0C4X
chr1	37803925	EOG090B0G4S	chr27	28397632	EOG090B0G4S
chr1	39841744	EOG090B065A	chr27	26612716	EOG090B065A
chr1	40391348	EOG090B09F3	chr27	26471121	EOG090B09F3
chr1	42430736	EOG090B07R4	chr31	29535693	EOG090B07R4
chr1	43164443	EOG090B0BON	chr10	40522845	EOG090B0BON
chr1	43375683	EOG090B0COA	chr10	52591402	EOG090B0COA
chr1	43451019	EOG090B0B6W	chr10	52344996	EOG090B0B6W
chr1	43970176	EOG090B08RF	chr10	48371508	EOG090B08RF
chr1	44213754	EOG090B06WO	chr10	44222479	EOG090B06WO
chr1	44654559	EOG090B0DK8	chr10	40256057	EOG090B0DK8
chr1	45012266	EOG090B08C2	chr10	46800782	EOG090B08C2
chr1	45331125	EOG090B04FN	chr10	43883523	EOG090B04FN
chr1	45340253	EOG090B05A9	chr10	43905631	EOG090B05A9
chr1	45500333	EOG090B0ES0	chr10	44161700	EOG090B0ES0
chr1	46189270	EOG090B02YV	chr10	40830079	EOG090B02YV
chr1	46248406	EOG090B02KB	chr10	49634634	EOG090B02KB
chr1	46635776	EOG090B0BA1	chr10	49597521	EOG090B0BA1
chr1	52687720	EOG090B0CBQ	chr10	40174201	EOG090B0CBQ
chr1	53069856	EOG090B05IS	chr10	32781466	EOG090B05IS
chr1	53951922	EOG090B06X6	chr10	13510970	EOG090B06X6
chr1	54054333	EOG090B0E8F	chr10	13480490	EOG090B0E8F
chr1	54132968	EOG090B04IK	chr10	13457670	EOG090B04IK
chr1	54200244	EOG090B07JY	chr10	13413828	EOG090B07JY
chr1	54852233	EOG090B04CY	chr10	48691940	EOG090B04CY
chr1	55069045	EOG090B004X	chr10	48423886	EOG090B004X
chr1	58486087	EOG090B06T4	chr10	33730597	EOG090B06T4
chr1	58659997	EOG090B01ON	chr10	33803985	EOG090B01ON
chr1	62437245	EOG090B06NX	chr10	19071654	EOG090B06NX
