# BUSCO version is: 3.0.2 						
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)						
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i GCF_900634415.1_fCotGob3.1_genomic.fna -o GCF_900634415.1_fCotGob3.1_vertebrata.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 16 -t tmpvert/ -sp human						
#						
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr15	1731371	1793396	7198.4	3691
EOG090B0021	Complete	chr13	16402932	16421133	913.4	719
EOG090B002I	Complete	chr24	4878272	4995596	4419.6	2689
EOG090B0039	Duplicated	chr13	16360621	16411816	3464.6	2408
EOG090B0039	Duplicated	chr14	14901049	14939899	3223.9	2366
EOG090B003S	Complete	chr14	5666726	5707497	3921.6	2251
EOG090B004D	Complete	chr13	9604636	9621353	4679.6	2071
EOG090B004X	Complete	chr4	21087189	21121913	4725.2	2331
EOG090B0050	Complete	chr16	20664781	20696397	4018	2086
EOG090B005N	Complete	chr20	5347515	5372421	4347.2	2073
EOG090B005Q	Complete	chr13	11138125	11161991	2882.8	1515
EOG090B0067	Complete	chr16	12073190	12084293	1441.8	1475
EOG090B006Y	Complete	chr8	2957812	2976905	3404.5	1800
EOG090B006Z	Fragmented	chr4	5771656	5781115	786.8	1034
EOG090B007C	Complete	chr21	1009172	1053277	3119.7	1566
EOG090B007D	Complete	chr22	14211640	14300735	2477	1564
EOG090B007O	Complete	chr20	2339579	2347731	1565.4	1295
EOG090B007P	Complete	chr22	11128526	11144910	2963.9	1664
EOG090B008K	Complete	chr18	2745618	2762120	2517.9	1463
EOG090B008M	Complete	chr6	8245141	8262329	3427.3	1798
EOG090B0092	Complete	chr17	16805829	16869917	2415.8	1401
EOG090B0097	Complete	chr12	20664855	20680320	2743	1881
EOG090B009E	Complete	chr22	20514224	20538415	3150.7	1517
EOG090B009G	Complete	chr13	2627627	2647781	3580.3	1752
EOG090B009K	Complete	chr1	14695083	14729556	2276.5	1113
EOG090B009Q	Complete	chr1	2999239	3005802	1704.6	1670
EOG090B009U	Complete	chr15	1073395	1184021	2752.1	1596
EOG090B00A3	Complete	chr1	11251759	11266814	3018.5	1580
EOG090B00A5	Complete	chr5	21551355	21578029	2326	1527
EOG090B00AI	Complete	chr21	462758	477612	2027.2	1595
EOG090B00B0	Complete	chr18	10061627	10073227	3014.2	1494
EOG090B00BC	Complete	chr12	16769507	16783530	598.7	427
EOG090B00BI	Complete	chr12	12938436	12955352	2214.6	1826
EOG090B00BQ	Complete	chr1	19023954	19037359	2002.4	1111
EOG090B00BU	Complete	chr3	24120206	24207496	2008.7	1614
EOG090B00BV	Complete	chr3	7689175	7709286	1479.7	1434
EOG090B00CA	Complete	chr15	10426490	10488872	2103.5	1925
