start1	end1	start2	end2	col
2642788538	2642788538	2433208713	2433208713	28
2638493440	2638493440	2451032663	2451032663	28
358671822	358671822	4985136920	4985136920	28
2943438356	2943438356	4677489267	4677489267	28
2946148912	2946148912	4678465379	4678465379	28
2895517534	2895517534	566672198	566672198	28
2938062312	2938062312	4543567983	4543567983	28
2908771983	2908771983	4688015376	4688015376	28
2908124088	2908124088	4688474753	4688474753	28
2668604667	2668604667	3299931010	3299931010	28
2926968049	2926968049	734757818	734757818	28
2600354574	2600354574	2439859162	2439859162	28
2589009298	2589009298	2434734934	2434734934	28
2691806122	2691806122	3205454892	3205454892	28
2604342946	2604342946	2300879893	2300879893	28
2606175925	2606175925	2293015770	2293015770	28
2642900932	2642900932	2399904276	2399904276	28
2589291036	2589291036	2434933104	2434933104	28
2590467664	2590467664	2455699046	2455699046	28
4769804718	4769804718	1983397575	1983397575	27
4036185827	4036185827	2850909641	2850909641	27
4040514786	4040514786	2056128961	2056128961	27
4040589608	4040589608	2056067689	2056067689	27
4040632010	4040632010	2055350479	2055350479	27
4058033655	4058033655	2057559170	2057559170	27
4776420574	4776420574	1980852525	1980852525	27
4776544484	4776544484	1836816168	1836816168	27
4778429938	4778429938	245974044	245974044	27
4029762621	4029762621	2247018454	2247018454	27
4760223804	4760223804	1842513378	1842513378	27
4763387796	4763387796	1971535047	1971535047	27
4778190796	4778190796	1972210289	1972210289	27
3426490310	3426490310	1173192650	1173192650	27
3436391777	3436391777	1294192051	1294192051	27
3436094798	3436094798	1337841259	1337841259	27
3663550049	3663550049	1257183736	1257183736	27
3674848271	3674848271	1440685803	1440685803	27
4780261736	4780261736	1867312863	1867312863	27
2849939997	2849939997	4681263171	4681263171	26
2840743693	2840743693	3365272113	3365272113	26
2845362225	2845362225	4687678940	4687678940	26
2865832869	2865832869	326313269	326313269	26
2864986042	2864986042	3230925182	3230925182	26
2863375516	2863375516	3629914843	3629914843	26
1505776684	1505776684	4860604940	4860604940	26
2855945253	2855945253	3273121260	3273121260	26
2853456216	2853456216	3070899213	3070899213	26
2858224063	2858224063	3068996144	3068996144	26
2838023438	2838023438	4793313883	4793313883	26
2853790716	2853790716	3277183794	3277183794	26
2035031486	2035031486	3528418674	3528418674	25
3849073772	3849073772	1072082713	1072082713	25
3861034273	3861034273	1657121920	1657121920	25
3855384831	3855384831	918601256	918601256	25
3893431183	3893431183	909260067	909260067	25
3858197728	3858197728	1692526088	1692526088	25
3859102470	3859102470	1674300386	1674300386	25
2093356563	2093356563	5109104445	5109104445	25
2102536358	2102536358	3532324127	3532324127	25
2098749863	2098749863	5110987897	5110987897	25
