# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i fAstCal1.pri.cur.20180530.fasta -o fAstCal1.pri.cur.20180530.fasta.vert.human.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t fAstCal1.pri.cur.20180530.fasta.vert.humna.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr13	773459	854765	6636.1	3525
EOG090B0021	Complete	chr14	8967396	8992653	736.6	554
EOG090B002I	Complete	chr15	14285945	14458197	4376.7	2644
EOG090B0039	Complete	chr23	8414395	8464503	5176.2	2583
EOG090B003S	Complete	chr10	1108337	1135250	3986.7	2300
EOG090B004D	Complete	chr14	19397787	19412116	4686.3	2071
EOG090B004X	Complete	chr23	7371233	7401983	4758.7	2342
EOG090B0050	Complete	chr11	14853474	14881908	4003.8	2079
EOG090B005N	Complete	chr9	21961221	21991829	4329.5	2057
EOG090B005Q	Complete	chr14	17491009	17530655	3480.2	1837
EOG090B0067	Complete	chr11	18442835	18463936	2386.6	2236
EOG090B006Y	Complete	chr4	9276515	9300754	3467.7	1780
EOG090B006Z	Complete	chr7	43430571	43442255	1991.5	1335
EOG090B007C	Complete	chr16	10287942	10322412	3214.7	1618
EOG090B007D	Complete	chr19	8427882	8483678	2782.2	1549
EOG090B007O	Complete	chr9	17590496	17602410	745.1	1401
EOG090B007P	Complete	chr19	25519419	25548581	2874.4	1655
EOG090B008K	Complete	chr3	11620872	11653293	2781.7	1511
EOG090B008M	Complete	chr7	65477131	65493895	3193.5	1779
EOG090B0092	Complete	chr18	34618123	34711153	2398.8	1442
EOG090B0097	Complete	chr7	16175742	16189064	2613.3	1861
EOG090B009E	Complete	chr19	30538492	30579806	3080.8	1504
EOG090B009G	Complete	chr14	26899997	26923756	3443.2	1797
EOG090B009K	Complete	chr6	13765292	13807620	2674.5	1643
EOG090B009Q	Complete	chr6	23534312	23541966	1922.1	1703
EOG090B009U	Complete	chr13	31510940	31548993	3087.1	1577
EOG090B00A3	Complete	chr6	18194598	18213280	3017.2	1580
EOG090B00A5	Complete	chr5	5891825	5904172	2568.2	1607
EOG090B00AI	Complete	chr16	2999536	3027069	1792.1	1417
EOG090B00B0	Complete	chr3	17330245	17384369	3248.7	1604
EOG090B00BC	Complete	chr7	18666336	18676076	606.5	355
EOG090B00BI	Complete	chr7	19699019	19718660	2168.8	1741
EOG090B00BQ	Complete	chr6	8292789	8307098	2007.5	1124
EOG090B00BU	Complete	chr19	25055448	25109678	1560.0	1557
EOG090B00BV	Complete	chr1	4606391	4627688	1606.5	1564
EOG090B00CA	Complete	chr13	10584554	10612355	2042.6	2011
EOG090B00CE	Complete	chr16	835319	902883	2405.1	1369
EOG090B00CX	Complete	chr11	9988814	10003294	510.0	355
EOG090B00DK	Complete	chr13	31843729	31905944	2863.8	1463
EOG090B00DR	Complete	chr14	11678392	11690845	2518.8	1548
EOG090B00E7	Complete	chr13	30269047	30277761	614.9	707
EOG090B00EI	Complete	chr3	35699560	35725621	2741.7	1602
EOG090B00ER	Complete	chr7	48759603	48792192	3146.0	1503
EOG090B00EW	Complete	chr11	5281996	5303624	1219.1	840
EOG090B00F1	Complete	chr6	27364770	27385852	2306.8	1678
EOG090B00F6	Complete	chr13	11869665	11920012	1390.3	705
EOG090B00F8	Complete	chr13	8248925	8296184	2586.1	1464
EOG090B00FD	Complete	chr9	18179586	18190497	1908.1	1399
EOG090B00G4	Fragmented	chr18	30730473	30735717	742.7	362
EOG090B00GH	Complete	chr16	23270494	23341312	2411.9	1265
EOG090B00GK	Complete	chr1	7514365	7543583	1438.4	821
