chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr16	5099647	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr16	5524079	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr16	5666869	EOG090B08Y2
chr1	1255203	EOG090B0C55	chr16	5747147	EOG090B0C55
chr1	1308644	EOG090B0AXY	chr16	5880011	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr16	5914024	EOG090B03H1
chr1	2019424	EOG090B07C7	chr16	8289687	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr16	7962861	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr16	7956096	EOG090B0D29
chr1	2508847	EOG090B028U	chr16	7838773	EOG090B028U
chr1	3625073	EOG090B0DVR	chr16	7232635	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr16	7216702	EOG090B05QE
chr1	3781088	EOG090B060G	chr16	7175402	EOG090B060G
chr1	3815402	EOG090B027C	chr16	7160576	EOG090B027C
chr1	3857604	EOG090B099H	chr16	7157166	EOG090B099H
chr1	6225080	EOG090B0BYH	chr16	6860857	EOG090B0BYH
chr1	6525854	EOG090B066X	chr16	6820834	EOG090B066X
chr1	6614067	EOG090B0BKA	chr16	6800819	EOG090B0BKA
chr1	7962786	EOG090B0EDI	chr16	6483280	EOG090B0EDI
chr1	8324330	EOG090B03E1	chr16	6404408	EOG090B03E1
chr1	9588931	EOG090B06F2	chr16	4376060	EOG090B06F2
chr1	9730508	EOG090B01F0	chr16	4281258	EOG090B01F0
chr1	9930399	EOG090B0ILM	chr16	4214936	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr16	4158436	EOG090B00ZI
chr1	10399118	EOG090B05GI	chr16	4044188	EOG090B05GI
chr1	10461490	EOG090B098N	chr16	4034446	EOG090B098N
chr1	10598340	EOG090B0B8F	chr16	3958635	EOG090B0B8F
chr1	11066718	EOG090B01UK	chr16	3574260	EOG090B01UK
chr1	11273532	EOG090B09M4	chr16	3504482	EOG090B09M4
chr1	11500993	EOG090B00U4	chr16	3373108	EOG090B00U4
chr1	11674775	EOG090B0DNB	chr16	3300173	EOG090B0DNB
chr1	11790680	EOG090B031B	chr16	3239831	EOG090B031B
chr1	11804633	EOG090B01SI	chr16	3223971	EOG090B01SI
chr1	11906303	EOG090B053B	chr16	3164287	EOG090B053B
chr1	12021727	EOG090B0932	chr16	3122140	EOG090B0932
chr1	12234267	EOG090B0FLR	chr16	64435	EOG090B0FLR
chr1	15492943	EOG090B095T	chr16	736731	EOG090B095T
chr1	15701941	EOG090B01DA	chr16	1866772	EOG090B01DA
chr1	19219303	EOG090B01EP	chr16	1067517	EOG090B01EP
chr1	19251836	EOG090B0D5M	chr16	1065296	EOG090B0D5M
chr1	19339530	EOG090B08IR	chr16	988199	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr16	895635	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr16	874481	EOG090B09XF
