# BUSCO version is: 4.1.2 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2020-09-10, number of species: 3354, number of BUSCOs: 67)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
173at7742	Fragmented	chr13	81459670	81586149	4873.9	3213	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	chr4	139380687	139489231	8756.8	4307	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Complete	chr14	103105480	103252677	6320.6	3078	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	chr14	61173205	61214255	7519.6	3922	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	chr4	144975137	145190592	7232.4	3731	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	chr5	121220472	121366605	7380.4	3648	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Complete	chr2	13268388	13479110	3498.6	2439	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Complete	chr5	144771150	144858958	7072.8	3299	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	chr5	21885473	22126073	5553.3	2924	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	chr7	118120292	118186122	4407.1	2308	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	chr4	118378038	118409189	2473.4	1442	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	chr11	23327858	23489188	5573.5	2628	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	chr13	13607786	13777179	4674.0	2691	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	chr10	92862850	93039298	2264.4	1900	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Complete	chr5	34776365	34908845	4690.5	2481	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Complete	chr11	72815124	72924717	4089.9	2268	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	chr1	139436731	139493750	3432.8	2672	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Complete	chr4	148452241	148556376	4544.6	2188	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Missing
4443at7742	Complete	chr5	115565289	115622150	4212.1	2310	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	chr11	75491416	75512843	4442.6	1850	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	chr2	122053880	122118314	2423.8	1742	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	chr18	77938500	78033107	3283.7	1967	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	chr4	106316472	106441874	3707.1	2003	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Complete	chr12	51744521	51828735	4181.6	2088	https://www.orthodb.org/v10?query=5422at7742	HECT domain E3 ubiquitin protein ligase 1
5465at7742	Complete	chr9	41968603	42124113	3168.1	1808	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Complete	chr9	53439746	53551778	3010.7	2076	https://www.orthodb.org/v10?query=5520at7742	serine-protein kinase ATM
5604at7742	Complete	chr15	91673281	91815535	3129.6	1985	https://www.orthodb.org/v10?query=5604at7742	leucine-rich repeat serine/threonine-protein kinase 2
5938at7742	Complete	chr10	88746904	88826650	3883.8	2332	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Complete	chr9	104152317	104266616	4221.8	2010	https://www.orthodb.org/v10?query=5981at7742	dnaJ homolog subfamily C member 13 isoform X1
6108at7742	Complete	chr5	110286388	110337245	3677.5	1826	https://www.orthodb.org/v10?query=6108at7742	DNA polymerase epsilon catalytic subunit A
6126at7742	Complete	chr9	86485466	86554321	3743.6	2004	https://www.orthodb.org/v10?query=6126at7742	Dopey family member 1
6253at7742	Complete	chr2	52073150	52121203	1688.6	1146	https://www.orthodb.org/v10?query=6253at7742	Replication timing regulatory factor 1
6305at7742	Complete	chr15	37948296	38064677	4506.7	2269	https://www.orthodb.org/v10?query=6305at7742	Ubiquitin protein ligase E3 component n-recognin 5
6701at7742	Complete	chr12	13269094	13583666	3104.4	1852	https://www.orthodb.org/v10?query=6701at7742	neuroblastoma-amplified sequence
7000at7742	Complete	chr10	18589581	18712893	3387.5	1813	https://www.orthodb.org/v10?query=7000at7742	brefeldin A-inhibited guanine nucleotide-exchange protein 3
7262at7742	Complete	chr6	125544510	125686539	3124.9	2266	https://www.orthodb.org/v10?query=7262at7742	von Willebrand factor
7732at7742	Complete	chr12	79233966	79295670	2668.4	1855	https://www.orthodb.org/v10?query=7732at7742	Zinc finger FYVE-type containing 26
7768at7742	Complete	chr10	75646544	75758373	2843.4	1564	https://www.orthodb.org/v10?query=7768at7742	calcineurin-binding protein cabin-1 isoform X1
8258at7742	Complete	chr15	102296769	102324215	1562.1	1329	https://www.orthodb.org/v10?query=8258at7742	Extra spindle pole bodies like 1, separase
8409at7742	Complete	chr11	75441769	75454361	2450.9	1492	https://www.orthodb.org/v10?query=8409at7742	WD repeat-containing protein 81
8503at7742	Complete	chr16	93716175	93810347	3085.7	1823	https://www.orthodb.org/v10?query=8503at7742	Dopey family member 2
8757at7742	Complete	chr1	65179233	65273758	3303.7	1610	https://www.orthodb.org/v10?query=8757at7742	Phosphoinositide kinase, FYVE-type zinc finger containing
8766at7742	Complete	chr18	88972048	89130684	2100.7	1537	https://www.orthodb.org/v10?query=8766at7742	rotatin
8874at7742	Complete	chr13	12395772	12438677	2685.6	1763	https://www.orthodb.org/v10?query=8874at7742	HEAT repeat-containing protein 1
8995at7742	Complete	chr16	90751985	90810340	2302.3	1689	https://www.orthodb.org/v10?query=8995at7742	nucleolar pre-ribosomal-associated protein 1
9110at7742	Complete	chr2	128612948	128686036	3042.0	1619	https://www.orthodb.org/v10?query=9110at7742	anaphase-promoting complex subunit 1
9484at7742	Complete	chr7	27357292	27446591	3755.4	2169	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9579at7742	Complete	chr16	44184997	44221824	2139.6	1803	https://www.orthodb.org/v10?query=9579at7742	Upstream transcription factor family member 3
