name	start	end	strand	col	fill	lwd
1	1	529734911	1	4	4	0.1
2	529734912	1017471995	1	4	4	0.1
3	1017471996	1420759330	1	4	4	0.1
4	1420759331	1807309590	1	4	4	0.1
5	1807309591	2120575991	1	4	4	0.1
6	2120575992	2266833473	1	4	4	0.1
7	2266833474	2503539354	1	4	4	0.1
8	2503539355	2705058823	1	4	4	0.1
9	2705058824	2880763876	1	4	4	0.1
10	2880763877	3049605243	1	4	4	0.1
11	3049605244	3229982061	1	4	4	0.1
12	3229982062	3401695984	1	4	4	0.1
13	3401695985	3521825880	1	4	4	0.1
14	3521825881	3672048191	1	4	4	0.1
15	3672048192	3746961422	1	4	4	0.1
16	3746961423	3878744068	1	4	4	0.1
17	3878744069	4008082329	1	4	4	0.1
18	4008082330	4135000166	1	4	4	0.1
19	4135000167	4234753391	1	4	4	0.1
20	4234753392	4321483775	1	4	4	0.1
21	4321483776	4391113575	1	4	4	0.1
X1	4391113576	4746268539	1	4	4	0.1
X2	4746268540	4830518116	1	4	4	0.1
X3	4830518117	4926700489	1	4	4	0.1
X4	4926700490	4951239222	1	4	4	0.1
X5	4951239223	5150456637	1	4	4	0.1
Y3	5150456638	5157465704	1	4	4	0.1
Y1	5157465705	5160970646	1	4	4	0.1
Y2	5160970647	5174037520	1	4	4	0.1
Y4	5174037521	5176928955	1	4	4	0.1
Y5	5176928956	5178571770	1	4	4	0.1
1	1	529734911	1	1	4	0.1
2	529734912	1017471995	1	1	4	0.1
3	1017471996	1420759330	1	1	4	0.1
4	1420759331	1807309590	1	1	4	0.1
5	1807309591	2120575991	1	1	4	0.1
6	2120575992	2266833473	1	1	4	0.1
7	2266833474	2503539354	1	1	4	0.1
8	2503539355	2705058823	1	1	4	0.1
9	2705058824	2880763876	1	1	4	0.1
10	2880763877	3049605243	1	1	4	0.1
11	3049605244	3229982061	1	1	4	0.1
12	3229982062	3401695984	1	1	4	0.1
13	3401695985	3521825880	1	1	4	0.1
14	3521825881	3672048191	1	1	4	0.1
15	3672048192	3746961422	1	1	4	0.1
16	3746961423	3878744068	1	1	4	0.1
17	3878744069	4008082329	1	1	4	0.1
18	4008082330	4135000166	1	1	4	0.1
19	4135000167	4234753391	1	1	4	0.1
20	4234753392	4321483775	1	1	4	0.1
21	4321483776	4391113575	1	1	4	0.1
X1	4391113576	4746268539	1	1	4	0.1
X2	4746268540	4830518116	1	1	4	0.1
X3	4830518117	4926700489	1	1	4	0.1
X4	4926700490	4951239222	1	1	4	0.1
X5	4951239223	5150456637	1	1	4	0.1
Y3	5150456638	5157465704	1	1	4	0.1
Y1	5157465705	5160970646	1	1	4	0.1
Y2	5160970647	5174037520	1	1	4	0.1
Y4	5174037521	5176928955	1	1	4	0.1
Y5	5176928956	5178571770	1	1	4	0.1
L	1966490503	1966490503	1	6	6	0.01
L	1967170311	1967170311	1	6	6	0.01
L	1968071647	1968071647	1	6	6	0.01
L	1968107168	1968107168	1	6	6	0.01
L	1970776812	1970776812	1	6	6	0.01
L	1973152723	1973152723	1	6	6	0.01
L	1973196648	1973196648	1	6	6	0.01
L	2021252317	2021252317	1	6	6	0.01
L	2021131217	2021131217	1	6	6	0.01
L	2020303236	2020303236	1	6	6	0.01
L	2020127881	2020127881	1	6	6	0.01
L	2020034233	2020034233	1	6	6	0.01
L	2013358553	2013358553	1	6	6	0.01
L	2006444068	2006444068	1	6	6	0.01
L	2002521273	2002521273	1	6	6	0.01
L	2001546828	2001546828	1	6	6	0.01
L	2000208102	2000208102	1	6	6	0.01
L	1998377843	1998377843	1	6	6	0.01
L	1997924799	1997924799	1	6	6	0.01
L	1996555361	1996555361	1	6	6	0.01
L	1995333144	1995333144	1	6	6	0.01
L	1987296319	1987296319	1	6	6	0.01
L	1976355263	1976355263	1	6	6	0.01
L	1975265629	1975265629	1	6	6	0.01
L	1974984660	1974984660	1	6	6	0.01
L	2027911251	2027911251	1	6	6	0.01
L	2028307130	2028307130	1	6	6	0.01
L	2030818007	2030818007	1	6	6	0.01
L	3876627764	3876627764	1	6	6	0.01
L	3871845719	3871845719	1	6	6	0.01
L	3872411429	3872411429	1	6	6	0.01
L	3872745484	3872745484	1	6	6	0.01
L	3873126790	3873126790	1	6	6	0.01
L	3873576959	3873576959	1	6	6	0.01
L	3873705974	3873705974	1	6	6	0.01
L	3873759361	3873759361	1	6	6	0.01
L	3874123699	3874123699	1	6	6	0.01
L	3877146530	3877146530	1	6	6	0.01
L	3875737310	3875737310	1	6	6	0.01
L	3875932215	3875932215	1	6	6	0.01
L	3864953334	3864953334	1	6	6	0.01
L	3859646516	3859646516	1	6	6	0.01
L	3859088682	3859088682	1	6	6	0.01
L	3858564125	3858564125	1	6	6	0.01
L	3858536796	3858536796	1	6	6	0.01
L	3857851971	3857851971	1	6	6	0.01
L	3855582859	3855582859	1	6	6	0.01
L	3855539022	3855539022	1	6	6	0.01
L	3854876127	3854876127	1	6	6	0.01
L	3867928639	3867928639	1	6	6	0.01
L	3862835934	3862835934	1	6	6	0.01
L	3941173835	3941173835	1	6	6	0.01
L	3941401324	3941401324	1	6	6	0.01
L	4020654001	4020654001	1	6	6	0.01
L	4017711380	4017711380	1	6	6	0.01
L	4016734424	4016734424	1	6	6	0.01
L	4015744014	4015744014	1	6	6	0.01
L	4015183226	4015183226	1	6	6	0.01
L	4015160944	4015160944	1	6	6	0.01
L	4014913913	4014913913	1	6	6	0.01
L	4012296215	4012296215	1	6	6	0.01
L	4012427216	4012427216	1	6	6	0.01
L	4013148859	4013148859	1	6	6	0.01
L	3985416527	3985416527	1	6	6	0.01
L	3986193468	3986193468	1	6	6	0.01
L	4134273680	4134273680	1	6	6	0.01
L	4134203768	4134203768	1	6	6	0.01
L	4134171957	4134171957	1	6	6	0.01
L	4134105056	4134105056	1	6	6	0.01
L	4133624098	4133624098	1	6	6	0.01
L	4037119946	4037119946	1	6	6	0.01
L	4132250961	4132250961	1	6	6	0.01
L	4132169200	4132169200	1	6	6	0.01
L	4129226952	4129226952	1	6	6	0.01
L	4127233150	4127233150	1	6	6	0.01
L	4122285759	4122285759	1	6	6	0.01
L	1733607515	1733607515	1	6	6	0.01
L	1716309442	1716309442	1	6	6	0.01
L	1713458739	1713458739	1	6	6	0.01
L	1713189290	1713189290	1	6	6	0.01
L	1711900977	1711900977	1	6	6	0.01
L	1706563040	1706563040	1	6	6	0.01
L	1701961445	1701961445	1	6	6	0.01
L	1693441557	1693441557	1	6	6	0.01
L	1687210525	1687210525	1	6	6	0.01
L	1654994973	1654994973	1	6	6	0.01
L	2465815244	2465815244	1	6	6	0.01
L	2455154430	2455154430	1	6	6	0.01
L	2425824204	2425824204	1	6	6	0.01
L	3747527385	3747527385	1	6	6	0.01
L	3747586594	3747586594	1	6	6	0.01
L	3748329548	3748329548	1	6	6	0.01
L	3749827328	3749827328	1	6	6	0.01
L	3755752937	3755752937	1	6	6	0.01
L	3757422016	3757422016	1	6	6	0.01
L	3758280597	3758280597	1	6	6	0.01
