chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chr5	56043499	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr5	56282842	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chr5	56600179	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr5	56612685	EOG090B03H1
chr1	2019424	EOG090B07C7	chr5	57552598	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr5	58389095	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr5	58404560	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr5	75323723	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr5	75281087	EOG090B05QE
chr1	3781088	EOG090B060G	chr5	74989576	EOG090B060G
chr1	3815402	EOG090B027C	chr5	74927838	EOG090B027C
chr1	3857604	EOG090B099H	chr5	74894867	EOG090B099H
chr1	6225080	EOG090B0BYH	chr5	72544532	EOG090B0BYH
chr1	6525854	EOG090B066X	chr5	72059693	EOG090B066X
chr1	8324330	EOG090B03E1	chr5	70110120	EOG090B03E1
chr1	9588931	EOG090B06F2	chr5	68729005	EOG090B06F2
chr1	9930399	EOG090B0ILM	chr5	68385928	EOG090B0ILM
chr1	10461490	EOG090B098N	chr5	67914597	EOG090B098N
chr1	11066718	EOG090B01UK	chr5	67270210	EOG090B01UK
chr1	11273532	EOG090B09M4	chr5	67110705	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr5	66628561	EOG090B0DNB
chr1	12021727	EOG090B0932	chr5	66198250	EOG090B0932
chr1	15701941	EOG090B01DA	chr5	63368691	EOG090B01DA
chr1	19339530	EOG090B08IR	chr5	59516627	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr5	59132995	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr5	59034073	EOG090B09XF
chr1	20652379	EOG090B0651	chr5	77668162	EOG090B0651
chr1	20744797	EOG090B076T	chr5	77807541	EOG090B076T
chr1	21679417	EOG090B014N	chr5	78691556	EOG090B014N
chr1	23030397	EOG090B02B1	chr16	45652179	EOG090B02B1
chr1	25821900	EOG090B0C5W	chr16	43968544	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr16	44167716	EOG090B0GZR
chr1	26282299	EOG090B07YS	chr16	44285328	EOG090B07YS
chr1	26432946	EOG090B08EA	chr16	44419576	EOG090B08EA
chr1	26790816	EOG090B05U9	chr16	44578069	EOG090B05U9
chr1	26891010	EOG090B066W	chr16	44623492	EOG090B066W
chr1	26921849	EOG090B0CH3	chr16	44642288	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr16	44770562	EOG090B02Y1
chr1	27935184	EOG090B065U	chr16	45834823	EOG090B065U
chr1	28330663	EOG090B0DRP	chr16	45338673	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr16	45407294	EOG090B07B6
chr1	32222442	EOG090B08H1	chr16	41541913	EOG090B08H1
chr1	35559125	EOG090B04N6	chr16	39673519	EOG090B04N6
chr1	35736496	EOG090B01JZ	chr16	39477120	EOG090B01JZ
chr1	36084922	EOG090B0769	chr16	39292437	EOG090B0769
chr1	36088905	EOG090B0AA8	chr16	39282815	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr16	39041706	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr16	38242810	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr16	38227376	EOG090B0C4X
chr1	37803925	EOG090B0G4S	chr16	37993988	EOG090B0G4S
chr1	39841744	EOG090B065A	chr16	42589441	EOG090B065A
chr1	40391348	EOG090B09F3	chr16	40796431	EOG090B09F3
chr1	42430736	EOG090B07R4	chr5	80246063	EOG090B07R4
chr1	43164443	EOG090B0BON	chr17	21979913	EOG090B0BON
chr1	43375683	EOG090B0COA	chr17	22060006	EOG090B0COA
chr1	43451019	EOG090B0B6W	chr18	4426162	EOG090B0B6W
chr1	43970176	EOG090B08RF	chr18	3601195	EOG090B08RF
chr1	44213754	EOG090B06WO	chr18	3390141	EOG090B06WO
chr1	44654559	EOG090B0DK8	chr18	3046180	EOG090B0DK8
chr1	45012266	EOG090B08C2	chr18	2697482	EOG090B08C2
chr1	45331125	EOG090B04FN	chr18	2500043	EOG090B04FN
chr1	45340253	EOG090B05A9	chr18	2492198	EOG090B05A9
chr1	45500333	EOG090B0ES0	chr18	2405225	EOG090B0ES0
chr1	46189270	EOG090B02YV	chr18	1483601	EOG090B02YV
chr1	46248406	EOG090B02KB	chr18	1529723	EOG090B02KB
chr1	46635776	EOG090B0BA1	chr18	1783795	EOG090B0BA1
