chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr15	76786888	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr15	76086930	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr15	75785755	EOG090B08Y2
chr1	1255203	EOG090B0C55	chr15	75641767	EOG090B0C55
chr1	1308644	EOG090B0AXY	chr15	75457826	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr15	75424497	EOG090B03H1
chr1	2019424	EOG090B07C7	chr15	74051644	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr15	73332567	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr15	73322833	EOG090B0D29
chr1	2508847	EOG090B028U	chr15	72884924	EOG090B028U
chr1	3625073	EOG090B0DVR	chr16	1393176	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr15	71055398	EOG090B05QE
chr1	3781088	EOG090B060G	chr15	70831468	EOG090B060G
chr1	3815402	EOG090B027C	chr15	70747836	EOG090B027C
chr1	3857604	EOG090B099H	chr15	70740711	EOG090B099H
chr1	6225080	EOG090B0BYH	chr15	68929514	EOG090B0BYH
chr1	6525854	EOG090B066X	chr15	68110902	EOG090B066X
chr1	7962786	EOG090B0EDI	chr15	66026245	EOG090B0EDI
chr1	8324330	EOG090B03E1	chr15	65652894	EOG090B03E1
chr1	9588931	EOG090B06F2	chr15	77503789	EOG090B06F2
chr1	9730508	EOG090B01F0	chr15	77630375	EOG090B01F0
chr1	9930399	EOG090B0ILM	chr15	77751628	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr15	77788073	EOG090B00ZI
chr1	10399118	EOG090B05GI	chr15	78125857	EOG090B05GI
chr1	10461490	EOG090B098N	chr15	78148724	EOG090B098N
chr1	10598340	EOG090B0B8F	chr15	78341955	EOG090B0B8F
chr1	11066718	EOG090B01UK	chr15	79759144	EOG090B01UK
chr1	11273532	EOG090B09M4	chr15	80202715	EOG090B09M4
chr1	11674775	EOG090B0DNB	chr15	80256252	EOG090B0DNB
chr1	11790680	EOG090B031B	chr15	80369613	EOG090B031B
chr1	11804633	EOG090B01SI	chr15	80432477	EOG090B01SI
chr1	11906303	EOG090B053B	chr15	80717020	EOG090B053B
chr1	12021727	EOG090B0932	chr11	55769881	EOG090B0932
chr1	12234267	EOG090B0FLR	chr15	65286424	EOG090B0FLR
chr1	15492943	EOG090B095T	chr15	63739462	EOG090B095T
chr1	15701941	EOG090B01DA	chr15	57896712	EOG090B01DA
chr1	19219303	EOG090B01EP	chr15	62710705	EOG090B01EP
chr1	19251836	EOG090B0D5M	chr15	62739667	EOG090B0D5M
chr1	19339530	EOG090B08IR	chr15	62789086	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr15	63021159	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr15	63111701	EOG090B09XF
chr1	20500690	EOG090B082J	chr15	63566798	EOG090B082J
chr1	20652379	EOG090B0651	chr15	58036294	EOG090B0651
chr1	20744797	EOG090B076T	chr15	58169226	EOG090B076T
chr1	21679417	EOG090B014N	chr15	59563202	EOG090B014N
chr1	22563636	EOG090B0178	chr15	60757984	EOG090B0178
chr1	23030397	EOG090B02B1	chr11	82521064	EOG090B02B1
chr1	23778516	EOG090B0G12	chr11	102750065	EOG090B0G12
chr1	24902122	EOG090B09DL	chr11	90657590	EOG090B09DL
chr1	25821900	EOG090B0C5W	chr11	90165214	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr11	89683458	EOG090B0GZR
chr1	26280156	EOG090B0JOD	chr11	89157255	EOG090B0JOD
chr1	26282299	EOG090B07YS	chr11	89126908	EOG090B07YS
chr1	26432946	EOG090B08EA	chr11	88863910	EOG090B08EA
chr1	26790816	EOG090B05U9	chr11	88543743	EOG090B05U9
chr1	26891010	EOG090B066W	chr11	88410957	EOG090B066W
chr1	26921849	EOG090B0CH3	chr11	88373104	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr11	88006324	EOG090B02Y1
chr1	27935184	EOG090B065U	chr11	81256853	EOG090B065U
chr1	28095742	EOG090B0CF5	chr5	19390414	EOG090B0CF5
chr1	28149993	EOG090B08LV	chr11	81841093	EOG090B08LV
chr1	28330663	EOG090B0DRP	chr11	87215467	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr11	87078146	EOG090B07B6
chr1	31259478	EOG090B0910	chr11	83193401	EOG090B0910
chr1	31727420	EOG090B00F6	chr11	99414851	EOG090B00F6
chr1	32222442	EOG090B08H1	chr11	100474574	EOG090B08H1
chr1	32367291	EOG090B08U3	chr11	100680812	EOG090B08U3
chr1	35559125	EOG090B04N6	chr11	96086985	EOG090B04N6
chr1	35597946	EOG090B0GJG	chr11	96011420	EOG090B0GJG
chr1	35736496	EOG090B01JZ	chr11	95763735	EOG090B01JZ
chr1	36084922	EOG090B0769	chr11	95529548	EOG090B0769
chr1	36088905	EOG090B0AA8	chr11	95515602	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr11	94777180	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr11	93271324	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr11	93259642	EOG090B0C4X
chr1	37803925	EOG090B0G4S	chr11	92474068	EOG090B0G4S
chr1	39841744	EOG090B065A	chr11	102214591	EOG090B065A
chr1	40074061	EOG090B0A2X	chr11	102509958	EOG090B0A2X
chr1	40391348	EOG090B09F3	chr11	98753086	EOG090B09F3
chr1	42430736	EOG090B07R4	chr15	59726083	EOG090B07R4
chr1	43164443	EOG090B0BON	chr10	127798378	EOG090B0BON
chr1	43375683	EOG090B0COA	chr10	126923122	EOG090B0COA
chr1	43451019	EOG090B0B6W	chr10	126440980	EOG090B0B6W
chr1	43970176	EOG090B08RF	chr10	124312914	EOG090B08RF
chr1	44213754	EOG090B06WO	chr10	120461586	EOG090B06WO
chr1	44654559	EOG090B0DK8	chr10	121910166	EOG090B0DK8
chr1	44850951	EOG090B07D1	chr10	122829047	EOG090B07D1
chr1	45012266	EOG090B08C2	chr10	123048904	EOG090B08C2
chr1	45331125	EOG090B04FN	chr10	123329102	EOG090B04FN
chr1	45340253	EOG090B05A9	chr10	123374761	EOG090B05A9
chr1	45500333	EOG090B0ES0	chr10	123710863	EOG090B0ES0
chr1	46189270	EOG090B02YV	chr10	118363213	EOG090B02YV
chr1	46248406	EOG090B02KB	chr10	117980805	EOG090B02KB
chr1	46635776	EOG090B0BA1	chr10	116847041	EOG090B0BA1
chr1	47269631	EOG090B00RI	chr10	116388482	EOG090B00RI
chr1	48435967	EOG090B06QG	chr12	49386243	EOG090B06QG
chr1	50524342	EOG090B03HU	chr10	112219736	EOG090B03HU
chr1	52004264	EOG090B0FQ0	chr10	110731137	EOG090B0FQ0
chr1	52687720	EOG090B0CBQ	chr10	109960284	EOG090B0CBQ
chr1	53069856	EOG090B05IS	chr10	109791479	EOG090B05IS
chr1	53767970	EOG090B04I0	chr10	108784263	EOG090B04I0
chr1	53951922	EOG090B06X6	chr10	108684594	EOG090B06X6
chr1	54032150	EOG090B0936	chr10	108644992	EOG090B0936
chr1	54054333	EOG090B0E8F	chr10	108637787	EOG090B0E8F
chr1	54132968	EOG090B04IK	chr10	108591496	EOG090B04IK
chr1	54200244	EOG090B07JY	chr10	108516608	EOG090B07JY
chr1	54852233	EOG090B04CY	chr10	108029022	EOG090B04CY
chr1	55069045	EOG090B004X	chr10	107681758	EOG090B004X
chr1	58486087	EOG090B06T4	chr10	105605093	EOG090B06T4
chr1	58659997	EOG090B01ON	chr10	105532896	EOG090B01ON
chr1	62437245	EOG090B06NX	chr10	102846029	EOG090B06NX
chr1	62803787	EOG090B04ZN	chr10	102535185	EOG090B04ZN
chr1	63525573	EOG090B03RD	chr10	101967823	EOG090B03RD
chr1	64588920	EOG090B00UU	chr10	101202459	EOG090B00UU
chr1	65360904	EOG090B02D5	chr10	100617043	EOG090B02D5
chr1	66761012	EOG090B0FCP	chr10	99507036	EOG090B0FCP
chr1	66930392	EOG090B07BU	chr10	99307346	EOG090B07BU
chr1	68126226	EOG090B0460	chr10	98578046	EOG090B0460
chr1	74598090	EOG090B00LJ	chr10	94468249	EOG090B00LJ
chr1	74733245	EOG090B0DRQ	chr10	94407545	EOG090B0DRQ
chr1	75724788	EOG090B074J	chr10	93993950	EOG090B074J
chr1	77560313	EOG090B01MB	chr10	92431249	EOG090B01MB
chr1	77828394	EOG090B08S8	chr8	167888025	EOG090B08S8
chr1	77913642	EOG090B067T	chr10	92068179	EOG090B067T
chr1	78492744	EOG090B08IQ	scaffold_122_arrow_ctg1	6587	EOG090B08IQ
chr1	79054945	EOG090B08IL	chr9	222636159	EOG090B08IL
chr1	83881150	EOG090B01ZN	chr10	87088018	EOG090B01ZN
chr1	84365421	EOG090B08GT	chr10	86776574	EOG090B08GT
