name	start	end	strand	col	fill	lwd
1	1	255616683	1	4	4	0.1
2	255616684	575965641	1	4	4	0.1
3	575965642	837007817	1	4	4	0.1
4	837007818	1080787734	1	4	4	0.1
5	1080787735	1330445473	1	4	4	0.1
6	1330445474	1564630272	1	4	4	0.1
7	1564630273	1799217308	1	4	4	0.1
8	1799217309	2003214102	1	4	4	0.1
9	2003214103	2269692545	1	4	4	0.1
10	2269692546	2488864319	1	4	4	0.1
11	2488864320	2697817151	1	4	4	0.1
12	2697817152	2879032027	1	4	4	0.1
13	2879032028	3121153802	1	4	4	0.1
14	3121153803	3306859811	1	4	4	0.1
15	3306859812	3511685363	1	4	4	0.1
16	3511685364	3739990929	1	4	4	0.1
17	3739990930	3958788871	1	4	4	0.1
18	3958788872	4249199572	1	4	4	0.1
19	4249199573	4423868169	1	4	4	0.1
21	4423868170	4652754595	1	4	4	0.1
22	4652754596	4848808535	1	4	4	0.1
23	4848808536	4992319448	1	4	4	0.1
24	4992319449	5178571774	1	4	4	0.1
1	1	255616683	1	1	4	0.1
2	255616684	575965641	1	1	4	0.1
3	575965642	837007817	1	1	4	0.1
4	837007818	1080787734	1	1	4	0.1
5	1080787735	1330445473	1	1	4	0.1
6	1330445474	1564630272	1	1	4	0.1
7	1564630273	1799217308	1	1	4	0.1
8	1799217309	2003214102	1	1	4	0.1
9	2003214103	2269692545	1	1	4	0.1
10	2269692546	2488864319	1	1	4	0.1
11	2488864320	2697817151	1	1	4	0.1
12	2697817152	2879032027	1	1	4	0.1
13	2879032028	3121153802	1	1	4	0.1
14	3121153803	3306859811	1	1	4	0.1
15	3306859812	3511685363	1	1	4	0.1
16	3511685364	3739990929	1	1	4	0.1
17	3739990930	3958788871	1	1	4	0.1
18	3958788872	4249199572	1	1	4	0.1
19	4249199573	4423868169	1	1	4	0.1
21	4423868170	4652754595	1	1	4	0.1
22	4652754596	4848808535	1	1	4	0.1
23	4848808536	4992319448	1	1	4	0.1
24	4992319449	5178571774	1	1	4	0.1
L	1212507394	1212507394	1	6	6	0.01
L	1766479165	1766479165	1	6	6	0.01
L	1173200753	1173200753	1	6	6	0.01
L	1765663030	1765663030	1	6	6	0.01
L	1632506869	1632506869	1	6	6	0.01
L	1654724942	1654724942	1	6	6	0.01
L	1586530901	1586530901	1	6	6	0.01
L	1655133373	1655133373	1	6	6	0.01
L	1655000067	1655000067	1	6	6	0.01
L	1636776145	1636776145	1	6	6	0.01
L	1636550859	1636550859	1	6	6	0.01
L	1636421916	1636421916	1	6	6	0.01
L	1584392231	1584392231	1	6	6	0.01
L	1228371752	1228371752	1	6	6	0.01
L	1668990312	1668990312	1	6	6	0.01
L	1668088496	1668088496	1	6	6	0.01
L	1664616648	1664616648	1	6	6	0.01
L	1664255645	1664255645	1	6	6	0.01
L	1628797103	1628797103	1	6	6	0.01
L	1631430036	1631430036	1	6	6	0.01
L	1227983269	1227983269	1	6	6	0.01
L	1630095307	1630095307	1	6	6	0.01
L	1204609960	1204609960	1	6	6	0.01
L	1622543880	1622543880	1	6	6	0.01
L	1628073714	1628073714	1	6	6	0.01
L	1630228034	1630228034	1	6	6	0.01
L	1272623910	1272623910	1	6	6	0.01
L	1106932028	1106932028	1	6	6	0.01
L	4736322327	4736322327	1	6	6	0.01
L	4745639312	4745639312	1	6	6	0.01
L	4745444869	4745444869	1	6	6	0.01
L	3647295422	3647295422	1	6	6	0.01
L	3571366901	3571366901	1	6	6	0.01
L	3646583535	3646583535	1	6	6	0.01
L	3646876964	3646876964	1	6	6	0.01
L	2671160906	2671160906	1	6	6	0.01
L	3647046823	3647046823	1	6	6	0.01
L	3583878898	3583878898	1	6	6	0.01
L	3584151538	3584151538	1	6	6	0.01
L	3645951901	3645951901	1	6	6	0.01
L	2649688731	2649688731	1	6	6	0.01
L	2548720164	2548720164	1	6	6	0.01
L	2549239131	2549239131	1	6	6	0.01
L	2543254549	2543254549	1	6	6	0.01
L	2839822626	2839822626	1	6	6	0.01
L	3579708591	3579708591	1	6	6	0.01
L	2548111814	2548111814	1	6	6	0.01
L	3578333628	3578333628	1	6	6	0.01
L	3583508692	3583508692	1	6	6	0.01
L	2639568852	2639568852	1	6	6	0.01
L	190569460	190569460	1	6	6	0.01
L	1026773373	1026773373	1	6	6	0.01
L	872196662	872196662	1	6	6	0.01
L	848298564	848298564	1	6	6	0.01
L	963187496	963187496	1	6	6	0.01
L	3785489611	3785489611	1	6	6	0.01
L	3781832796	3781832796	1	6	6	0.01
L	937397009	937397009	1	6	6	0.01
L	3782972680	3782972680	1	6	6	0.01
L	912691710	912691710	1	6	6	0.01
L	1062959117	1062959117	1	6	6	0.01
L	844567102	844567102	1	6	6	0.01
L	1060582444	1060582444	1	6	6	0.01
L	912199904	912199904	1	6	6	0.01
L	871721348	871721348	1	6	6	0.01
L	3894195480	3894195480	1	6	6	0.01
L	3894124599	3894124599	1	6	6	0.01
L	3894045449	3894045449	1	6	6	0.01
L	3748789992	3748789992	1	6	6	0.01
L	904636909	904636909	1	6	6	0.01
L	904900102	904900102	1	6	6	0.01
L	908086126	908086126	1	6	6	0.01
L	908199549	908199549	1	6	6	0.01
L	1023828576	1023828576	1	6	6	0.01
L	1022077735	1022077735	1	6	6	0.01
L	3805711122	3805711122	1	6	6	0.01
L	964282063	964282063	1	6	6	0.01
L	968452969	968452969	1	6	6	0.01
L	3876761793	3876761793	1	6	6	0.01
L	1027739549	1027739549	1	6	6	0.01
L	1028399728	1028399728	1	6	6	0.01
L	879756648	879756648	1	6	6	0.01
L	3813218597	3813218597	1	6	6	0.01
L	3813784750	3813784750	1	6	6	0.01
L	518700626	518700626	1	6	6	0.01
L	1036025588	1036025588	1	6	6	0.01
L	1675347138	1675347138	1	6	6	0.01
L	1585891054	1585891054	1	6	6	0.01
L	1598038236	1598038236	1	6	6	0.01
L	4475238627	4475238627	1	6	6	0.01
L	4475511940	4475511940	1	6	6	0.01
L	4476672997	4476672997	1	6	6	0.01
L	3746934268	3746934268	1	6	6	0.01
L	3802112481	3802112481	1	6	6	0.01
L	3122951753	3122951753	1	6	6	0.01
L	888253098	888253098	1	6	6	0.01
L	941829791	941829791	1	6	6	0.01
L	1067983868	1067983868	1	6	6	0.01
L	908864708	908864708	1	6	6	0.01
L	344558789	344558789	1	6	6	0.01
L	955252584	955252584	1	6	6	0.01
L	3753617423	3753617423	1	6	6	0.01
L	1068854318	1068854318	1	6	6	0.01
L	1013806973	1013806973	1	6	6	0.01
L	1044959789	1044959789	1	6	6	0.01
L	1044637619	1044637619	1	6	6	0.01
L	1177581808	1177581808	1	6	6	0.01
L	1284540097	1284540097	1	6	6	0.01
L	1203538042	1203538042	1	6	6	0.01
L	1272301048	1272301048	1	6	6	0.01
L	5110944148	5110944148	1	6	6	0.01
L	5111228299	5111228299	1	6	6	0.01
L	5111559104	5111559104	1	6	6	0.01
L	4689172445	4689172445	1	6	6	0.01
L	616248306	616248306	1	6	6	0.01
L	5114344311	5114344311	1	6	6	0.01
L	5088140263	5088140263	1	6	6	0.01
L	3871816790	3871816790	1	6	6	0.01
L	3435505002	3435505002	1	6	6	0.01
L	5130556534	5130556534	1	6	6	0.01
L	5130736783	5130736783	1	6	6	0.01
L	3366194249	3366194249	1	6	6	0.01
L	3364778417	3364778417	1	6	6	0.01
L	3367408183	3367408183	1	6	6	0.01
L	3367279193	3367279193	1	6	6	0.01
L	3448292638	3448292638	1	6	6	0.01
L	5030290192	5030290192	1	6	6	0.01
