# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i bTaeGut1.pri.cur.20181023.fasta -o bTaeGut1.pri.cur.20181023.vertebrata.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t tmpvert/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr3	79532484	79701793	6935.1	3595
EOG090B0021	Complete	chr1	64417124	64449440	1015.9	670
EOG090B002I	Complete	chr3	53885185	54138959	4616.1	2682
EOG090B0039	Complete	chr4	26149867	26259844	5345.4	2605
EOG090B003S	Complete	chr19	7205062	7258818	4151.2	2255
EOG090B004D	Complete	chr19	4826131	4843862	4701.9	2071
EOG090B004X	Complete	chr8	6268093	6325744	4209.4	2118
EOG090B0050	Complete	chr3	34300867	34349166	4233.3	2225
EOG090B005N	Complete	chr2	43789477	43845169	4409.3	2057
EOG090B005Q	Complete	chr9	8965287	9058752	3547.6	1843
EOG090B0067	Complete	chr2	1051959	1108687	2331.8	1177
EOG090B006Y	Complete	chr14	3126540	3154434	3214.0	1718
EOG090B006Z	Complete	chrZ	28129245	28162589	2037.6	1853
EOG090B007C	Complete	chr7	18823737	18881006	3331.7	1685
EOG090B007D	Complete	chr3	84834824	84924704	3041.6	1672
EOG090B007O	Complete	chr1	24975577	25002111	2641.5	1929
EOG090B007P	Complete	chr5	47762469	47791228	1785.3	1080
EOG090B008K	Complete	chrZ	74626555	74685080	2849.4	1533
EOG090B008M	Complete	chr1A	44935640	44987593	2975.0	1637
EOG090B0092	Complete	chr8	28366135	28451936	2526.8	1401
EOG090B0097	Complete	chrZ	67024152	67094476	3137.8	2188
EOG090B009E	Complete	chr5	47137618	47191729	2791.5	1390
EOG090B009G	Complete	chr9	10599377	10650668	3496.9	1746
EOG090B009K	Complete	chr18	3396937	3462777	2963.5	1659
EOG090B009Q	Complete	chr4	48168522	48200689	2532.1	1961
EOG090B009U	Complete	chr6	15910662	15967651	3174.9	1570
EOG090B00A3	Complete	chrZ	34598920	34656017	3076.9	1586
EOG090B00A5	Complete	chr20	6657642	6669188	2440.0	1458
EOG090B00AI	Complete	chr1	56587663	56622861	2293.8	1624
EOG090B00B0	Complete	chr4	22435813	22486361	3248.5	1569
EOG090B00BC	Complete	chrZ	1922459	1939727	616.2	346
EOG090B00BI	Complete	chr17	7112570	7140747	2697.1	1775
EOG090B00BQ	Complete	chr14	9154046	9174261	2135.4	1176
EOG090B00BU	Complete	chr3	81098270	81200122	2402.6	1400
EOG090B00BV	Complete	chr10	21902152	21928913	1755.7	1605
EOG090B00CA	Complete	chr2	54887605	54953871	2266.0	2172
EOG090B00CE	Complete	chr2	139639629	139705863	2533.3	1421
EOG090B00CX	Complete	chr2	73646865	73677630	513.5	366
EOG090B00DK	Complete	chr6	14884435	14936903	2943.7	1391
EOG090B00DR	Complete	chr19	4790343	4803346	2639.3	1549
EOG090B00E7	Complete	chr3	80189004	80214018	1820.2	1465
EOG090B00EI	Complete	chr6	26830775	26877594	2898.5	1663
EOG090B00ER	Complete	chr1A	30619957	30684827	3174.7	1494
EOG090B00EW	Complete	chr2	98717055	98768814	1144.4	845
EOG090B00F1	Complete	scaffold_163_arrow_ctg1	6969	42641	2572.7	1687
EOG090B00F6	Complete	chr23	2071224	2118966	1358.5	1124
EOG090B00F8	Complete	chr3	70598566	70669355	2772.5	1497
EOG090B00FD	Complete	chr2	4752409	4784564	1810.2	1387
EOG090B00G4	Complete	chr15	3332371	3370136	2831.7	1359
EOG090B00GH	Complete	chr7	28191204	28285544	2367.5	1265
EOG090B00GK	Complete	chr5	21013118	21065646	1761.9	907
EOG090B00GQ	Complete	chr5	35364266	35395114	2742.9	1355
EOG090B00GU	Complete	chr1A	44396632	44443564	2063.6	1169
EOG090B00GW	Complete	chr3	36830614	36847032	1440.3	1506
EOG090B00HG	Complete	chr1	87050985	87076936	1797.0	1682
EOG090B00I9	Complete	chr19	4310216	4325864	2317.2	1167
EOG090B00IJ	Complete	chr2	52956414	53054922	2129.1	1271
EOG090B00IL	Complete	chr6	12247442	12277896	2652.3	1216
EOG090B00IN	Complete	chrZ	75131947	75217505	2384.8	1446
EOG090B00IU	Complete	chr4	42866919	42924232	1951.5	1326
EOG090B00J3	Complete	chr3	57613285	57666135	1581.9	1101
EOG090B00J8	Complete	chr2	111834429	111892129	2450.1	1366
EOG090B00JL	Complete	chr8	18024059	18056550	1257.0	1194
EOG090B00JU	Complete	chr3	54964010	55000626	2707.5	1217
EOG090B00JW	Complete	chr17	10885006	10903777	2526.1	1270
EOG090B00JZ	Complete	chr9	10083164	10132349	1965.7	1378
EOG090B00K7	Complete	chr17	6179680	6204185	3107.7	1558
EOG090B00KE	Complete	chrZ	69103568	69149318	2574.7	1223
EOG090B00KL	Complete	chrZ	50311317	50360391	1510.6	916
EOG090B00KR	Complete	chr10	12795328	12847371	2242.4	1182
EOG090B00L0	Complete	chrZ	41555196	41590515	1378.8	1106
EOG090B00L1	Complete	chr19	4515641	4618572	1850.5	1107
EOG090B00L4	Complete	chr2	43171559	43212323	2562.3	1194
