chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr7	15962388	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr5	12649047	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr7	9606618	EOG090B08Y2
chr1	1255203	EOG090B0C55	chr5	24817854	EOG090B0C55
chr1	1308644	EOG090B0AXY	chr5	24882735	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr7	9500129	EOG090B03H1
chr1	2019424	EOG090B07C7	chr7	23592037	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr7	25672198	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr7	18886908	EOG090B0D29
chr1	2508847	EOG090B028U	chr5	4976662	EOG090B028U
chr1	3625073	EOG090B0DVR	chr7	25713965	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr7	25700163	EOG090B05QE
chr1	3781088	EOG090B060G	chr7	24019701	EOG090B060G
chr1	3815402	EOG090B027C	chr7	23997413	EOG090B027C
chr1	3857604	EOG090B099H	chr7	23980979	EOG090B099H
chr1	6225080	EOG090B0BYH	chr7	18688466	EOG090B0BYH
chr1	6525854	EOG090B066X	chr7	9755002	EOG090B066X
chr1	6614067	EOG090B0BKA	chr5	24731099	EOG090B0BKA
chr1	7962786	EOG090B0EDI	chr5	10620704	EOG090B0EDI
chr1	8324330	EOG090B03E1	chr5	10788547	EOG090B03E1
chr1	9588931	EOG090B06F2	chr7	15815380	EOG090B06F2
chr1	9730508	EOG090B01F0	chr7	15726239	EOG090B01F0
chr1	9930399	EOG090B0ILM	chr7	15720157	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr7	15696392	EOG090B00ZI
chr1	10399118	EOG090B05GI	chr7	15633803	EOG090B05GI
chr1	10461490	EOG090B098N	chr7	15361461	EOG090B098N
chr1	11066718	EOG090B01UK	chr7	26695014	EOG090B01UK
chr1	11273532	EOG090B09M4	chr7	23199442	EOG090B09M4
chr1	11500993	EOG090B00U4	chr9	9276182	EOG090B00U4
chr1	11674775	EOG090B0DNB	chr7	23476017	EOG090B0DNB
chr1	11790680	EOG090B031B	chr7	18628718	EOG090B031B
chr1	11804633	EOG090B01SI	chr7	18617513	EOG090B01SI
chr1	11906303	EOG090B053B	chr7	18728005	EOG090B053B
chr1	12021727	EOG090B0932	chr5	10832997	EOG090B0932
chr1	12234267	EOG090B0FLR	chr7	18508608	EOG090B0FLR
chr1	15492943	EOG090B095T	chr7	24030750	EOG090B095T
chr1	15701941	EOG090B01DA	chr7	23328994	EOG090B01DA
chr1	19219303	EOG090B01EP	chr7	25458317	EOG090B01EP
chr1	19251836	EOG090B0D5M	chr5	10487901	EOG090B0D5M
chr1	19339530	EOG090B08IR	chr5	28305298	EOG090B08IR
chr1	19683040	EOG090B04MJ	chr7	22554702	EOG090B04MJ
chr1	19882514	EOG090B09XF	chr7	23132624	EOG090B09XF
chr1	20500690	EOG090B082J	chr7	9446141	EOG090B082J
chr1	20652379	EOG090B0651	chr7	23341371	EOG090B0651
chr1	20744797	EOG090B076T	chr5	5778649	EOG090B076T
chr1	21679417	EOG090B014N	chr5	15856821	EOG090B014N
chr1	22563636	EOG090B0178	chr13	349563	EOG090B0178
chr1	23030397	EOG090B02B1	chr22	7885357	EOG090B02B1
chr1	23778516	EOG090B0G12	chr11	18220503	EOG090B0G12
chr1	25821900	EOG090B0C5W	chr22	8938749	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chr22	8919512	EOG090B0GZR
chr1	26280156	EOG090B0JOD	chr11	4782043	EOG090B0JOD
chr1	26282299	EOG090B07YS	chr16	2220279	EOG090B07YS
chr1	26432946	EOG090B08EA	chr16	20283442	EOG090B08EA
chr1	26790816	EOG090B05U9	chr16	2149711	EOG090B05U9
chr1	26891010	EOG090B066W	chr16	2175272	EOG090B066W
chr1	26921849	EOG090B0CH3	chr11	4649935	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chr16	2201040	EOG090B02Y1
chr1	27935184	EOG090B065U	chr16	18920858	EOG090B065U
chr1	28095742	EOG090B0CF5	chr13	25000888	EOG090B0CF5
chr1	28330663	EOG090B0DRP	chr16	18888968	EOG090B0DRP
chr1	28529867	EOG090B07B6	chr16	2067382	EOG090B07B6
chr1	28603539	EOG090B0H7D	chr16	18717395	EOG090B0H7D
chr1	31259478	EOG090B0910	chr11	11163001	EOG090B0910
chr1	31727420	EOG090B00F6	chr15	11411796	EOG090B00F6
chr1	32222442	EOG090B08H1	chr11	6123209	EOG090B08H1
chr1	32775981	EOG090B055Q	chr11	7348165	EOG090B055Q
chr1	35559125	EOG090B04N6	chr11	16963199	EOG090B04N6
chr1	35597946	EOG090B0GJG	chr11	16938640	EOG090B0GJG
chr1	35736496	EOG090B01JZ	chr11	16903936	EOG090B01JZ
chr1	36084922	EOG090B0769	chr11	17582981	EOG090B0769
chr1	36088905	EOG090B0AA8	chr22	16503864	EOG090B0AA8
chr1	36341755	EOG090B06G7	chr16	19375939	EOG090B06G7
chr1	37501254	EOG090B0K2H	chr11	17029006	EOG090B0K2H
chr1	37537748	EOG090B0C4X	chr16	19527360	EOG090B0C4X
chr1	37692691	EOG090B0CTR	chr11	16875433	EOG090B0CTR
