BuscoID,BUSCO_LittleSkate,BUSCO_ThornySkate,BUSCO_Zebrafish,BUSCO_Chicken,BUSCO_Mouse,BUSCO_Human
295973at7742,chr1&1267752,chr1&1373059,chr1&53267121,chr4&29914238,chr8&82764229,chr4&141220873
87599at7742,chr1&2399487,chr1&2476203,chr14&712252,chr4&34128081,chr8&68794020,chr8&19817538
206342at7742,chr1&2605017,chr1&2672995,chr14&49997411,chr4&34372850,chr3&40904902,chr4&127972123
229564at7742,chr1&2665193,chr1&2722933,chr12&22623092,chr4&34359295,chr3&40819514,chr4&127920630
64591at7742,chr1&2938354,chr1&3004480,chr7&7711745,chr4&34254950,chr3&40652529,chr4&127643459
388183at7742,chr1&6659692,chr1&6961952,chr14&553000,chr4&53565306,chr3&37405097,chr4&122892828
160275at7742,chr1&6796585,chr1&7095514,chr14&1355857,chr4&53628227,chr3&37312731,chr4&122741893
144578at7742,chr1&7143466,chr1&7420217,chr14&1236963,chr4&53726732,chr3&37063723,chr4&122364958
108730at7742,chr1&7677415,chr1&7999242,chr14&46377020,chr4&53918383,chr3&36573489,chr4&121825860
249694at7742,chr1&7787919,chr1&8109494,chr1&19083608,chr4&53939310,chr3&36552686,chr4&121801425
110226at7742,chr1&8172974,chr1&8651731,chr5&9047602,chrZ&53622511,chr5&108669390,chr4&987085
359330at7742,chr1&8325234,chr1&8771129,chr1&22855983,chr4&34711267,chr8&33735551,chr8&30578921
144352at7742,chr1&9384573,chr1&10310193,chr1&24520957,chr4&33435860,chr3&85574144,chr4&151671174
130549at7742,chr1&12254687,chr1&13069925,chr1&36746238,chr4&31967313,chr8&77549548,chr4&147638532
210234at7742,chr1&13716089,chr1&14584791,chr1&35959324,chr4&31178220,chr8&79267928,chr4&145639302
398379at7742,chr1&15445232,chr1&16411219,chr1&19760782,chr4&23415495,chr8&66476675,chr4&163494350
117499at7742,chr1&18283578,chr1&19379674,chr14&48071291,chr4&21929652,chr3&79604002,chr4&158672457
166722at7742,chr1&18406908,chr1&19490058,chr14&35877291,chr4&21771366,chr3&79886227,chr4&158127407
253625at7742,chr1&19688067,chr1&20798956,chr14&36752529,chr4&20908801,chr3&81932665,chr4&155926036
109231at7742,chr1&19810198,chr1&20939208,chr1&25799851,chr4&20825005,chr3&82037890,chr4&155784131
162368at7742,chr1&19912249,chr1&21019869,chr7&59576008,chr4&57070946,chr3&127536954,chr4&112637494
