name	start	end	strand	col	fill	lwd
1	1	879041143	1	4	4	0.1
2	879041144	1589819991	1	4	4	0.1
3	1589819992	2124227828	1	4	4	0.1
4	2124227829	2494322057	1	4	4	0.1
5	2494322058	2844255822	1	4	4	0.1
6	2844255823	3171337643	1	4	4	0.1
7	3171337644	3483736664	1	4	4	0.1
8	3483736665	3754266848	1	4	4	0.1
9	3754266849	4012822196	1	4	4	0.1
10	4012822197	4218126371	1	4	4	0.1
11	4218126372	4410765024	1	4	4	0.1
12	4410765025	4515898135	1	4	4	0.1
13	4515898136	4596726116	1	4	4	0.1
14	4596726117	4677486249	1	4	4	0.1
15	4677486250	4748734077	1	4	4	0.1
16	4748734078	4812241537	1	4	4	0.1
17	4812241538	4871502407	1	4	4	0.1
18	4871502408	4926491910	1	4	4	0.1
19	4926491911	4979796326	1	4	4	0.1
20	4979796327	5026829486	1	4	4	0.1
22	5026829487	5067827155	1	4	4	0.1
23	5067827156	5105270644	1	4	4	0.1
24	5105270645	5135016733	1	4	4	0.1
21	5135016734	5178571772	1	4	4	0.1
1	1	879041143	1	1	4	0.1
2	879041144	1589819991	1	1	4	0.1
3	1589819992	2124227828	1	1	4	0.1
4	2124227829	2494322057	1	1	4	0.1
5	2494322058	2844255822	1	1	4	0.1
6	2844255823	3171337643	1	1	4	0.1
7	3171337644	3483736664	1	1	4	0.1
8	3483736665	3754266848	1	1	4	0.1
9	3754266849	4012822196	1	1	4	0.1
10	4012822197	4218126371	1	1	4	0.1
11	4218126372	4410765024	1	1	4	0.1
12	4410765025	4515898135	1	1	4	0.1
13	4515898136	4596726116	1	1	4	0.1
14	4596726117	4677486249	1	1	4	0.1
15	4677486250	4748734077	1	1	4	0.1
16	4748734078	4812241537	1	1	4	0.1
17	4812241538	4871502407	1	1	4	0.1
18	4871502408	4926491910	1	1	4	0.1
19	4926491911	4979796326	1	1	4	0.1
20	4979796327	5026829486	1	1	4	0.1
22	5026829487	5067827155	1	1	4	0.1
23	5067827156	5105270644	1	1	4	0.1
24	5105270645	5135016733	1	1	4	0.1
21	5135016734	5178571772	1	1	4	0.1
L	4905895894	4905895894	1	6	6	0.01
L	4906604116	4906604116	1	6	6	0.01
L	4907744760	4907744760	1	6	6	0.01
L	4907910554	4907910554	1	6	6	0.01
L	4911701893	4911701893	1	6	6	0.01
L	4913403427	4913403427	1	6	6	0.01
L	4913435811	4913435811	1	6	6	0.01
L	4917271435	4917271435	1	6	6	0.01
L	4917290554	4917290554	1	6	6	0.01
L	4917712770	4917712770	1	6	6	0.01
L	4917775674	4917775674	1	6	6	0.01
L	4917844215	4917844215	1	6	6	0.01
L	4921322561	4921322561	1	6	6	0.01
L	4925756584	4925756584	1	6	6	0.01
L	4901052096	4901052096	1	6	6	0.01
L	4900377884	4900377884	1	6	6	0.01
L	4899631437	4899631437	1	6	6	0.01
L	4898160629	4898160629	1	6	6	0.01
L	4897900590	4897900590	1	6	6	0.01
L	4897094166	4897094166	1	6	6	0.01
L	4896377933	4896377933	1	6	6	0.01
L	4883679766	4883679766	1	6	6	0.01
L	4890451173	4890451173	1	6	6	0.01
L	4891016445	4891016445	1	6	6	0.01
L	4891189277	4891189277	1	6	6	0.01
L	4883420159	4883420159	1	6	6	0.01
L	4871721752	4871721752	1	6	6	0.01
L	4874888167	4874888167	1	6	6	0.01
L	5025384563	5025384563	1	6	6	0.01
L	5002058568	5002058568	1	6	6	0.01
L	5002713820	5002713820	1	6	6	0.01
L	5002891423	5002891423	1	6	6	0.01
L	5003337351	5003337351	1	6	6	0.01
L	5004100620	5004100620	1	6	6	0.01
L	5004341297	5004341297	1	6	6	0.01
L	5004390201	5004390201	1	6	6	0.01
L	5005001930	5005001930	1	6	6	0.01
L	5023666444	5023666444	1	6	6	0.01
L	3054633679	3054633679	1	6	6	0.01
L	5006792545	5006792545	1	6	6	0.01
L	4995893236	4995893236	1	6	6	0.01
L	4988702289	4988702289	1	6	6	0.01
L	4987989928	4987989928	1	6	6	0.01
L	4987584147	4987584147	1	6	6	0.01
L	4987566957	4987566957	1	6	6	0.01
L	4986380599	4986380599	1	6	6	0.01
L	4983765312	4983765312	1	6	6	0.01
L	4983734006	4983734006	1	6	6	0.01
L	4982425290	4982425290	1	6	6	0.01
L	4998483123	4998483123	1	6	6	0.01
L	4992744524	4992744524	1	6	6	0.01
L	3754084688	3754084688	1	6	6	0.01
L	3752813914	3752813914	1	6	6	0.01
L	3752606793	3752606793	1	6	6	0.01
L	3748160736	3748160736	1	6	6	0.01
L	3746452674	3746452674	1	6	6	0.01
L	3744743421	3744743421	1	6	6	0.01
L	3744187223	3744187223	1	6	6	0.01
L	3744154014	3744154014	1	6	6	0.01
L	3743632775	3743632775	1	6	6	0.01
L	3740602994	3740602994	1	6	6	0.01
L	3740005376	3740005376	1	6	6	0.01
L	3738366947	3738366947	1	6	6	0.01
L	3726371863	3726371863	1	6	6	0.01
L	3725931343	3725931343	1	6	6	0.01
L	3723221276	3723221276	1	6	6	0.01
L	3723070965	3723070965	1	6	6	0.01
L	3722899589	3722899589	1	6	6	0.01
L	3722805548	3722805548	1	6	6	0.01
L	3721703371	3721703371	1	6	6	0.01
L	3721154845	3721154845	1	6	6	0.01
L	3716753218	3716753218	1	6	6	0.01
L	3716616439	3716616439	1	6	6	0.01
L	3711724383	3711724383	1	6	6	0.01
L	3710149679	3710149679	1	6	6	0.01
L	3705591140	3705591140	1	6	6	0.01
L	3692087509	3692087509	1	6	6	0.01
L	3683266115	3683266115	1	6	6	0.01
L	3681707117	3681707117	1	6	6	0.01
L	3681574215	3681574215	1	6	6	0.01
L	3681069129	3681069129	1	6	6	0.01
L	3678535927	3678535927	1	6	6	0.01
L	3676380406	3676380406	1	6	6	0.01
L	3671900197	3671900197	1	6	6	0.01
