chr1	po1	gene1	chr2	po2	gene2
chr1	944694	EOG090B05OD	chr5	103179	EOG090B05OD
chr1	1082893	EOG090B0LIR	chr5	201559	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chr5	286692	EOG090B08Y2
chr1	1255203	EOG090B0C55	chr5	313599	EOG090B0C55
chr1	1308644	EOG090B0AXY	chr5	351020	EOG090B0AXY
chr1	1311859	EOG090B03H1	chr5	352442	EOG090B03H1
chr1	2019424	EOG090B07C7	chr5	687827	EOG090B07C7
chr1	2392702	EOG090B0DFX	chr5	873979	EOG090B0DFX
chr1	2405766	EOG090B0D29	chr5	881348	EOG090B0D29
chr1	3625073	EOG090B0DVR	chr5	1677769	EOG090B0DVR
chr1	3630975	EOG090B05QE	chr5	1682114	EOG090B05QE
chr1	3781088	EOG090B060G	chr5	1781770	EOG090B060G
chr1	3815402	EOG090B027C	chr5	1793800	EOG090B027C
chr1	3857604	EOG090B099H	chr5	1816738	EOG090B099H
chr1	6225080	EOG090B0BYH	chr5	2920375	EOG090B0BYH
chr1	6525854	EOG090B066X	chr5	3115635	EOG090B066X
chr1	6614067	EOG090B0BKA	chr5	3167369	EOG090B0BKA
chr1	7962786	EOG090B0EDI	chr5	4155262	EOG090B0EDI
chr1	8324330	EOG090B03E1	chr5	4363358	EOG090B03E1
chr1	9588931	EOG090B06F2	chr5	5284012	EOG090B06F2
chr1	9730508	EOG090B01F0	chr5	5379481	EOG090B01F0
chr1	9930399	EOG090B0ILM	chr5	5516316	EOG090B0ILM
chr1	10083473	EOG090B00ZI	chr5	5617984	EOG090B00ZI
chr1	10461490	EOG090B098N	chr5	5902308	EOG090B098N
chr1	10598340	EOG090B0B8F	chr5	6012982	EOG090B0B8F
chr1	11066718	EOG090B01UK	chr5	6381918	EOG090B01UK
chr1	11273532	EOG090B09M4	chr5	6522951	EOG090B09M4
chr1	11500993	EOG090B00U4	chr5	6688410	EOG090B00U4
chr1	11674775	EOG090B0DNB	chr5	6818017	EOG090B0DNB
chr1	11790680	EOG090B031B	chr5	6911424	EOG090B031B
chr1	11804633	EOG090B01SI	chr5	6921607	EOG090B01SI
chr1	11906303	EOG090B053B	chr5	6981119	EOG090B053B
chr1	12021727	EOG090B0932	chr5	7060369	EOG090B0932
chr1	12234267	EOG090B0FLR	chr5	7217948	EOG090B0FLR
chr1	15492943	EOG090B095T	chr5	9034098	EOG090B095T
chr1	15701941	EOG090B01DA	chr5	9148320	EOG090B01DA
