BuscoID,BUSCO_LittleSkate,BUSCO_Chicken,BUSCO_Human,BUSCO_Mouse,BUSCO_ThornySkate,BUSCO_Zebrafish
87117at7742,,chr14&4599649,,chr5&142992649,chr22&38536962,chr3&40605388
376721at7742,,chr13&10916201,chr12&55986961,chr2&116527843,,chr21&38734125
87279at7742,,chr2&22648877,chr7&92486854,chr5&3596389,,chr19&33850816
198300at7742,,chr3&107504124,chr6&52420411,chr1&20951734,,chr20&48142062
198321at7742,,chr20&10143007,chr20&32207942,chr2&153241587,NW_022630523.1&155401,chr23&7692062
86277at7742,,chr11&11335901,chr16&66758759,chr8&104447108,,chr18&7454638
198831at7742,,chr5&10866564,chr11&15159270,chr7&114772116,,
85986at7742,,chr5&1870594,chr11&65096251,chr19&6068115,,chr10&26961965
276401at7742,,chr2&91875930,chr18&74436501,chr18&84720173,chr4&3094029,chr24&2893998
83843at7742,,chr6&20620876,chr10&91447382,chr19&36569264,,
199987at7742,,chr30&273665,chrX&48597997,chrX&8125545,,chr8&6921524
82717at7742,,chr20&2147080,chr20&33732022,,,
200403at7742,,chr25&3603172,chr1&155610249,chr3&88909696,,chr19&777930
379901at7742,,chr5&16053166,chr11&612645,chr7&141263225,,chr25&25547171
201616at7742,,chr10&2867561,chr15&74837214,,,
380785at7742,,chr5&38686046,chr14&76064024,,chr9&54283533,chr17&52100694
81595at7742,,,chr19&15160662,,,chr18&46699731
81278at7742,,chr33&4108808,chr12&57488091,chr10&127296294,,chr6&58921464
274411at7742,,chr1&20258687,,chr15&88957022,,chr18&14928053
202578at7742,,chr25&3603172,chr1&155709780,chr3&88923828,,chr16&14194680
381011at7742,,chr6&12233425,chr10&70323469,chr10&61524423,chr37&21545051,chr12&48220683
78340at7742,,chr1&151650673,chr13&85793983,chr14&110749751,,chr1&4150616
77215at7742,,chr3&17672162,,,,chr13&514762
76822at7742,,chr13&10899230,chr5&177521975,chr13&55541625,,chr14&49948670
271121at7742,,chr33&7351476,chr12&53299810,chr15&102331810,,chr11&7105
271060at7742,,chr9&10760401,chr3&142962203,chr9&95559959,chr8&64740601,chr7&50881141
