# BUSCO version is: 4.1.2 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2020-08-05, number of species: 3354, number of BUSCOs: 67)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
173at7742	Fragmented	chr3	7554318	7703264	3515.4	2653	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Complete	chr31	22993501	23136492	8564.2	4289	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Fragmented	chr6	63833110	63910869	2496.7	1507	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Complete	chr6	40750606	40764232	6026.0	3411	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Fragmented	chr31	26419309	26477739	2944.9	1924	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Complete	chr26	26220447	26382382	7863.9	3946	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Missing
1653at7742	Missing
1662at7742	Complete	chr22	23574739	23782909	5349.7	2926	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	chr21	38347006	38501810	5660.5	3073	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Complete	chr10	47544729	47712647	3397.3	2392	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Fragmented	chr8	7719063	7764471	1695.3	882	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Fragmented	chr5	85637295	85702027	2305.4	1155	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	chr22	1920628	2143282	1238.9	1462	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
3022at7742	Fragmented	chr3	89438041	89519365	2183.0	1285	https://www.orthodb.org/v10?query=3022at7742	huntingtin
3190at7742	Fragmented	chr28	15289455	15351778	2196.7	1467	https://www.orthodb.org/v10?query=3190at7742	zinc finger ZZ-type and EF-hand domain-containing protein 1
3764at7742	Complete	chr10	6868920	6934293	3150.8	2772	https://www.orthodb.org/v10?query=3764at7742	abnormal spindle-like microcephaly-associated protein
4106at7742	Fragmented	chr31	15758462	15822514	2276.0	1196	https://www.orthodb.org/v10?query=4106at7742	serine/threonine-protein kinase mTOR
4372at7742	Complete	chr14	40670965	40772841	3453.6	1947	https://www.orthodb.org/v10?query=4372at7742	serine/threonine-protein kinase ATR
4443at7742	Complete	chr26	22018419	22103319	4046.1	2322	https://www.orthodb.org/v10?query=4443at7742	translational activator GCN1
4577at7742	Complete	chr28	27539292	27576022	4194.2	1800	https://www.orthodb.org/v10?query=4577at7742	pre-mRNA-processing-splicing factor 8
4900at7742	Complete	chr33	10806331	10915762	2232.4	1729	https://www.orthodb.org/v10?query=4900at7742	spatacsin
5018at7742	Complete	chr1	128974261	129103251	2931.8	1971	https://www.orthodb.org/v10?query=5018at7742	ectopic P granules protein 5 homolog
5095at7742	Complete	chr10	43872756	44005336	3219.1	1910	https://www.orthodb.org/v10?query=5095at7742	ubiquitin carboxyl-terminal hydrolase 24
5422at7742	Missing
5465at7742	Complete	chr32	1842403	1938482	2276.3	1606	https://www.orthodb.org/v10?query=5465at7742	sortilin-related receptor
5520at7742	Missing
5604at7742	Complete	chr22	12230603	12424002	2589.2	1975	https://www.orthodb.org/v10?query=5604at7742	leucine-rich repeat serine/threonine-protein kinase 2
5938at7742	Complete	chr18	18637655	18710042	3460.6	2309	https://www.orthodb.org/v10?query=5938at7742	small subunit processome component 20 homolog
5981at7742	Complete	chr2	112269428	112445162	4042.5	2010	https://www.orthodb.org/v10?query=5981at7742	dnaJ homolog subfamily C member 13 isoform X1
6108at7742	Complete	chr26	19552252	19653715	3574.9	1847	https://www.orthodb.org/v10?query=6108at7742	DNA polymerase epsilon catalytic subunit A
6126at7742	Complete	chr8	38575350	38666767	3432.0	2037	https://www.orthodb.org/v10?query=6126at7742	Dopey family member 1
6253at7742	Complete	chr7	69905082	69965640	1517.4	1162	https://www.orthodb.org/v10?query=6253at7742	Replication timing regulatory factor 1
6305at7742	Complete	chr4	11197461	11338771	3699.2	1963	https://www.orthodb.org/v10?query=6305at7742	Ubiquitin protein ligase E3 component n-recognin 5
6701at7742	Complete	chr5	71169659	71450294	2813.7	1855	https://www.orthodb.org/v10?query=6701at7742	neuroblastoma-amplified sequence
7000at7742	Complete	chr8	54115293	54193058	3028.5	1762	https://www.orthodb.org/v10?query=7000at7742	brefeldin A-inhibited guanine nucleotide-exchange protein 3
7262at7742	Complete	chr22	10523594	10610497	1817.0	1992	https://www.orthodb.org/v10?query=7262at7742	von Willebrand factor
7732at7742	Fragmented	chr9	23506804	23523288	963.0	538	https://www.orthodb.org/v10?query=7732at7742	Zinc finger FYVE-type containing 26
7768at7742	Complete	chr26	20642725	20799953	2203.2	1566	https://www.orthodb.org/v10?query=7768at7742	calcineurin-binding protein cabin-1 isoform X1
8258at7742	Missing
8409at7742	Complete	chr28	13874444	13889371	1941.5	1342	https://www.orthodb.org/v10?query=8409at7742	WD repeat-containing protein 81
8503at7742	Complete	chr13	6414615	6530160	2693.3	1835	https://www.orthodb.org/v10?query=8503at7742	Dopey family member 2
8757at7742	Complete	chr7	4215909	4332340	3098.7	1638	https://www.orthodb.org/v10?query=8757at7742	Phosphoinositide kinase, FYVE-type zinc finger containing
8766at7742	Complete	chr4	7697876	7907428	1735.6	1506	https://www.orthodb.org/v10?query=8766at7742	rotatin
8874at7742	Complete	chr8	25230542	25313353	2415.3	1690	https://www.orthodb.org/v10?query=8874at7742	HEAT repeat-containing protein 1
8995at7742	Complete	chr13	12533607	12619626	2083.3	1691	https://www.orthodb.org/v10?query=8995at7742	nucleolar pre-ribosomal-associated protein 1
9110at7742	Complete	chr5	12098473	12202377	2813.6	1616	https://www.orthodb.org/v10?query=9110at7742	anaphase-promoting complex subunit 1
9484at7742	Complete	chr8	12522750	12582761	2596.8	2053	https://www.orthodb.org/v10?query=9484at7742	spectrin beta chain, non-erythrocytic 4
9579at7742	Complete	chr6	76200145	76213584	1471.7	1575	https://www.orthodb.org/v10?query=9579at7742	Upstream transcription factor family member 3
9683at7742	Fragmented	chr28	12757593	12803446	1832.0	964	https://www.orthodb.org/v10?query=9683at7742	protein KIAA0100 homolog isoform X1
9744at7742	Fragmented	chr18	14855804	14899416	1763.0	1056	https://www.orthodb.org/v10?query=9744at7742	Nucleoporin 205
10003at7742	Complete	chr21	23291450	23386461	3202.0	1763	https://www.orthodb.org/v10?query=10003at7742	integrator complex subunit 1
10136at7742	Complete	chr4	23085459	23090885	855.8	1123	https://www.orthodb.org/v10?query=10136at7742	zinc finger protein 407
10163at7742	Missing
10485at7742	Complete	chr10	10253265	10322053	1498.4	1602	https://www.orthodb.org/v10?query=10485at7742	protein PRRC2C isoform X1
10757at7742	Complete	chr16	23553792	23617744	2154.8	1536	https://www.orthodb.org/v10?query=10757at7742	plexin-D1
10899at7742	Complete	chr24	18568615	18659251	1888.8	1344	https://www.orthodb.org/v10?query=10899at7742	Integrin beta
11104at7742	Complete	chr1	94959810	95018906	2863.9	1527	https://www.orthodb.org/v10?query=11104at7742	NACHT and WD repeat domain-containing protein 2
11195at7742	Complete	chr13	25111466	25322816	2884.0	1604	https://www.orthodb.org/v10?query=11195at7742	von Willebrand factor A domain-containing protein 8
11237at7742	Complete	chr14	41738133	41830871	3310.3	1803	https://www.orthodb.org/v10?query=11237at7742	Thyroid hormone receptor interactor 12
11472at7742	Complete	chr9	53251666	53330536	2824.8	1395	https://www.orthodb.org/v10?query=11472at7742	endoribonuclease Dicer
11505at7742	Complete	NW_022630571.1_RaGOO	250687	331959	2455.2	1471	https://www.orthodb.org/v10?query=11505at7742	tuberin isoform X1
11550at7742	Complete	chr4	49992207	50112426	1546.4	1315	https://www.orthodb.org/v10?query=11550at7742	centrosomal protein 192 
11696at7742	Complete	chr5	57321494	57468093	2858.8	1547	https://www.orthodb.org/v10?query=11696at7742	Intraflagellar transport 172
11895at7742	Complete	chr26	12553010	12666940	2452.0	1903	https://www.orthodb.org/v10?query=11895at7742	kinetochore-associated protein 1
12004at7742	Complete	chr7	27026272	27199577	2464.4	1426	https://www.orthodb.org/v10?query=12004at7742	E3 ubiquitin-protein ligase UBR3
12300at7742	Complete	chr2	2855405	2997848	1604.6	1339	https://www.orthodb.org/v10?query=12300at7742	deleted in lung and esophageal cancer protein 1
12491at7742	Complete	chr24	7695295	7835456	2553.0	1359	https://www.orthodb.org/v10?query=12491at7742	Helicase with zinc finger
12613at7742	Fragmented	chr6	75165765	75240985	1276.5	731	https://www.orthodb.org/v10?query=12613at7742	sodium leak channel non-selective protein
12616at7742	Complete	chr15	23466674	23551466	2250.4	1510	https://www.orthodb.org/v10?query=12616at7742	nebulin-related-anchoring protein
12659at7742	Complete	chr15	6085515	6194234	2966.9	1571	https://www.orthodb.org/v10?query=12659at7742	B-TFIID TATA-box binding protein associated factor 1
13296at7742	Complete	chr13	44333880	44414354	1709.0	1399	https://www.orthodb.org/v10?query=13296at7742	E3 ubiquitin-protein ligase listerin
13480at7742	Complete	chr7	79537484	79731769	1117.3	1111	https://www.orthodb.org/v10?query=13480at7742	Cilia and flagella associated protein 65
13670at7742	Complete	chr30	12922420	12982370	2420.6	1435	https://www.orthodb.org/v10?query=13670at7742	nucleoporin NUP188 homolog
13881at7742	Fragmented	chr1	162046147	162082508	824.0	599	https://www.orthodb.org/v10?query=13881at7742	DNA-directed RNA polymerase I subunit RPA1
13963at7742	Complete	chr9	47291008	47447843	1494.8	1195	https://www.orthodb.org/v10?query=13963at7742	Fanconi anemia group M protein
13987at7742	Missing
