# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i bTaeGut2.pri.cur.20191112.fasta -o bTaeGut2.pri.cur.20191112.fasta.vert.human.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t bTaeGut2.pri.cur.20191112.fasta.vert.humna.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chr3	78211992	78381150	7126.3	3724
EOG090B0021	Complete	chr1	65431737	65464051	1015.9	670
EOG090B002I	Complete	chr3	52572438	52826230	4611.7	2682
EOG090B0039	Complete	chr4	26174438	26283844	5345.4	2605
EOG090B003S	Complete	chr19	7878785	7931955	4187.6	2251
EOG090B004D	Complete	chr19	5348158	5365867	4701.9	2071
EOG090B004X	Complete	chr8	9933540	9990916	4055.5	2103
EOG090B0050	Complete	chr3	32936876	32985077	4233.3	2225
EOG090B005N	Complete	chr2	44142185	44197638	4409.3	2057
EOG090B005Q	Complete	chr9	8969658	9054541	3538.6	1850
EOG090B0067	Complete	chr2	1661916	1701396	2831.8	1956
EOG090B006Y	Complete	chr14	3125632	3153498	3190.5	1719
EOG090B006Z	Complete	chrZ	24433574	24466918	2034.9	1825
EOG090B007C	Complete	chr7	19099399	19159254	3331.6	1684
EOG090B007D	Complete	chr3	83404822	83465651	2963.5	1639
EOG090B007O	Complete	chr1	25489226	25515807	2636.6	1933
EOG090B007P	Complete	chr5	48016317	48045082	1820.9	1175
EOG090B008K	Complete	chrZ	73162700	73221227	2849.4	1533
EOG090B008M	Complete	chr1A	45989217	46041125	2897.9	1605
EOG090B0092	Complete	chr8	4096340	4181978	2526.9	1401
EOG090B0097	Duplicated	chrW	3588586	3625485	2722.0	1910
EOG090B0097	Duplicated	chrZ	65544092	65614015	3138.5	2193
EOG090B009E	Complete	chr5	47393962	47447408	2791.6	1390
EOG090B009G	Complete	chr9	10586683	10637971	3330.4	1677
EOG090B009K	Complete	chr18	3419313	3485295	2962.7	1659
EOG090B009Q	Complete	chr4	48696492	48728655	2533.6	1926
EOG090B009U	Complete	chr6	17446833	17503835	3174.9	1565
EOG090B00A3	Complete	chrZ	30880377	30937473	3076.1	1586
EOG090B00A5	Complete	chr20	8002062	8013605	2412.6	1538
EOG090B00AI	Complete	chr1	57546960	57582158	2293.8	1624
EOG090B00B0	Complete	chr4	22393176	22443098	3248.7	1569
EOG090B00BC	Complete	chrZ	148261	165515	618.4	346
EOG090B00BI	Complete	chr17	7458618	7486742	2701.1	1802
EOG090B00BQ	Complete	chr14	8871828	8892590	2136.3	1182
EOG090B00BU	Complete	chr3	79644645	79765612	2408.1	1409
EOG090B00BV	Complete	chr10	20990876	21017626	1732.7	1558
EOG090B00CA	Complete	chr2	55142292	55208559	2266.0	2172
EOG090B00CE	Complete	chr2	140253797	140319867	2531.3	1421
EOG090B00CX	Complete	chr2	73904131	73934129	513.0	366
EOG090B00DK	Complete	chr6	16409546	16463940	2943.7	1391
EOG090B00DR	Complete	chr19	5312366	5334737	2640.0	1549
EOG090B00E7	Complete	chr3	78849260	78891960	1818.5	1463
EOG090B00EI	Complete	chr6	28459222	28506013	2899.0	1663
EOG090B00ER	Complete	chr1A	31705214	31770089	3174.7	1494
EOG090B00EW	Complete	chr2	99140173	99190472	1146.8	845
EOG090B00F1	Complete	chr4	29988441	30045071	2572.0	1687
EOG090B00F6	Complete	chr23	3621560	3660759	1152.4	990
EOG090B00F8	Complete	chr3	69362494	69433353	2773.1	1470
EOG090B00FD	Complete	chr2	4818110	4849100	1819.1	1387
EOG090B00G4	Complete	chr15	3095901	3133612	2831.7	1359
EOG090B00GH	Complete	chr7	28559357	28654481	2268.1	1265
EOG090B00GK	Complete	chr5	21215588	21268389	1762.7	908
EOG090B00GQ	Complete	chr5	35518573	35549399	2681.4	1355
EOG090B00GU	Complete	chr1A	45459699	45497059	1982.0	1165
EOG090B00GW	Complete	chr3	35556708	35574133	1439.6	1513
EOG090B00HG	Complete	chr1	88188682	88214641	1795.2	1662
EOG090B00I9	Complete	chr19	4855724	4875159	2601.5	1400
EOG090B00IJ	Complete	chr2	53293665	53392185	2131.3	1275
EOG090B00IL	Complete	chr6	13738375	13768835	2652.5	1216
EOG090B00IN	Complete	chrZ	73668175	73753707	2384.8	1446
EOG090B00IU	Complete	chr4	43503065	43548325	1945.7	1321
EOG090B00J3	Complete	chr3	56360508	56415428	1581.9	1092
EOG090B00J8	Complete	chr2	112220870	112285156	2450.2	1366
EOG090B00JL	Complete	chr8	21685845	21718423	1254.7	1190
EOG090B00JU	Complete	chr3	53660798	53697325	2707.5	1217
EOG090B00JW	Complete	chr17	11110749	11129571	2524.9	1271
EOG090B00JZ	Complete	chr9	10071909	10121446	1971.7	1349
EOG090B00K7	Complete	chr17	6429024	6453559	3105.3	1558
EOG090B00KE	Complete	chrZ	67623184	67668935	2576.3	1223
EOG090B00KL	Complete	chrZ	47582056	47613782	2583.9	1279
EOG090B00KR	Complete	chr10	12159495	12256771	2038.0	1232
EOG090B00L0	Complete	chrZ	38790646	38825952	1381.4	1158
EOG090B00L1	Complete	chr19	5063604	5166565	1849.3	1163
EOG090B00L4	Complete	chr2	43524992	43565860	2562.3	1194
EOG090B00L6	Complete	chr6	1492661	1513039	1396.7	836
EOG090B00LJ	Complete	chr8	4701364	4722856	287.6	599
EOG090B00M3	Complete	chr1	69890207	69954177	1440.6	839
EOG090B00MK	Complete	chr1A	44996198	45024475	1932.3	1100
EOG090B00MR	Complete	chr11	22670380	22699335	1915.2	1026
EOG090B00NB	Complete	chrZ	56669828	56729695	1825.8	1097
EOG090B00O2	Complete	chr4	15236786	15287128	2213.9	1229
EOG090B00ON	Complete	chr6	21581860	21590736	1286.9	1231
EOG090B00OU	Duplicated	chr3	96370661	96425876	2090.3	1197
