chr1	po1	gene1	chr2	po2	gene2
chr1	1082893	EOG090B0LIR	chrC1	201960	EOG090B0LIR
chr1	1217512	EOG090B08Y2	chrC1	326894	EOG090B08Y2
chr1	1308644	EOG090B0AXY	chrC1	403399	EOG090B0AXY
chr1	1311859	EOG090B03H1	chrC1	406704	EOG090B03H1
chr1	2019424	EOG090B07C7	chrC1	876380	EOG090B07C7
chr1	2392702	EOG090B0DFX	chrC1	1171006	EOG090B0DFX
chr1	2405766	EOG090B0D29	chrC1	1181021	EOG090B0D29
chr1	3625073	EOG090B0DVR	chrC1	1967728	EOG090B0DVR
chr1	3630975	EOG090B05QE	chrC1	1972056	EOG090B05QE
chr1	3781088	EOG090B060G	chrC1	2092783	EOG090B060G
chr1	3815402	EOG090B027C	chrC1	2111145	EOG090B027C
chr1	3857604	EOG090B099H	chrC1	2144599	EOG090B099H
chr1	6225080	EOG090B0BYH	chrC1	3925396	EOG090B0BYH
chr1	6525854	EOG090B066X	chrC1	4133137	EOG090B066X
chr1	8324330	EOG090B03E1	chrC1	5615766	EOG090B03E1
chr1	9588931	EOG090B06F2	chrC1	6578814	EOG090B06F2
chr1	9930399	EOG090B0ILM	chrC1	6867806	EOG090B0ILM
chr1	10461490	EOG090B098N	chrC1	7340434	EOG090B098N
chr1	11066718	EOG090B01UK	chrC1	7843703	EOG090B01UK
chr1	11273532	EOG090B09M4	chrC1	8013465	EOG090B09M4
chr1	11674775	EOG090B0DNB	chrC1	8350857	EOG090B0DNB
chr1	12021727	EOG090B0932	chrC1	8638814	EOG090B0932
chr1	15701941	EOG090B01DA	chrC1	11181899	EOG090B01DA
chr1	19339530	EOG090B08IR	chrC1	13801009	EOG090B08IR
chr1	19683040	EOG090B04MJ	chrC1	14103366	EOG090B04MJ
chr1	19882514	EOG090B09XF	chrC1	14254338	EOG090B09XF
chr1	20652379	EOG090B0651	chrC1	14854826	EOG090B0651
chr1	20744797	EOG090B076T	chrC1	14937447	EOG090B076T
chr1	21679417	EOG090B014N	chrC1	15655547	EOG090B014N
chr1	23030397	EOG090B02B1	chrC1	16783357	EOG090B02B1
chr1	25821900	EOG090B0C5W	chrC1	19005841	EOG090B0C5W
chr1	26169984	EOG090B0GZR	chrC1	19346720	EOG090B0GZR
chr1	26282299	EOG090B07YS	chrC1	19434862	EOG090B07YS
chr1	26432946	EOG090B08EA	chrC1	19556322	EOG090B08EA
chr1	26790816	EOG090B05U9	chrC1	19836008	EOG090B05U9
chr1	26891010	EOG090B066W	chrC1	19907617	EOG090B066W
chr1	26921849	EOG090B0CH3	chrC1	19930386	EOG090B0CH3
chr1	27264025	EOG090B02Y1	chrC1	20164149	EOG090B02Y1
chr1	27935184	EOG090B065U	chrC1	20693777	EOG090B065U
chr1	28330663	EOG090B0DRP	chrC1	21015142	EOG090B0DRP
chr1	28529867	EOG090B07B6	chrC1	21176659	EOG090B07B6
chr1	32222442	EOG090B08H1	chrC1	24062718	EOG090B08H1
