name	start	end	strand	col	fill	lwd
1	1	265283132	1	4	4	0.1
2	265283133	470239860	1	4	4	0.1
3	470239861	706713299	1	4	4	0.1
4	706713300	957678422	1	4	4	0.1
5	957678423	1194239164	1	4	4	0.1
6	1194239165	1429054042	1	4	4	0.1
7	1429054043	1675420604	1	4	4	0.1
8	1675420605	1873333038	1	4	4	0.1
9	1873333039	2057919925	1	4	4	0.1
10	2057919926	2317743968	1	4	4	0.1
11	2317743969	2555517883	1	4	4	0.1
12	2555517884	2727935165	1	4	4	0.1
13	2727935166	3011253025	1	4	4	0.1
14	3011253026	3263377673	1	4	4	0.1
15	3263377674	3461576009	1	4	4	0.1
16	3461576010	3711478435	1	4	4	0.1
17	3711478436	3943211912	1	4	4	0.1
19	3943211913	4145259897	1	4	4	0.1
20	4145259898	4360965970	1	4	4	0.1
21	4360965971	4592822704	1	4	4	0.1
22	4592822705	4783664960	1	4	4	0.1
23	4783664961	4944062271	1	4	4	0.1
24	4944062272	5178571775	1	4	4	0.1
1	1	265283132	1	1	4	0.1
2	265283133	470239860	1	1	4	0.1
3	470239861	706713299	1	1	4	0.1
4	706713300	957678422	1	1	4	0.1
5	957678423	1194239164	1	1	4	0.1
6	1194239165	1429054042	1	1	4	0.1
7	1429054043	1675420604	1	1	4	0.1
8	1675420605	1873333038	1	1	4	0.1
9	1873333039	2057919925	1	1	4	0.1
10	2057919926	2317743968	1	1	4	0.1
11	2317743969	2555517883	1	1	4	0.1
12	2555517884	2727935165	1	1	4	0.1
13	2727935166	3011253025	1	1	4	0.1
14	3011253026	3263377673	1	1	4	0.1
15	3263377674	3461576009	1	1	4	0.1
16	3461576010	3711478435	1	1	4	0.1
17	3711478436	3943211912	1	1	4	0.1
19	3943211913	4145259897	1	1	4	0.1
20	4145259898	4360965970	1	1	4	0.1
21	4360965971	4592822704	1	1	4	0.1
22	4592822705	4783664960	1	1	4	0.1
23	4783664961	4944062271	1	1	4	0.1
24	4944062272	5178571775	1	1	4	0.1
L	1087384912	1087384912	1	6	6	0.01
L	1480261942	1480261942	1	6	6	0.01
L	1043117300	1043117300	1	6	6	0.01
L	1481233408	1481233408	1	6	6	0.01
L	1609187013	1609187013	1	6	6	0.01
L	1587784597	1587784597	1	6	6	0.01
L	1661705552	1661705552	1	6	6	0.01
L	1587489816	1587489816	1	6	6	0.01
L	1587518018	1587518018	1	6	6	0.01
L	1604794178	1604794178	1	6	6	0.01
L	1604822901	1604822901	1	6	6	0.01
L	1605156484	1605156484	1	6	6	0.01
L	1664239083	1664239083	1	6	6	0.01
L	1103558238	1103558238	1	6	6	0.01
L	1574423813	1574423813	1	6	6	0.01
L	1575378562	1575378562	1	6	6	0.01
L	1578040791	1578040791	1	6	6	0.01
L	1578566830	1578566830	1	6	6	0.01
L	1612535104	1612535104	1	6	6	0.01
L	1610408257	1610408257	1	6	6	0.01
L	1103086492	1103086492	1	6	6	0.01
L	1611508368	1611508368	1	6	6	0.01
L	1078281836	1078281836	1	6	6	0.01
L	1618266943	1618266943	1	6	6	0.01
L	1613234466	1613234466	1	6	6	0.01
L	1611474277	1611474277	1	6	6	0.01
L	1150901754	1150901754	1	6	6	0.01
L	960809243	960809243	1	6	6	0.01
L	4692253325	4692253325	1	6	6	0.01
L	4682904437	4682904437	1	6	6	0.01
L	4683123909	4683123909	1	6	6	0.01
L	3584087996	3584087996	1	6	6	0.01
L	3668567852	3668567852	1	6	6	0.01
L	3584741234	3584741234	1	6	6	0.01
