# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i sAmbRad1.pri.cur.20200113.fasta -o sAmbRad1.pri.cur.20200113.fasta.vert.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t rsAmbRad1.pri.cur.20200113.fasta.vert.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Fragmented	chr8	7321562	7376662	1572.5	880
EOG090B0021	Complete	chr6	54336430	54392311	853.6	685
EOG090B002I	Complete	chr5	54918058	55143662	4015.5	2614
EOG090B0039	Complete	chr1	107661570	107855059	5070.5	2588
EOG090B003S	Complete	chr28	16816718	16919575	3379.7	2223
EOG090B004D	Complete	chr28	30796675	30846386	4672.1	2070
EOG090B004X	Complete	chr10	48423886	48549711	3988.5	2194
EOG090B0050	Complete	chr8	40475658	40562010	3415.8	2013
EOG090B005N	Complete	chr2	122333004	122510591	4124.0	2054
EOG090B005Q	Complete	chr13	6386500	6509589	3052.4	1848
EOG090B0067	Complete	chr4	116336592	116427621	1882.3	2210
EOG090B006Y	Complete	chr22	27148917	27241447	3225.4	1768
EOG090B006Z	Complete	chr3	20847001	20866327	1808.8	1688
EOG090B007C	Complete	chr7	4985796	5096184	3052.5	1594
EOG090B007D	Complete	chr8	69559968	69740911	2573.8	1532
EOG090B007O	Complete	chr6	86812730	86830216	1536.3	1671
EOG090B007P	Complete	chr9	54726690	54805319	2829.9	1748
EOG090B008K	Fragmented	chr3	58841964	58881070	889.3	517
EOG090B008M	Fragmented	chr19	16056378	16088771	1700.9	913
EOG090B0092	Complete	chr10	26808932	27054050	1960.6	1386
EOG090B0097	Complete	chr3	117985844	118038999	2499.9	1946
EOG090B009E	Complete	chr9	56921777	56965060	2122.5	1059
EOG090B009G	Fragmented	chr13	45440749	45480819	2087.0	1037
EOG090B009K	Complete	chr26	8505230	8658071	2676.3	1613
EOG090B009Q	Complete	chr3	63737594	63794649	1357.6	796
EOG090B009U	Complete	chr37	8702819	8801041	3041.1	1535
EOG090B00A3	Complete	chr3	78116016	78199992	2790.1	1579
EOG090B00A5	Complete	chr23	15556591	15612723	2279.2	1475
EOG090B00AI	Complete	chr14	27470832	27512475	1488.1	1681
EOG090B00B0	Complete	chr1	99060658	99082996	2629.0	1382
EOG090B00BC	Complete	chr1	152406581	152471145	531.7	337
EOG090B00BI	Complete	chr32	9348218	9408833	1390.6	1531
EOG090B00BQ	Complete	chr22	5047334	5116271	1927.6	1079
EOG090B00BU	Duplicated	chr8	51624565	51658146	1221.4	897
EOG090B00BU	Duplicated	chr9	33471881	33492313	1042.9	932
EOG090B00BV	Complete	scaffold_860_ctg1	15385	47786	641.7	930
EOG090B00CA	Fragmented	chr4	110723378	110747965	839.0	1655
EOG090B00CE	Complete	chr4	12316031	12435986	2119.7	1390
EOG090B00CX	Complete	chr2	65865529	65903048	375.6	343
EOG090B00DK	Complete	scaffold_884_ctg1	5693	45393	2136.8	1009
EOG090B00DR	Complete	chr28	15177950	15192989	2046.5	1541
EOG090B00E7	Complete	chr5	3350678	3370786	793.1	1662
