name	start	end	strand	col	fill	lwd
2	1	280465515	1	4	4	0.1
3	280465516	548196194	1	4	4	0.1
4	548196195	820817633	1	4	4	0.1
5	820817634	1046771857	1	4	4	0.1
6	1046771858	1306424080	1	4	4	0.1
7	1306424081	1563824722	1	4	4	0.1
8	1563824723	1814276849	1	4	4	0.1
9	1814276850	2056856130	1	4	4	0.1
10	2056856131	2294205079	1	4	4	0.1
11	2294205080	2522966698	1	4	4	0.1
12	2522966699	2738474617	1	4	4	0.1
13	2738474618	2921776593	1	4	4	0.1
14	2921776594	3110204659	1	4	4	0.1
15	3110204660	3241260417	1	4	4	0.1
16	3241260418	3415138535	1	4	4	0.1
17	3415138536	3586961977	1	4	4	0.1
18	3586961978	3747709638	1	4	4	0.1
19	3747709639	3902963442	1	4	4	0.1
20	3902963443	4051289506	1	4	4	0.1
21	4051289507	4193939001	1	4	4	0.1
22	4193939002	4330774102	1	4	4	0.1
23	4330774103	4447680937	1	4	4	0.1
24	4447680938	4562723392	1	4	4	0.1
25	4562723393	4666274647	1	4	4	0.1
26	4666274648	4743630542	1	4	4	0.1
27	4743630543	4815103204	1	4	4	0.1
28	4815103205	4857878943	1	4	4	0.1
X	4857878944	5178571772	1	4	4	0.1
2	1	280465515	1	1	4	0.1
3	280465516	548196194	1	1	4	0.1
4	548196195	820817633	1	1	4	0.1
5	820817634	1046771857	1	1	4	0.1
6	1046771858	1306424080	1	1	4	0.1
7	1306424081	1563824722	1	1	4	0.1
8	1563824723	1814276849	1	1	4	0.1
9	1814276850	2056856130	1	1	4	0.1
10	2056856131	2294205079	1	1	4	0.1
11	2294205080	2522966698	1	1	4	0.1
12	2522966699	2738474617	1	1	4	0.1
13	2738474618	2921776593	1	1	4	0.1
14	2921776594	3110204659	1	1	4	0.1
15	3110204660	3241260417	1	1	4	0.1
16	3241260418	3415138535	1	1	4	0.1
17	3415138536	3586961977	1	1	4	0.1
18	3586961978	3747709638	1	1	4	0.1
19	3747709639	3902963442	1	1	4	0.1
