# BUSCO version is: 3.0.2 
# The lineage dataset is: vertebrata_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 2586)
# To reproduce this run: python /software/vertres/bin-external/busco-3.02/scripts/run_BUSCO.py -i mLynCan4.pri.cur.20200403.fasta -o mLynCan4.pri.cur.20200403.fasta.vert.busco -l /lustre/scratch116/vr/projects/vgp/user/mu2/busco_VGP/vertebrata_odb9/ -m genome -c 20 -t mLynCan4.pri.cur.20200403.vert.tmp/ -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090B000N	Complete	chrA3	113660869	113792917	4185.5	2255
EOG090B0021	Complete	chrA1	11338868	11385684	614.3	431
EOG090B002I	Complete	chrD3	57276055	57351834	1146.5	1418
EOG090B0039	Complete	chrB1	165022781	165196640	5353.2	2565
EOG090B003S	Complete	chrE1	53198	171895	4082.2	2266
EOG090B004D	Complete	chrE1	14675337	14707173	4703.0	2071
EOG090B004X	Complete	chrC1	44168634	44338730	4044.1	2194
EOG090B0050	Complete	chrB2	75170094	75248179	4285.4	2150
EOG090B005N	Complete	chrC2	28451285	28561317	4280.6	2032
EOG090B005Q	Complete	chrC1	207624939	207751793	2526.0	1389
EOG090B0067	Complete	chrA2	16337319	16438138	3030.1	2118
EOG090B006Y	Fragmented	chrE3	39968721	39980773	846.0	733
EOG090B006Z	Complete	chrA1	172639733	172680032	2054.3	2244
EOG090B007C	Complete	chrC1	193276317	193363140	3380.0	1681
EOG090B007D	Complete	chrB3	84745930	84982678	1895.6	1479
EOG090B007O	Complete	chrC2	98938368	98962576	2618.3	1907
EOG090B007P	Complete	chrB3	138070794	138139923	2937.4	1679
EOG090B008K	Complete	chrD4	43787305	43878350	2942.5	1661
EOG090B008M	Complete	chrA2	150740862	150825613	2664.2	1596
EOG090B0092	Fragmented	chrD4	75744953	75793178	817.3	630
EOG090B0097	Complete	chrA1	137143834	137184560	3057.6	2088
EOG090B009E	Complete	chrB3	137081564	137125045	3254.4	1512
EOG090B009G	Complete	chrC1	211724935	211827544	2995.6	1499
EOG090B009K	Complete	chrE1	46973975	47102885	2982.7	1598
EOG090B009Q	Complete	chrB1	117926428	117977900	2505.1	1756
EOG090B009U	Complete	chrD2	26849762	26892576	3245.0	1559
EOG090B00A3	Complete	chrD4	71603252	71693411	3178.2	1581
EOG090B00A5	Complete	chrA3	12052806	12078296	2835.3	1583
EOG090B00AI	Complete	chrA1	28126402	28173498	2453.4	1615
EOG090B00B0	Complete	chrB1	174946582	174982564	3180.2	1488
EOG090B00BC	Complete	chrB3	4420958	4433716	291.3	352
EOG090B00BI	Complete	chrD4	89191407	89249278	2749.9	1689
EOG090B00BQ	Complete	chrE3	12809930	12844120	2175.1	1146
EOG090B00BU	Duplicated	chrB3	144850452	144896725	1390.4	1306
EOG090B00BU	Duplicated	chrF1	4327667	4407425	1584.1	1014
EOG090B00BV	Complete	chrB3	59682008	59764218	2077.1	1580
EOG090B00CA	Fragmented	chrC2	5352401	5453571	1847.6	1663
EOG090B00CE	Complete	chrF2	16043728	16165695	2577.9	1423
EOG090B00CX	Complete	chrA1	236027080	236064215	572.4	365
EOG090B00DK	Complete	chrD2	53189522	53222246	2843.9	1378
EOG090B00DR	Complete	chrE1	14628387	14641383	2740.5	1559
EOG090B00E7	Complete	chrB2	41672680	41699323	2010.5	1691
EOG090B00EI	Complete	chrD2	16988309	17058723	2970.7	1538
EOG090B00ER	Complete	chrB4	87655738	87775287	3201.5	1492
EOG090B00EW	Complete	chrD3	62688204	62747169	1338.9	847
EOG090B00F1	Complete	chrB1	20232040	20300936	2635.1	1642
EOG090B00F6	Complete	chrC1	23654490	23670037	1112.3	895
EOG090B00F8	Complete	chrD2	71051816	71173906	2770.5	1424
EOG090B00FD	Complete	chrC2	6004456	6087798	1988.8	1364
EOG090B00G4	Complete	chrD3	72737476	72864799	2746.6	1340
EOG090B00GH	Complete	chrC1	195155767	195260853	1873.2	1036
EOG090B00GK	Complete	chrD1	96168429	96271647	1711.7	895
